,Category,Subject,Link
0,Arts & Humanities,African American Literature,https://libguides.tcc.edu/subject/african-american-literature
1,Arts & Humanities,Architecture,https://libguides.tcc.edu/subject/architecture
2,Arts & Humanities,Arts & Design,https://libguides.tcc.edu/subject/art
3,Arts & Humanities,Film,https://libguides.tcc.edu/course/film
4,Arts & Humanities,Foreign Languages,https://libguides.tcc.edu/subject/ForeignLan
5,Arts & Humanities,Harlem Renaissance: About 1918 to Mid-1930s,https://libguides.tcc.edu/subject/HarlemRenaissance
6,Arts & Humanities,History of Native Americans,https://libguides.tcc.edu/subject/Native_Americans
7,Arts & Humanities,Literature,https://libguides.tcc.edu/subject/literature
8,Arts & Humanities,Music,https://libguides.tcc.edu/subject/music
9,Arts & Humanities,Performing Arts,https://libguides.tcc.edu/subject/performing
10,Arts & Humanities,Philosophy,https://libguides.tcc.edu/subject/philosophy
11,Arts & Humanities,Religion,https://libguides.tcc.edu/subject/religion
12,Arts & Humanities,United States History,https://libguides.tcc.edu/subject/ushistory
13,Business & Economics,Accounting and Taxes,https://libguides.tcc.edu/subject/accounting
14,Business & Economics,Business,https://libguides.tcc.edu/subject/business
15,Business & Economics,Business Law,https://libguides.tcc.edu/subject/businesslaw
16,Business & Economics,Economics,https://libguides.tcc.edu/subject/economics
17,Business & Economics,International Business,https://libguides.tcc.edu/course/internationalbusiness
18,Careers and Professional Programs,Architecture,https://libguides.tcc.edu/subject/architecture
19,Careers and Professional Programs,Automotive Technology,https://libguides.tcc.edu/subject/automotive
20,Careers and Professional Programs,Careers/SDV,https://libguides.tcc.edu/subject/careers
21,Careers and Professional Programs,Computer-Aided Design,https://libguides.tcc.edu/subject/cad
22,Careers and Professional Programs,Criminal Justice,https://libguides.tcc.edu/subject/criminal-justice
23,Careers and Professional Programs,Criminology,https://libguides.tcc.edu/subject/crime
24,Careers and Professional Programs,Culinary Arts,https://libguides.tcc.edu/subject/culinaryarts
25,Careers and Professional Programs,Cyber Security,https://libguides.tcc.edu/subject/net-security
26,Careers and Professional Programs,Engineering,https://libguides.tcc.edu/subject/engineering
27,Careers and Professional Programs,Fire Science,https://libguides.tcc.edu/subject/fire
28,Careers and Professional Programs,GPS: Global Positioning Systems,https://libguides.tcc.edu/subject/gps
29,Careers and Professional Programs,Horticulture,https://libguides.tcc.edu/subject/hort
30,Careers and Professional Programs,Human Services,https://libguides.tcc.edu/subject/Human
31,Careers and Professional Programs,HVAC,https://libguides.tcc.edu/subject/HVAC
32,Careers and Professional Programs,Interior Design,https://libguides.tcc.edu/subject/interior-design
33,Careers and Professional Programs,Maritime Technologies,https://libguides.tcc.edu/subject/maritime
34,Careers and Professional Programs,Mechatronics,https://libguides.tcc.edu/subjec/mechatronics
35,Careers and Professional Programs,Paralegal Studies,https://libguides.tcc.edu/subject/paralegalstudies
36,Careers and Professional Programs,TCC Health Professions Research Guides,https://libguides.tcc.edu/healthprof
37,Careers and Professional Programs,Trucking,https://libguides.tcc.edu/subject/trucking
38,Careers and Professional Programs,Veterinary,https://libguides.tcc.edu/subject/vet
39,Careers and Professional Programs,Welding,https://libguides.tcc.edu/subject/weld
40,Computer Science & Technology,Computer Networking,https://libguides.tcc.edu/subject/networking
41,Computer Science & Technology,Computer-Aided Design,https://libguides.tcc.edu/subject/cad
42,Computer Science & Technology,Cyber Security,https://libguides.tcc.edu/subject/net-security
43,Computer Science & Technology,GPS: Global Positioning Systems,https://libguides.tcc.edu/subject/gps
44,Computer Science & Technology,Web Development and Design,https://libguides.tcc.edu/subject/web-design
45,Controversial Issues,Bioethics,https://libguides.tcc.edu/subject/bioethics
46,Controversial Issues,Controversial Issues,https://libguides.tcc.edu/subject/controversies
47,Controversial Issues,Current Events and News,https://libguides.tcc.edu/subject/currentevents
48,Controversial Issues,News Literacy,https://libguides.tcc.edu/newsliteracy
49,Controversial Issues,Religion,https://libguides.tcc.edu/subject/religion
50,"Current Events,Government, & Law",Controversial Issues,https://libguides.tcc.edu/subject/controversies
51,"Current Events,Government, & Law",Current Events and News,https://libguides.tcc.edu/subject/currentevents
52,"Current Events,Government, & Law",News Literacy,https://libguides.tcc.edu/newsliteracy
53,"Current Events,Government, & Law",Paralegal Studies,https://libguides.tcc.edu/subject/paralegalstudies
54,"Current Events,Government, & Law",Terrorism & Mass Violence,https://libguides.tcc.edu/subject/Terrorism_MassViolence
55,Education,Dual Enrollment,https://libguides.tcc.edu/subject/dual
56,Education,Early Childhood Education,https://libguides.tcc.edu/subject/early-child
