,Category,Subject,Link
0,"Arts, Music, & Film","Acting, Stage, & Theater",https://libguides.tncc.edu/theater
1,"Arts, Music, & Film",African American Studies,https://libguides.tncc.edu/aas
2,"Arts, Music, & Film",Art and Art History,https://libguides.tncc.edu/art
3,"Arts, Music, & Film",Film & Media Studies,https://libguides.tncc.edu/film
4,"Arts, Music, & Film",Humanities,https://libguides.tncc.edu/humanities
5,"Arts, Music, & Film",Music,https://libguides.tncc.edu/music
6,Automotive,Automotive,https://libguides.tncc.edu/automotive
7,Business,BUS 241 / Business Law,https://libguides.tncc.edu/buslaw
8,Business,Business,https://libguides.tncc.edu/business
9,Business,Business Plans,https://libguides.tncc.edu/businessplans
10,Business,CST 227 / Business & Professional Communication,https://libguides.tncc.edu/buscomm
11,Business,Personal Finance,https://libguides.tncc.edu/personalfinance
12,Communications,"Acting, Stage, & Theater",https://libguides.tncc.edu/theater
13,Communications,CST 100 / Public Speaking,https://libguides.tncc.edu/PublicSpeaking
14,Communications,CST 126 / Interpersonal Communication,https://libguides.tncc.edu/IC
15,Communications,CST 227 / Business & Professional Communication,https://libguides.tncc.edu/buscomm
16,Communications,Fake News,https://libguides.tncc.edu/fakenews
17,Communications,Film & Media Studies,https://libguides.tncc.edu/film
18,Communications,Speeches,https://libguides.tncc.edu/speeches
19,Computer & Information Sciences,Computer and Information Sciences,https://libguides.tncc.edu/compsci
20,Computer & Information Sciences,GIS (Geographic Information Systems),https://libguides.tncc.edu/GIS
21,Computer & Information Sciences,Mechatronics,https://libguides.tncc.edu/mech
22,Current Events & Controversial Topics,#Election2018,https://libguides.tncc.edu/election2018
23,Current Events & Controversial Topics,Climate Change,https://libguides.tncc.edu/climatechange
24,Current Events & Controversial Topics,Controversial Topics,https://libguides.tncc.edu/controversialtopics
25,Current Events & Controversial Topics,Fake News,https://libguides.tncc.edu/fakenews
26,Current Events & Controversial Topics,Terrorism,https://libguides.tncc.edu/terrorism
27,Education,Education,https://libguides.tncc.edu/education
28,Engineering & Materials Science,Engineering,https://libguides.tncc.edu/engineering
29,Engineering & Materials Science,Mechatronics,https://libguides.tncc.edu/mech
30,Engineering & Materials Science,Physics,https://libguides.tncc.edu/physics
31,English & Literature,Banned Books,https://libguides.tncc.edu/bannedbooks
32,English & Literature,ENG 111/112 English Comp,https://libguides.tncc.edu/ENG111_112
33,English & Literature,ENG 241/242 American Literature,https://libguides.tncc.edu/amliterature
34,English & Literature,ENG 243/244 English Literature,https://libguides.tncc.edu/EngLit
35,English & Literature,ENG 254/255 African-American Literature,https://libguides.tncc.edu/aalit
36,English & Literature,Fake News,https://libguides.tncc.edu/fakenews
37,English & Literature,Humanities,https://libguides.tncc.edu/humanities
38,English & Literature,Literature,https://libguides.tncc.edu/lit
39,English & Literature,MLA (8th Edition),https://libguides.tncc.edu/MLA
40,Faculty,Creative Commons,https://libguides.tncc.edu/creative_commons
41,Faculty,Faculty Services,https://libguides.tncc.edu/FacultyServices
42,Faculty,Librarians,https://libguides.tncc.edu/librarians
43,Faculty,Open Educational Resources (OER),https://libguides.tncc.edu/OER
44,General Help,Careers,https://libguides.tncc.edu/careers
45,General Help,Citation Guide,https://libguides.tncc.edu/citationguide
46,General Help,Community Resources Guide,https://libguides.tncc.edu/CommunityResources
47,General Help,Creative Commons,https://libguides.tncc.edu/creative_commons
48,General Help,Evaluating Sources,https://libguides.tncc.edu/EvaluatingSources
49,General Help,Google Scholar,https://libguides.tncc.edu/GoogleScholar
50,General Help,MLA (8th Edition),https://libguides.tncc.edu/MLA
51,General Help,Personal Finance,https://libguides.tncc.edu/personalfinance
52,General Help,Statistical Resources,https://libguides.tncc.edu/statistics
53,General Help,Student Library Resources,https://libguides.tncc.edu/offcampus
54,General Help,WEPA Printing,https://libguides.tncc.edu/WEPA
55,General Help,Writing Center,https://libguides.tncc.edu/writingcenter
56,History,African American Studies,https://libguides.tncc.edu/aas
57,History,American History,https://libguides.tncc.edu/history
58,History,Art and Art History,https://libguides.tncc.edu/art
59,History,"Elections, Politics, and Voting",https://libguides.tncc.edu/elections
60,History,Humanities,https://libguides.tncc.edu/humanities
61,History,Math History,https://libguides.tncc.edu/mathhistory
62,History,Speeches,https://libguides.tncc.edu/speeches
63,History,Statistical Resources,https://libguides.tncc.edu/statistics
64,History,World History,https://libguides.tncc.edu/worldhistory
65,Humanities,"Acting, Stage, & Theater",https://libguides.tncc.edu/theater
66,Humanities,African American Studies,https://libguides.tncc.edu/aas
67,Humanities,American History,https://libguides.tncc.edu/history
68,Humanities,American Sign Language,https://libguides.tncc.edu/asl
69,Humanities,Arabic Language and Culture,https://libguides.tncc.edu/arabic
70,Humanities,Art and Art History,https://libguides.tncc.edu/art
71,Humanities,CST 100 / Public Speaking,https://libguides.tncc.edu/PublicSpeaking
72,Humanities,CST 126 / Interpersonal Communication,https://libguides.tncc.edu/IC
73,Humanities,ENG 111/112 English Comp,https://libguides.tncc.edu/ENG111_112
74,Humanities,ENG 241/242 American Literature,https://libguides.tncc.edu/amliterature
75,Humanities,ENG 243/244 English Literature,https://libguides.tncc.edu/EngLit
76,Humanities,ENG 254/255 African-American Literature,https://libguides.tncc.edu/aalit
77,Humanities,Film & Media Studies,https://libguides.tncc.edu/film
78,Humanities,French Language & Culture,https://libguides.tncc.edu/french
79,Humanities,German Language & Culture,https://libguides.tncc.edu/german
80,Humanities,Humanities,https://libguides.tncc.edu/humanities
81,Humanities,Math History,https://libguides.tncc.edu/mathhistory
82,Humanities,Music,https://libguides.tncc.edu/music
83,Humanities,Philosophy and Ethics,https://libguides.tncc.edu/philosophy
84,Humanities,Religion,https://libguides.tncc.edu/religion
85,Humanities,Spanish Language & Culture,https://libguides.tncc.edu/spanish
86,Humanities,Speeches,https://libguides.tncc.edu/speeches
87,Humanities,World History,https://libguides.tncc.edu/worldhistory
88,Language,American Sign Language,https://libguides.tncc.edu/asl
89,Language,Arabic Language and Culture,https://libguides.tncc.edu/arabic
90,Language,French Language & Culture,https://libguides.tncc.edu/french
91,Language,German Language & Culture,https://libguides.tncc.edu/german
92,Language,Spanish Language & Culture,https://libguides.tncc.edu/spanish
93,"Law, Politics & Government",#Election2018,https://libguides.tncc.edu/election2018
94,"Law, Politics & Government",BUS 241 / Business Law,https://libguides.tncc.edu/buslaw
95,"Law, Politics & Government",Criminal Justice,https://libguides.tncc.edu/ADJ
96,"Law, Politics & Government","Elections, Politics, and Voting",https://libguides.tncc.edu/elections
97,"Law, Politics & Government",Fake News,https://libguides.tncc.edu/fakenews
98,"Law, Politics & Government",Law,https://libguides.tncc.edu/law
99,"Law, Politics & Government",Political Science & Government,https://libguides.tncc.edu/polisci
100,"Law, Politics & Government",Statistical Resources,https://libguides.tncc.edu/statistics
101,"Law, Politics & Government",Terrorism,https://libguides.tncc.edu/terrorism
102,Mathematics,Math Center,https://libguides.tncc.edu/mathcenter
103,Mathematics,Math History,https://libguides.tncc.edu/mathhistory
104,Medicine & Health,Biology,https://libguides.tncc.edu/bio
105,Medicine & Health,Chemistry,https://libguides.tncc.edu/Chemistry
106,Medicine & Health,Dental Hygiene,https://libguides.tncc.edu/dentalhygiene
107,Medicine & Health,Emergency Medical Services (EMS),https://libguides.tncc.edu/ems
108,Medicine & Health,Fire Science,https://libguides.tncc.edu/FireScience
109,Medicine & Health,Health,https://libguides.tncc.edu/health
110,Medicine & Health,Nursing,https://libguides.tncc.edu/nursing
111,Medicine & Health,Physical Education,https://libguides.tncc.edu/PE
112,Philosophy & Religion,Humanities,https://libguides.tncc.edu/humanities
113,Philosophy & Religion,Philosophy and Ethics,https://libguides.tncc.edu/philosophy
114,Philosophy & Religion,Religion,https://libguides.tncc.edu/religion
115,Psychology & Social Sciences,Community Resources Guide,https://libguides.tncc.edu/CommunityResources
116,Psychology & Social Sciences,Controversial Topics,https://libguides.tncc.edu/controversialtopics
117,Psychology & Social Sciences,Criminal Justice,https://libguides.tncc.edu/ADJ
118,Psychology & Social Sciences,Education,https://libguides.tncc.edu/education
119,Psychology & Social Sciences,Human Services,https://libguides.tncc.edu/humanservices
120,Psychology & Social Sciences,Law,https://libguides.tncc.edu/law
121,Psychology & Social Sciences,Political Science & Government,https://libguides.tncc.edu/polisci
122,Psychology & Social Sciences,Psychology,https://libguides.tncc.edu/psychology
123,Psychology & Social Sciences,Sociology,https://libguides.tncc.edu/sociology
124,Psychology & Social Sciences,Statistical Resources,https://libguides.tncc.edu/statistics
125,Sciences & Math,Astronomy,https://libguides.tncc.edu/astronomy
126,Sciences & Math,Biology,https://libguides.tncc.edu/bio
127,Sciences & Math,Chemistry,https://libguides.tncc.edu/Chemistry
128,Sciences & Math,Climate Change,https://libguides.tncc.edu/climatechange
129,Sciences & Math,Computer and Information Sciences,https://libguides.tncc.edu/compsci
130,Sciences & Math,Dental Hygiene,https://libguides.tncc.edu/dentalhygiene
131,Sciences & Math,Engineering,https://libguides.tncc.edu/engineering
132,Sciences & Math,Fire Science,https://libguides.tncc.edu/FireScience
133,Sciences & Math,Geology,https://libguides.tncc.edu/geology
134,Sciences & Math,GIS (Geographic Information Systems),https://libguides.tncc.edu/GIS
135,Sciences & Math,Nursing,https://libguides.tncc.edu/nursing
136,Sciences & Math,Physics,https://libguides.tncc.edu/physics
