,Category,Subject,Link
0,Adventure Studies,Adventure Studies,https://libguides.tru.ca/adventurestudies
1,Adventure Studies,Tourism,https://libguides.tru.ca/tourism
2,Animal Health Technology,Animal Health,https://libguides.tru.ca/animalhealth
3,Archaeology,Archaeology,https://libguides.tru.ca/archaeology
4,Archaeology,ARTstor,https://libguides.tru.ca/artstor
5,Architectural & Engineering Techology (ARET),Architectural & Engineering Technology (ARET),https://libguides.tru.ca/aret
6,Biology,BIOL 1210 - Library Assignment Research Guide,https://libguides.tru.ca/biol1210
7,Biology,Biology,https://libguides.tru.ca/biology
8,Biology,Environmental Studies,https://libguides.tru.ca/environmentalstudies
9,Business,Accounting and Finance,https://libguides.tru.ca/accounting
10,Business,Business,https://libguides.tru.ca/business
11,Business,Business & Economics Statistics,https://libguides.tru.ca/businessstats
12,Business,Business - Organizational Behaviour,https://libguides.tru.ca/organizationalbehaviour
13,Business,BUSN 5060 -- September 2018,https://libguides.tru.ca/BUSN5060
14,Business,"Canadian Opinions, Polls & Surveys",https://libguides.tru.ca/polls
15,Business,Data and Statistics,https://libguides.tru.ca/data
16,Business,Economics,https://libguides.tru.ca/economics
17,Business,Introduction to Business Research,https://libguides.tru.ca/IntroBusResearch
18,Business,Marketing,https://libguides.tru.ca/marketing
19,Business,MKTG 2430 -- September 2018,https://libguides.tru.ca/MKTG2430
20,Canadian Studies,Canadian Census,https://libguides.tru.ca/censuscanada
21,Canadian Studies,"Canadian Opinions, Polls & Surveys",https://libguides.tru.ca/polls
22,Canadian Studies,Canadian Painting,https://libguides.tru.ca/canadianpainting
23,Canadian Studies,Canadian Studies,https://libguides.tru.ca/canadianstudies
24,Canadian Studies,History - Canadian,https://libguides.tru.ca/canadianhistory
25,Canadian Studies,Legislation: Parliament of Canada,https://libguides.tru.ca/canadianlegislation
26,Canadian Studies,Political Studies - Canadian Political,https://libguides.tru.ca/canadianpoliticalstudies
27,Chemistry,ACS: American Chemical Society Citation Style,https://libguides.tru.ca/acs
28,Chemistry,Chemistry,https://libguides.tru.ca/chemistry
29,Citation Style Guides,ACS: American Chemical Society Citation Style,https://libguides.tru.ca/acs
30,Citation Style Guides,APA Citation Style Guide,https://libguides.tru.ca/apa
31,Citation Style Guides,Canadian Census,https://libguides.tru.ca/censuscanada
32,Citation Style Guides,Chicago Manual of Style,https://libguides.tru.ca/chicago
33,Citation Style Guides,Citation Management,https://libguides.tru.ca/citationmanagement
34,Citation Style Guides,CSE Citation Style,https://libguides.tru.ca/cse
35,Citation Style Guides,Following a Citation Trail,https://libguides.tru.ca/citationtrail
36,Citation Style Guides,MLA Citation Style,https://libguides.tru.ca/mla
37,Citation Style Guides,Plagiarism: What it is and how to avoid it.,https://libguides.tru.ca/plagiarism
38,Citation Style Guides,TRU Citation Guides,https://libguides.tru.ca/citationguides
39,Computing Science,Computing Science,https://libguides.tru.ca/computingscience
40,Data and Statistics,Business & Economics Statistics,https://libguides.tru.ca/businessstats
41,Data and Statistics,Canadian Census,https://libguides.tru.ca/censuscanada
42,Data and Statistics,"Canadian Opinions, Polls & Surveys",https://libguides.tru.ca/polls
43,Data and Statistics,Data and Statistics,https://libguides.tru.ca/data
44,Data and Statistics,Education Statistics,https://libguides.tru.ca/educationstatistics
45,Data and Statistics,Health Statistics,https://libguides.tru.ca/healthstatistics
46,Data and Statistics,Kamloops & Region Census Statistics: 1870-1971,https://libguides.tru.ca/KamloopsRegionalCensus
47,Data and Statistics,Open Data,https://libguides.tru.ca/opendata
48,Drama,Drama & Plays,https://libguides.tru.ca/dramaplays
49,Drama,Theatre,https://libguides.tru.ca/theatre
50,Economics,Business & Economics Statistics,https://libguides.tru.ca/businessstats
51,Economics,Canadian Census,https://libguides.tru.ca/censuscanada
52,Economics,Data and Statistics,https://libguides.tru.ca/data
53,Economics,Economics,https://libguides.tru.ca/economics
54,Education,Children's Literature,https://libguides.tru.ca/childrenliterature
55,Education,CSELI Resource Guide,https://libguides.tru.ca/CELT
56,Education,Data and Statistics,https://libguides.tru.ca/data
57,Education,Early Childhood Education,https://libguides.tru.ca/earlychildhoodeducation
58,Education,Education,https://libguides.tru.ca/education
59,Education,Education Statistics,https://libguides.tru.ca/educationstatistics
60,Education,Health Statistics,https://libguides.tru.ca/healthstatistics
61,Education,Lesson Planning,https://libguides.tru.ca/lessonplanning
62,Education,Literature Reviews in Education,https://libguides.tru.ca/educlitreview
63,Education,Physical Education,https://libguides.tru.ca/physicaleducation
64,Education,Secwepemctsín (Secwepemc language),https://libguides.tru.ca/secwepemctsin
65,Education,Special Education,https://libguides.tru.ca/specialeducation
66,Education,"STEM Education (Science, Technology, Engineering, and Mathematics)",https://libguides.tru.ca/stem
67,Education,Tests and Measurements in Education,https://libguides.tru.ca/educationtests
68,Engineering,Engineering,https://libguides.tru.ca/engineering
69,English,Children's Literature,https://libguides.tru.ca/childrenliterature
70,English,Creative Writing,https://libguides.tru.ca/creativewriting
71,English,Drama & Plays,https://libguides.tru.ca/dramaplays
72,English,ENGL 1100,https://libguides.tru.ca/engl1100
73,English,English 2120,https://libguides.tru.ca/engl2120
74,English,English as a Second or Additional Language,https://libguides.tru.ca/esal
75,English,English Literature,https://libguides.tru.ca/englishlit
76,English as a Second or Additional Language (ESAL),English as a Second or Additional Language,https://libguides.tru.ca/esal
77,Environmental Studies,Environmental Studies,https://libguides.tru.ca/environmentalstudies
78,Environmental Studies,Human Geography,https://libguides.tru.ca/humangeography
79,Environmental Studies,Natural Resource Science,https://libguides.tru.ca/naturalresourcescience
80,Environmental Studies,Physical Geography,https://libguides.tru.ca/physicalgeography
81,Fine Arts,ARTstor,https://libguides.tru.ca/artstor
82,Fine Arts,Canadian Painting,https://libguides.tru.ca/canadianpainting
83,Fine Arts,Ceramics,https://libguides.tru.ca/ceramics
84,Fine Arts,Fine Arts,https://libguides.tru.ca/finearts
85,Fine Arts,Photography,https://libguides.tru.ca/photography
86,Geography,Canadian Census,https://libguides.tru.ca/censuscanada
87,Geography,Data and Statistics,https://libguides.tru.ca/data
88,Geography,Environmental Studies,https://libguides.tru.ca/environmentalstudies
89,Geography,Human Geography,https://libguides.tru.ca/humangeography
90,Geography,Natural Resource Science,https://libguides.tru.ca/naturalresourcescience
91,Geography,Physical Geography,https://libguides.tru.ca/physicalgeography
92,Geology,Geology,https://libguides.tru.ca/Geology
93,History,Canadian Census,https://libguides.tru.ca/censuscanada
94,History,Data and Statistics,https://libguides.tru.ca/data
95,History,History - American,https://libguides.tru.ca/americanhistory
96,History,History - Canadian,https://libguides.tru.ca/canadianhistory
97,History,History - European,https://libguides.tru.ca/europeanhistory
98,History,History - Historical documents : how to read them,https://libguides.tru.ca/historicaldocuments
99,Horticulture,Horticulture,https://libguides.tru.ca/horticulture
100,Indigenous Studies,Health Statistics,https://libguides.tru.ca/healthstatistics
101,Indigenous Studies,Indigenous Languages,https://libguides.tru.ca/indigenouslanguages
102,Indigenous Studies,Indigenous Studies,https://libguides.tru.ca/aboriginalstudies
103,Indigenous Studies,Kamloops & Region Census Statistics: 1870-1971,https://libguides.tru.ca/KamloopsRegionalCensus
104,Indigenous Studies,Secwepemctsín (Secwepemc language),https://libguides.tru.ca/secwepemctsin
105,Indigenous Studies,Social Work,https://libguides.tru.ca/socialwork
106,Journalism,Film Studies,https://libguides.tru.ca/filmstudies
107,Journalism,Journalism,https://libguides.tru.ca/journalism
108,Journalism,Newspapers,https://libguides.tru.ca/newspapers
109,Law,Aboriginal Law,https://libguides.tru.ca/aboriginallaw
110,Law,Animal Law,https://libguides.tru.ca/animallaw
111,Law,Constitutional Law,https://libguides.tru.ca/constitutionallaw
112,Law,Criminal Law,https://libguides.tru.ca/criminallaw
113,Law,European Union Law,https://libguides.tru.ca/europeanunionlaw
114,Law,Human Rights Law,https://libguides.tru.ca/humanrightslaw
115,Law,Law,https://libguides.tru.ca/lawlib
116,Law,Law Library Guide for 1Ls,https://libguides.tru.ca/Law1Ls
117,Law,Legislation: BC,https://libguides.tru.ca/bclegislation
118,Law,Legislation: Parliament of Canada,https://libguides.tru.ca/canadianlegislation
119,Law,Lexis Advance Quicklaw - Add-On Packages,https://libguides.tru.ca/lexisaddons
120,Law,New Books in the TRU Law Library,https://libguides.tru.ca/newlawbooks
121,Law,Public International Law,https://libguides.tru.ca/publicinternationallaw
122,Law,Sports Law,https://libguides.tru.ca/sportslaw
123,Law,TRU Law Faculty Publications,https://libguides.tru.ca/lawfacultypublications
124,Mathematics,Mathematics and Statistics,https://libguides.tru.ca/mathstats
125,Natural Resources Science,Environmental Studies,https://libguides.tru.ca/environmentalstudies
126,Natural Resources Science,Natural Resource Science,https://libguides.tru.ca/naturalresourcescience
127,Natural Resources Science,Physical Geography,https://libguides.tru.ca/physicalgeography
128,Nursing,Data and Statistics,https://libguides.tru.ca/data
129,Nursing,Health Statistics,https://libguides.tru.ca/healthstatistics
130,Nursing,Nursing,https://libguides.tru.ca/nursing
131,Open Resources,Author Rights: Understanding your rights in scholarly publishing,https://libguides.tru.ca/authorrights
132,Open Resources,Library Research 101 - Doing Research at a Distance,https://libguides.tru.ca/distance
133,Open Resources,Open Access,https://libguides.tru.ca/openaccess
134,Open Resources,Open Access Journals: starting and running a journal with Digital Commons @ TRU Library,https://libguides.tru.ca/digitalcommons
135,Open Resources,Open Data,https://libguides.tru.ca/opendata
136,Open Resources,Open Education Resources (OERs),https://libguides.tru.ca/oer
137,Open Resources,Predatory Publishers : How to recognize quality publishers from questionable publishers,https://libguides.tru.ca/predatorypublishing
138,Open Resources,TRUSpace: TRU's open access digital archive,https://libguides.tru.ca/truspace
