,Category,Subject,Link
0,Art,Art (Visual Arts),https://libguides.twu.edu/artresearch
1,Biochemistry,Biochemistry,https://libguides.twu.edu/biochemistry
2,Biology,Biology,https://libguides.twu.edu/biology
3,Business,Business,https://libguides.twu.edu/c.php?g=270128
4,Business,Business - Houston,https://libguides.twu.edu/c.php?g=508933
5,Chemistry,Chemistry,https://libguides.twu.edu/chemistry
6,Communication Sciences & Disorders,Communication Sciences and Disorders,https://libguides.twu.edu/communicationsciences
7,Communication Sciences & Disorders,Deaf Education - Denton,https://libguides.twu.edu/deafeducation
8,Communication Sciences & Disorders,Speech Language Pathology - Dallas,https://libguides.twu.edu/speechlanguagepathology
9,Computer Science,Computer Science,https://libguides.twu.edu/computerscience
10,Criminal Justice,Criminal Justice,https://libguides.twu.edu/criminaljustice
11,Dance,Dance,https://libguides.twu.edu/dance
12,Dental Hygiene,Dental Hygiene,https://libguides.twu.edu/dentalhygiene
13,Dental Hygiene,Evidence-Based Practice,https://libguides.twu.edu/evidencebasedpractice
14,Drama & Theater,Drama & Theater,https://libguides.twu.edu/dramatheater
15,Education,Children's Collection,https://libguides.twu.edu/childrenscollection
16,Education,EDBE 4453 (Cowart),https://libguides.twu.edu/c.php?g=725010
17,Education,Education,https://libguides.twu.edu/c.php?g=270137
18,English,English,https://libguides.twu.edu/english
19,Family Science,Family Sciences,https://libguides.twu.edu/familystudies
20,"Fashion, Costume, & Textiles",Fashion & Textiles,https://libguides.twu.edu/fashion
21,Government & Political Science,Government & Political Science,https://libguides.twu.edu/governmentpoliticalscience
22,Health Care Administration,Health Care Administration: Houston,https://libguides.twu.edu/healthcareadministration
23,Health Studies,Health Studies,https://libguides.twu.edu/healthstudies
24,Health Systems Management,Health Systems Management - Dallas,https://libguides.twu.edu/healthsystemsmanagement
25,History,History,https://libguides.twu.edu/c.php?g=270143
26,Informatics,Informatics,https://libguides.twu.edu/informatics
27,Informatics,Nursing - Houston,https://libguides.twu.edu/c.php?g=391469
28,Kinesiology,Kinesiology & Sports,https://libguides.twu.edu/kinesiology
29,Law,Law,https://libguides.twu.edu/law
30,Library & Information Studies,Children's Collection,https://libguides.twu.edu/childrenscollection
31,Library & Information Studies,Library & Information Studies,https://libguides.twu.edu/libraryscience
32,Literature & Language,Children's Collection,https://libguides.twu.edu/childrenscollection
33,Literature & Language,English,https://libguides.twu.edu/english
34,Literature & Language,Foreign Language,https://libguides.twu.edu/foreignlanguage
35,Mathematics,Mathematics,https://libguides.twu.edu/math
36,Multicultural Women's and Gender Studies,Women's Studies,https://libguides.twu.edu/womensstudies
37,Music,Music,https://libguides.twu.edu/music
38,Nursing,Evidence-Based Practice,https://libguides.twu.edu/evidencebasedpractice
39,Nursing,Nursing - Dallas,https://libguides.twu.edu/nursing
40,Nursing,Nursing - Denton,https://libguides.twu.edu/nursingdenton
41,Nursing,Nursing - Houston,https://libguides.twu.edu/c.php?g=391469
42,Nutrition & Food Sciences,Nutrition & Food Sciences,https://libguides.twu.edu/nutritionfoodscience
43,Nutrition & Food Sciences,Nutrition and Food Sciences - Houston,https://libguides.twu.edu/c.php?g=498761
44,Occupational Therapy,Evidence-Based Practice,https://libguides.twu.edu/evidencebasedpractice
45,Occupational Therapy,Occupational Therapy - Dallas,https://libguides.twu.edu/occupationaltherapydallas
46,Occupational Therapy,Occupational Therapy - Denton,https://libguides.twu.edu/occupationaltherapydenton
47,Occupational Therapy,Occupational Therapy- Houston,https://libguides.twu.edu/c.php?g=502291
48,Philosophy & Religion,Philosophy & Religion,https://libguides.twu.edu/philosophyreligion
49,Physical Therapy,Evidence-Based Practice,https://libguides.twu.edu/evidencebasedpractice
50,Physical Therapy,Physical Therapy - Dallas,https://libguides.twu.edu/physicaltherapydallas
51,Physical Therapy,Physical Therapy - Houston,https://libguides.twu.edu/physicaltherapyhouston
52,Physics,Physics,https://libguides.twu.edu/physics
53,Psychology,Psychology,https://libguides.twu.edu/psychology
54,Reading,Children's Collection,https://libguides.twu.edu/childrenscollection
55,Reading,Reading,https://libguides.twu.edu/reading
56,Sociology & Social Work,Sociology & Social Work,https://libguides.twu.edu/sociology
57,Speech Pathology,Communication Sciences and Disorders,https://libguides.twu.edu/communicationsciences
58,Speech Pathology,Evidence-Based Practice,https://libguides.twu.edu/evidencebasedpractice
59,Speech Pathology,Speech Language Pathology - Dallas,https://libguides.twu.edu/speechlanguagepathology
60,Zoology,Zoology,https://libguides.twu.edu/zoology
