,Category,Subject,Link
0,Agriculture,* Agriculture,https://libguides.uky.edu/Agriculture
1,Agriculture,Agricultural Economics,https://libguides.uky.edu/AgEconomics
2,Agriculture,Animal & Food Science,https://libguides.uky.edu/AnimalScience
3,Agriculture,Animal Welfare,https://libguides.uky.edu/iacuc
4,Agriculture,Aquaculture and Fisheries,https://libguides.uky.edu/aquaculture
5,Agriculture,Biosystems and Agricultural Engineering,https://libguides.uky.edu/Biosystems
6,Agriculture,Community and Leadership Development,https://libguides.uky.edu/Leadership
7,Agriculture,EndNote AIC,https://libguides.uky.edu/endnoteaic
8,Agriculture,Entomology,https://libguides.uky.edu/Entomology
9,Agriculture,Forestry and Natural Resources,https://libguides.uky.edu/Forestry
10,Agriculture,Greenhouse,https://libguides.uky.edu/greenhouse
11,Agriculture,Hemp,https://libguides.uky.edu/hemp
12,Agriculture,Horticulture,https://libguides.uky.edu/Horticulture
13,Agriculture,Human Environmental Sciences,https://libguides.uky.edu/hes
14,Agriculture,Landscape Architecture,https://libguides.uky.edu/Landscape
15,Agriculture,Master Gardeners,https://libguides.uky.edu/garden
16,Agriculture,Plant & Soil Sciences,https://libguides.uky.edu/Plants
17,Agriculture,Plant Pathology,https://libguides.uky.edu/PlantPathology
18,Agriculture,Veterinary Science,https://libguides.uky.edu/VetScience
19,Anthropology,Anthropology,https://libguides.uky.edu/anthro
20,Anthropology,Life and Career of Ellen Churchill Semple,https://libguides.uky.edu/semple
21,Anthropology,University of Kentucky Faculty Publications on Migration,https://libguides.uky.edu/migration-publications
22,Appalachian Studies,Appalachia: Primary Sources in Special Collections,https://libguides.uky.edu/appalachiaSCRC
23,Appalachian Studies,Appalachian Regional Commission,https://libguides.uky.edu/ARC
24,Appalachian Studies,Athletics/Organized Sports: Primary Sources in Special Collections,https://libguides.uky.edu/c.php?g=223264
25,Appalachian Studies,Coal Mining: Primary Sources in Special Collections,https://libguides.uky.edu/SCCoal
26,Appalachian Studies,Community Studies: Primary Sources in Special Collections,https://libguides.uky.edu/SCCommStudies
27,Appalachian Studies,Energy: Primary Sources in Special Collections,https://libguides.uky.edu/c.php?g=223262
28,Appalachian Studies,Environment/Conservation: Primary Sources in Special Collections,https://libguides.uky.edu/SCEnviron
29,Appalachian Studies,Epidemics: Primary Sources in Special Collections,https://libguides.uky.edu/SCEpid
30,Appalachian Studies,Facets of Appalachian Lives,https://libguides.uky.edu/Appalachian-lives
31,Appalachian Studies,Feuds and Outlaws: Primary Sources in Special Collections,https://libguides.uky.edu/SCFeuds
32,Appalachian Studies,Fine Arts/Music/Musicians/Folk Music: Primary Sources in Special Collections,https://libguides.uky.edu/SCFineArts
33,Appalachian Studies,Great Depression: Primary Sources in Special Collections,https://libguides.uky.edu/SCDepression
34,Appalachian Studies,Iron Industry: Primary Sources in Special Collections,https://libguides.uky.edu/SCIron
35,Appalachian Studies,Kentucky History Before 1784: Primary Sources in Special Collections,https://libguides.uky.edu/SCEarlyKYHistB1780
36,Appalachian Studies,"Kentucky History, 20th Century (1900-1999): Primary Sources in Special Collections",https://libguides.uky.edu/c.php?g=223244
37,Appalachian Studies,"Kentucky History, Antebellum Era, 1843-1860: Primary Sources in Special Collections",https://libguides.uky.edu/c.php?g=223201
38,Appalachian Studies,"Kentucky History, Articles of Confederation Era (Pre-Statehood), 1784-1789: Primary Sources in Special Collections",https://libguides.uky.edu/c.php?g=223134
