,Category,Subject,Link
0,Africana,AFA 206: Survey of African Literature,https://libguides.umflint.edu/AFA206
1,Africana,AFA 216: Women Writers of the Caribbean,https://libguides.umflint.edu/AFA216
2,Africana,AFA 318: Women Writers of the African World,https://libguides.umflint.edu/AFA318
3,Africana,African American Studies,https://libguides.umflint.edu/africanamerican
4,Africana,African Studies,https://libguides.umflint.edu/africanstudies
5,Africana,Africana and Black Studies,https://libguides.umflint.edu/africana
6,Africana,Research Topic Ideas,https://libguides.umflint.edu/topics
7,Africana,UNV 100: Never Again? Holocaust & Genocide in the 20th and 21st Century,https://libguides.umflint.edu/UNVgenocide
8,Africana,UNV 100: Sites and Sounds of Africa,https://libguides.umflint.edu/UNVafrica
9,American Culture,American Culture,https://libguides.umflint.edu/americanculture
10,American Culture,United States History,https://libguides.umflint.edu/ushistory
11,Anesthesia,Anesthesia,https://libguides.umflint.edu/anesthesia
12,Anesthesia,Health Care,https://libguides.umflint.edu/health
13,Anthropology,Anthropology,https://libguides.umflint.edu/anthropology
14,Anthropology,Research Topic Ideas,https://libguides.umflint.edu/topics
15,Anthropology,Social Sciences,https://libguides.umflint.edu/SocialScience
16,Anthropology,UNV 100: Social and Cultural History of Food,https://libguides.umflint.edu/UNVfood
17,Art,Art & Art History,https://libguides.umflint.edu/art
18,Art,Research Topic Ideas,https://libguides.umflint.edu/topics
19,Arts,Art & Art History,https://libguides.umflint.edu/art
20,Arts,English & Linguistics,https://libguides.umflint.edu/english
21,Arts,Film,https://libguides.umflint.edu/film
22,Arts,Music,https://libguides.umflint.edu/music
23,Arts,Theatre & Dance,https://libguides.umflint.edu/TheatreDance
24,Astronomy,Physics and Astronomy,https://libguides.umflint.edu/physics
25,Astronomy,Research Topic Ideas,https://libguides.umflint.edu/topics
26,Biology,Biology,https://libguides.umflint.edu/biology
27,Biology,Research Topic Ideas,https://libguides.umflint.edu/topics
28,Book Reviews,Book Reviews,https://libguides.umflint.edu/bookreviews
29,Business,Accounting,https://libguides.umflint.edu/accounting
30,Business,Business,https://libguides.umflint.edu/business
31,Business,Economics,https://libguides.umflint.edu/economics
32,Business,Entrepreneurship,https://libguides.umflint.edu/Entrepreneur
33,Business,Finance,https://libguides.umflint.edu/Finance
34,Business,Human Resources Management,https://libguides.umflint.edu/HumanResources
35,Business,International Business,https://libguides.umflint.edu/InternationalBusiness
36,Business,Marketing,https://libguides.umflint.edu/Marketing
37,Business,MGT 586: International Business Law Group Project,https://libguides.umflint.edu/INB586
38,Business,Research Topic Ideas,https://libguides.umflint.edu/topics
39,Business,Supply Chain & Operations Management,https://libguides.umflint.edu/SupplyChainOperations
40,Chemistry,Chemistry,https://libguides.umflint.edu/chemistry
41,Chemistry,Research Topic Ideas,https://libguides.umflint.edu/topics
42,College & Career,College & Careers,https://libguides.umflint.edu/collegescareers
43,Communication,Communication,https://libguides.umflint.edu/communication
44,Communication,Research Topic Ideas,https://libguides.umflint.edu/topics
45,Computer Science,Computer Science,https://libguides.umflint.edu/computerscience
46,Computer Science,Research Topic Ideas,https://libguides.umflint.edu/topics
47,Course Guides,"NUR 381: International Nursing, Academic Service Learning in Cambodia",https://libguides.umflint.edu/NUR381_Cam
48,Course Guides,"NUR 381: International Nursing, Academic Service Learning in Dominican Republic",https://libguides.umflint.edu/NUR381_DR
49,Criminal Justice,Criminal Justice,https://libguides.umflint.edu/criminaljustice
50,Criminal Justice,Public Administration,https://libguides.umflint.edu/pubadmin
51,Criminal Justice,Research Topic Ideas,https://libguides.umflint.edu/topics
52,Criminal Justice,Social Sciences,https://libguides.umflint.edu/SocialScience
53,Current Events,"""Fake News,"" Lies and Propaganda: How to Sort Fact from Fiction",https://libguides.umflint.edu/fakenews
54,Current Events,African Studies,https://libguides.umflint.edu/africanstudies
