,Category,Subject,Link
0,Africa,African-American Documentary Films on DVD in the Leavey Library,https://libguides.usc.edu/aadoc
1,Africa,"History, Africa *",https://libguides.usc.edu/historyafrican
2,"Architecture, Art & Design",American Literature Archival Collections in USC Special Collections,https://libguides.usc.edu/amlit
3,"Architecture, Art & Design",Ancient Art and Archaeology *,https://libguides.usc.edu/ancient_art
4,"Architecture, Art & Design",Architectural History,https://libguides.usc.edu/architecture_history
5,"Architecture, Art & Design",Architecture*,https://libguides.usc.edu/architecture
6,"Architecture, Art & Design",Art History and Fine Arts *,https://libguides.usc.edu/art
7,"Architecture, Art & Design",Documenting Los Angeles History,https://libguides.usc.edu/documentingLA
8,"Architecture, Art & Design",Elaine Levin Archive in American Ceramics,https://libguides.usc.edu/ceramics
9,"Architecture, Art & Design","Fair Use: Using Images and Non-Textual Materials in Presentations, Papers, Theses, and Dissertations",https://libguides.usc.edu/fair_use
10,"Architecture, Art & Design",Frank Gehry,https://libguides.usc.edu/FrankGehry
11,"Architecture, Art & Design",Getting Permission to Use Archival Materials in Architecture,https://libguides.usc.edu/arch_archives_permission
12,"Architecture, Art & Design",Historic Preservation in Architecture and the Built Environment,https://libguides.usc.edu/historic_preservation
13,"Architecture, Art & Design","Hoose Library of Philosophy: Collections, History, Art & Architecture and Digital Humanities Projects and Resources",https://libguides.usc.edu/philosophylibrarycollections
14,"Architecture, Art & Design",Humanities Research Strategies,https://libguides.usc.edu/humanitiesresearch
15,"Architecture, Art & Design",Landscape Architecture,https://libguides.usc.edu/landscape_architecture
16,"Architecture, Art & Design",Organizing Research for Arts and Humanities Papers and Theses,https://libguides.usc.edu/ah_writing
17,"Architecture, Art & Design",Performing Arts Archival Collections in USC Special Collections,https://libguides.usc.edu/performingarts
18,"Architecture, Art & Design",Professional Practice in Architecture,https://libguides.usc.edu/arch_practice
19,"Architecture, Art & Design",Women in Architecture @ USC,https://libguides.usc.edu/women_architecture_usc
20,Asia,China in Documentary Film (Leavey Library),https://libguides.usc.edu/chinadoc
21,Asia,Chinese Studies *,https://libguides.usc.edu/chinese_studies
22,Asia,Japanese Studies *,https://libguides.usc.edu/japanese_studies
23,Asia,Korean Studies *,https://libguides.usc.edu/korea
24,Asia,Korean Studies Multimedia Collections,https://libguides.usc.edu/kmulti
25,Biological & Life Sciences,Biological and Life Sciences*,https://libguides.usc.edu/biology
26,"Business, Accounting, & Economics",Accounting *,https://libguides.usc.edu/Accounting
27,"Business, Accounting, & Economics",Business *,https://libguides.usc.edu/business
28,"Business, Accounting, & Economics",Business Demographics,https://libguides.usc.edu/busdem
29,"Business, Accounting, & Economics",Business Ethics and Corporate Social Responsibility,https://libguides.usc.edu/csr
30,"Business, Accounting, & Economics",Economics *,https://libguides.usc.edu/economics
31,"Business, Accounting, & Economics",Entrepreneurship,https://libguides.usc.edu/entrepreneur
32,"Business, Accounting, & Economics",Financial Databases Help Guides,https://libguides.usc.edu/finhelp
33,"Business, Accounting, & Economics",Industry Research,https://libguides.usc.edu/industries
34,"Business, Accounting, & Economics",International Business,https://libguides.usc.edu/intlbiz
35,"Business, Accounting, & Economics",Library Resources & SBMC,https://libguides.usc.edu/sbmcbiz
36,"Business, Accounting, & Economics",Mergers Acquistions and Valuation,https://libguides.usc.edu/mergers
37,"Business, Accounting, & Economics",Sustainable Business,https://libguides.usc.edu/greenbiz
38,Chemistry,Chemistry*,https://libguides.usc.edu/chem
39,Cinematic Arts,African-American Documentary Films on DVD in the Leavey Library,https://libguides.usc.edu/aadoc
40,Cinematic Arts,China in Documentary Film (Leavey Library),https://libguides.usc.edu/chinadoc
41,Cinematic Arts,Cinematic Arts *,https://libguides.usc.edu/cinema
42,Cinematic Arts,Dance Documentary Films in the Leavey Library,https://libguides.usc.edu/dancedoc
43,Cinematic Arts,Don Quixote de La Mancha,https://libguides.usc.edu/don_quixote
44,Cinematic Arts,DVDs in Leavey Library - Finding & Using,https://libguides.usc.edu/leaveydvds
45,Cinematic Arts,East/Central European Langauge Feature Films in Leavey Library (DVDs),https://libguides.usc.edu/easteurfilm
46,Cinematic Arts,Films About Film in the Leavey Library (DVDs),https://libguides.usc.edu/filmsonfilm
47,Cinematic Arts,French Language Feature Films in Leavey Library (DVDs),https://libguides.usc.edu/frenchfilm
48,Cinematic Arts,German and Dutch Language Feature Films in Leavey Library (DVDs),https://libguides.usc.edu/germandufilm
49,Cinematic Arts,"GLBT (Gay, Lesbian, Bisexual & Transgender People) Documentary Films in Leavey Library (DVDs)",https://libguides.usc.edu/glbtdocfilm
50,Cinematic Arts,"GLBT (Gay, Lesbian, Bisexual & Transgender People) Feature Films in Leavey Library (DVDs)",https://libguides.usc.edu/glbtfeatfilm
51,Cinematic Arts,Hebrew Langague Feature Films in Leavey Library (DVDs),https://libguides.usc.edu/hebrewfilm
52,Cinematic Arts,Hollywood Film Noir in Leavey Library (DVDs),https://libguides.usc.edu/filmnoir
53,Cinematic Arts,Hollywood Movie Musicals in Leavey Library (DVDs),https://libguides.usc.edu/hollymus
54,Cinematic Arts,Holocaust Documentary Films in Leavey Library (DVDs),https://libguides.usc.edu/holodoc
55,Cinematic Arts,Holocaust Feature Films in Leavey Library (DVDs),https://libguides.usc.edu/holofilm
56,Cinematic Arts,Humanities Research Strategies,https://libguides.usc.edu/humanitiesresearch
57,Cinematic Arts,Italian Language Feature Films in Leavey Library (DVDs),https://libguides.usc.edu/italfeat
58,Cinematic Arts,Middle East Language Feature Films in Leavey Library (DVDs),https://libguides.usc.edu/mideastfilm
59,Cinematic Arts,Performing Arts Archival Collections in USC Special Collections,https://libguides.usc.edu/performingarts
60,Cinematic Arts,Scandinavian/Nordic Language Feature Films in Leavey Library (DVDs),https://libguides.usc.edu/scandfilm
61,Cinematic Arts,Scripter Films in Leavey Library (DVDs),https://libguides.usc.edu/scripterleavey
62,Cinematic Arts,Silent Feature Films at the Leavey Library (DVDs),https://libguides.usc.edu/silent
63,Cinematic Arts,Spanish and Portuguese Language Feature Films in Leavey Library (DVDs),https://libguides.usc.edu/spanportfilm
64,Cinematic Arts,Theatrical Plays on DVD at the Leavey Library,https://libguides.usc.edu/leaveyplays
65,Cinematic Arts,USC Libraries and Visions & Voices: Guides to Events,https://libguides.usc.edu/visionsvoices
66,Cinematic Arts,Visions and Voices: The Magic Flute,https://libguides.usc.edu/magicflute
67,Cinematic Arts,William Shakespeare,https://libguides.usc.edu/shakespeare
68,Communication & Journalism,Chicano and Latino Newspapers in the United States,https://libguides.usc.edu/latinonewspapers
69,Communication & Journalism,Communication Informatics,https://libguides.usc.edu/comminfo
70,Communication & Journalism,Communication Management,https://libguides.usc.edu/cmgt
