,Category,Subject,Link
0,Academic Support,Citation management at UVic: Managing your references,https://libguides.uvic.ca/citations
1,Academic Support,Copyright,https://libguides.uvic.ca/copyright
2,Academic Support,E-Books,https://libguides.uvic.ca/ebooks
3,Academic Support,Education - Research Methods for Studies in Education,https://libguides.uvic.ca/educationresearchmethods
4,Academic Support,ENGLISH 135 Library Guide,https://libguides.uvic.ca/ENGL135
5,Academic Support,English 146 Library Guide,https://libguides.uvic.ca/ENGL146
6,Academic Support,Grants and Awards,https://libguides.uvic.ca/grantsandawards
7,Academic Support,High School Guide,https://libguides.uvic.ca/highschool
8,Academic Support,Law libraries and their resources,https://libguides.uvic.ca/law-libraries
9,Academic Support,Library information for distance students and programs,https://libguides.uvic.ca/distance
10,Academic Support,Library Information for International Students,https://libguides.uvic.ca/ta
11,Academic Support,Library Orientation for New Students,https://libguides.uvic.ca/newstudents
12,Academic Support,Library workshop menu,https://libguides.uvic.ca/instruction
13,Academic Support,Open Educational Resources,https://libguides.uvic.ca/oer
14,Academic Support,ORCID (Unique Personal Identifier),https://libguides.uvic.ca/orcid
15,Academic Support,Personal Librarian Program,https://libguides.uvic.ca/PLP
16,Academic Support,Research Data Services,https://libguides.uvic.ca/researchdata
17,Academic Support,Scholarly Communication,https://libguides.uvic.ca/scholcomm
18,Academic Support,UVicSpace,https://libguides.uvic.ca/uvicspace
19,African Studies,African Studies,https://libguides.uvic.ca/africa
20,Anthropology,Anthropology,https://libguides.uvic.ca/anth
21,Anthropology,Education - Foundations: Anthropology of Education NEW!,https://libguides.uvic.ca/anthropologyofeducation
22,Anthropology,Education - Research Methods for Studies in Education,https://libguides.uvic.ca/educationresearchmethods
23,Anthropology,HSTR 326 - Cultural Encounters on the Northwest Coast,https://libguides.uvic.ca/HIST354D
24,Anthropology,Research Data Services,https://libguides.uvic.ca/researchdata
25,Art,Architecture,https://libguides.uvic.ca/architecture
26,Art,Art,https://libguides.uvic.ca/art
27,Art,Art - Canadian,https://libguides.uvic.ca/art_Canada
28,Art,Art - Contemporary,https://libguides.uvic.ca/art_contemporary
29,Art,Art - Early Modern,https://libguides.uvic.ca/art_earlymod
30,Art,Art - Medieval,https://libguides.uvic.ca/art_medi
31,Art,Art - Renaissance,https://libguides.uvic.ca/art_ren
32,Art,Art - World Arts,https://libguides.uvic.ca/world
33,Art,Education - Art Education & Research,https://libguides.uvic.ca/arteducation
34,Art,Images,https://libguides.uvic.ca/image
35,Biochemistry,Biochemistry,https://libguides.uvic.ca/biochem
36,Biochemistry,Biochemistry -- BCMB301,https://libguides.uvic.ca/BCMB301A
37,Biochemistry,Microbiology,https://libguides.uvic.ca/microbiol
38,Biography & autobiography,Biography and Autobiography,https://libguides.uvic.ca/Biographies
39,Biography & autobiography,HSTR 300: Hitler in History,https://libguides.uvic.ca/hitler
40,Biography & autobiography,HSTR 320A - British Monarchy Since 1689,https://libguides.uvic.ca/monarchy
41,Biology & Forest Biology,BIOL/EOS 311 - Biological Oceanography,https://libguides.uvic.ca/BiologicalOceanography
42,Biology & Forest Biology,Biology,https://libguides.uvic.ca/biology
43,Biology & Forest Biology,BIOLOGY 184 - Fall 2018,https://libguides.uvic.ca/BIOL184
44,Biology & Forest Biology,BIOLOGY 461/561 - Fisheries Ecology & Management,https://libguides.uvic.ca/FisheriesEcology
45,Biology & Forest Biology,Forest Biology,https://libguides.uvic.ca/ForestBiology
46,Biology & Forest Biology,Research Data Services,https://libguides.uvic.ca/researchdata
47,Biology & Forest Biology,Selection of New Science Books in McPherson Libraries,https://libguides.uvic.ca/SelectedNewScienceBooks
48,Business,Business,https://libguides.uvic.ca/business
49,Business,Company Information,https://libguides.uvic.ca/companies
50,Business,Financials,https://libguides.uvic.ca/financials
51,Business,Industry Information,https://libguides.uvic.ca/industries
52,Business,Market Research,https://libguides.uvic.ca/markets
53,Business,Statistics and Data for Business,https://libguides.uvic.ca/stats-data-business
54,Canadian Studies,Art - Canadian,https://libguides.uvic.ca/art_Canada
55,Canadian Studies,Canadian Studies,https://libguides.uvic.ca/canstudies
56,Canadian Studies,Canadian Studies 101,https://libguides.uvic.ca/CS101
57,Canadian Studies,Government Publications - Canada,https://libguides.uvic.ca/canada
58,Canadian Studies,HSTR 230A/B - History of Canada,https://libguides.uvic.ca/HISTCanada
59,Canadian Studies,Literature (Canadian - English),https://libguides.uvic.ca/canlit
60,Chemistry,Biochemistry,https://libguides.uvic.ca/biochem
61,Chemistry,Chemistry,https://libguides.uvic.ca/chemistry
62,Chemistry,Patents and Standards,https://libguides.uvic.ca/patents
63,Chemistry,Research Data Services,https://libguides.uvic.ca/researchdata
64,Child & youth care,Child and Youth Care,https://libguides.uvic.ca/scyc
65,"Citation, plagiarism, and academic integrity",Citation management at UVic: Managing your references,https://libguides.uvic.ca/citations
66,"Citation, plagiarism, and academic integrity",English How-to: Avoiding plagiarism,https://libguides.uvic.ca/engl_plagiarism
67,"Citation, plagiarism, and academic integrity",Zotero,https://libguides.uvic.ca/zotero
68,"Citation, plagiarism, and academic integrity",Zotero for Law,https://libguides.uvic.ca/Zotero-Law
69,Community Development,Community Development,https://libguides.uvic.ca/communitydevelopment
70,Continuing studies,Canadian Studies,https://libguides.uvic.ca/canstudies
71,Continuing studies,Canadian Studies 101,https://libguides.uvic.ca/CS101
72,Continuing studies,Cultural Resource Management,https://libguides.uvic.ca/crm
73,Continuing studies,English as a Foreign Language,https://libguides.uvic.ca/EFL
74,Course guides,Biochemistry -- BCMB301,https://libguides.uvic.ca/BCMB301A
75,Course guides,BIOLOGY 461/561 - Fisheries Ecology & Management,https://libguides.uvic.ca/FisheriesEcology
76,Course guides,Canadian Studies 101,https://libguides.uvic.ca/CS101
77,Course guides,Comparative Copyright Law,https://libguides.uvic.ca/comparativecopyright
78,Course guides,ECON 321 - Economic History of Victoria BC,https://libguides.uvic.ca/ECON321
79,Course guides,Engineering -- ENGR120,https://libguides.uvic.ca/engr120
80,Course guides,ENGL 571: Contemporary American Fiction and Religion,https://libguides.uvic.ca/ENGL571
81,Course guides,ENGLISH 135 Library Guide,https://libguides.uvic.ca/ENGL135
82,Course guides,English 146 Library Guide,https://libguides.uvic.ca/ENGL146
83,Course guides,Health law,https://libguides.uvic.ca/healthlaw
84,Course guides,Heavy Metal Studies,https://libguides.uvic.ca/Metal
85,Course guides,Historical Foundations of the Common Law - Law 361,https://libguides.uvic.ca/law361
86,Course guides,History of China:HSTR 265A/265B/365A/365B/366/465/508A,https://libguides.uvic.ca/Chinahist
87,Course guides,HSTR 230A/B - History of Canada,https://libguides.uvic.ca/HISTCanada
88,Course guides,HSTR 300: Hitler in History,https://libguides.uvic.ca/hitler
89,Course guides,HSTR 320A - British Monarchy Since 1689,https://libguides.uvic.ca/monarchy
90,Course guides,HSTR 326 - Cultural Encounters on the Northwest Coast,https://libguides.uvic.ca/HIST354D
91,Course guides,HSTR 330: Canada in the 1960s,https://libguides.uvic.ca/c.php?g=697340
