,Category,Subject,Link
0,"Anthropology, Sociology, & Cultures",African American Studies,https://libguides.uwf.edu/AfricanAmerican
1,"Anthropology, Sociology, & Cultures",ANT 4155: Archaeology of the Southeastern US,https://libguides.uwf.edu/ant4155
2,"Anthropology, Sociology, & Cultures",Anthropology,https://libguides.uwf.edu/Anthropology
3,"Anthropology, Sociology, & Cultures",Arab World Cultures,https://libguides.uwf.edu/Arab
4,"Anthropology, Sociology, & Cultures",Archaeology,https://libguides.uwf.edu/Archaeology
5,"Anthropology, Sociology, & Cultures",eHRAF World Cultures,https://libguides.uwf.edu/ehraf
6,"Anthropology, Sociology, & Cultures",Latin American Studies,https://libguides.uwf.edu/LatinAmerica
7,"Anthropology, Sociology, & Cultures",Maritime Studies,https://libguides.uwf.edu/MaritimeStudies
8,"Anthropology, Sociology, & Cultures",Multicultural Studies,https://libguides.uwf.edu/Multicultural
9,"Anthropology, Sociology, & Cultures",Native American Studies,https://libguides.uwf.edu/NativeAmerican
10,"Anthropology, Sociology, & Cultures",Sociology,https://libguides.uwf.edu/sociology
11,"Anthropology, Sociology, & Cultures",SYD 3810: Introduction to Women's Studies,https://libguides.uwf.edu/syd3810
12,"Anthropology, Sociology, & Cultures",SYD 4800: Sociology of Sex Roles,https://libguides.uwf.edu/syd4800
13,"Anthropology, Sociology, & Cultures",SYG 2000: Introduction to Sociology (Fisher),https://libguides.uwf.edu/syg2000
14,"Anthropology, Sociology, & Cultures",SYG 2010: Current Social Problems,https://libguides.uwf.edu/syg2010
15,"Anthropology, Sociology, & Cultures",SYP 3630: Popular Culture,https://libguides.uwf.edu/syp3630
16,"Anthropology, Sociology, & Cultures",Women's Studies,https://libguides.uwf.edu/Women
17,Arts,Ancient and Medieval Art,https://libguides.uwf.edu/medievalart
18,Arts,ARH 2050: Western Survey I: Prehistory to Medieval,https://libguides.uwf.edu/arh2050
19,Arts,Art,https://libguides.uwf.edu/art
20,Arts,ART 2602: Introduction to Digital Studio Practice,https://libguides.uwf.edu/art2602
21,Arts,Hamilton: An American Musical,https://libguides.uwf.edu/hamilton
22,Arts,MUH 3211/3212: History of Western Music,https://libguides.uwf.edu/muh3211_3212
23,Arts,Music,https://libguides.uwf.edu/Music
24,Arts,Skylab MakerSpace,https://libguides.uwf.edu/c.php?g=702115
25,Arts,Theatre,https://libguides.uwf.edu/theatre
26,Business & Administration,Accounting,https://libguides.uwf.edu/accounting
27,Business & Administration,Advertising and Public Relations,https://libguides.uwf.edu/advertising
28,Business & Administration,Building Construction,https://libguides.uwf.edu/construction
29,Business & Administration,Data Analysis,https://libguides.uwf.edu/data
30,Business & Administration,Economics,https://libguides.uwf.edu/economics
31,Business & Administration,Finance,https://libguides.uwf.edu/finance
32,Business & Administration,Health Care Administration,https://libguides.uwf.edu/healthadmin
33,Business & Administration,Hospitality and Resort Management,https://libguides.uwf.edu/hospitality
34,Business & Administration,Industry,https://libguides.uwf.edu/industry
35,Business & Administration,International Business,https://libguides.uwf.edu/internationalbusiness
36,Business & Administration,Intrinsic Investment Research,https://libguides.uwf.edu/intrinsic
37,Business & Administration,Investment Research,https://libguides.uwf.edu/investment
38,Business & Administration,Logistics,https://libguides.uwf.edu/logistics
39,Business & Administration,Management,https://libguides.uwf.edu/management
40,Business & Administration,Marketing,https://libguides.uwf.edu/marketing
41,Business & Administration,MBA,https://libguides.uwf.edu/mba
42,Business & Administration,Public Administration,https://libguides.uwf.edu/pa
43,Business & Administration,Small Business Development,https://libguides.uwf.edu/smallbusiness
44,Communications & Media,Advertising and Public Relations,https://libguides.uwf.edu/advertising
45,Communications & Media,Communication,https://libguides.uwf.edu/communication
46,Communications & Media,Film Studies,https://libguides.uwf.edu/filmstudies
47,Communications & Media,SPC 2608: Basic Communication Skills (Speech!),https://libguides.uwf.edu/spc2608
48,Computer & Information Technology,Computer Science,https://libguides.uwf.edu/computer
49,Computer & Information Technology,Cybersecurity,https://libguides.uwf.edu/cybersecurity
50,Computer & Information Technology,IEEE Style Guide,https://libguides.uwf.edu/ieee
51,Computer & Information Technology,Instructional Technology,https://libguides.uwf.edu/it
52,Criminal Justice,Criminal Justice,https://libguides.uwf.edu/criminaljustice
53,Education,Children's Literature,https://libguides.uwf.edu/childrenliterature
54,Education,Children's Literature Comprehensive Database (CLCD),https://libguides.uwf.edu/clcd
55,Education,Classroom Management,https://libguides.uwf.edu/cm
56,Education,Early Childhood Education,https://libguides.uwf.edu/ece
57,Education,Ed. D. Library Resources,https://libguides.uwf.edu/edd
58,Education,EDF 7573: Contemporary Curriculum Issues and Theories,https://libguides.uwf.edu/edf7573
59,Education,Education,https://libguides.uwf.edu/education
60,Education,English for Speakers of Other Languages,https://libguides.uwf.edu/esol
61,Education,FTCE/FELE Prep Guide,https://libguides.uwf.edu/ftce
62,Education,Higher Education,https://libguides.uwf.edu/higher
63,Education,Holocaust Resources for Children,https://libguides.uwf.edu/holocaustchildren
64,Education,Instructional Technology,https://libguides.uwf.edu/it
65,Education,Lesson Planning,https://libguides.uwf.edu/lp
