,Category,Subject,Link
0,01 Multidisciplinary,A Beginner's Guide to Library Research,https://libguides.uwinnipeg.ca/research
1,01 Multidisciplinary,Citing in APA Style,https://libguides.uwinnipeg.ca/apastyle
2,01 Multidisciplinary,Citing in MLA Style,https://libguides.uwinnipeg.ca/mlastyle
3,01 Multidisciplinary,Cultural Studies,https://libguides.uwinnipeg.ca/culturalstudies
4,01 Multidisciplinary,Disability Studies,https://libguides.uwinnipeg.ca/c.php?g=701258
5,01 Multidisciplinary,History of Science,https://libguides.uwinnipeg.ca/c.php?g=704543
6,01 Multidisciplinary,Pipeline Politics,https://libguides.uwinnipeg.ca/pipelines
7,01 Multidisciplinary,Queer Studies,https://libguides.uwinnipeg.ca/queerstudies
8,Anthropology,Anthropology,https://libguides.uwinnipeg.ca/anthropology
9,Anthropology,Anthropology of Food,https://libguides.uwinnipeg.ca/anthropologyoffood
10,Anthropology,Cultural Studies,https://libguides.uwinnipeg.ca/culturalstudies
11,Anthropology,Public Anthropology,https://libguides.uwinnipeg.ca/publicanthropology
12,Anthropology,"Race, Racialization and Racism",https://libguides.uwinnipeg.ca/racialization
13,Anthropology,Sociolinguistics,https://libguides.uwinnipeg.ca/sociolinguistics
14,Applied Computer Science,Applied Computer Science,https://libguides.uwinnipeg.ca/acs
15,Biography,Biography,https://libguides.uwinnipeg.ca/biography
16,Biology,Biology,https://libguides.uwinnipeg.ca/biology
17,Biology,History of Science,https://libguides.uwinnipeg.ca/c.php?g=704543
18,Business & Economics,Business and Administration,https://libguides.uwinnipeg.ca/bus
19,Business & Economics,Economics,https://libguides.uwinnipeg.ca/economics
20,Business & Economics,Finance,https://libguides.uwinnipeg.ca/efin
21,Business & Economics,Financial Exclusion,https://libguides.uwinnipeg.ca/financialexclusion
22,Business & Economics,Project Management,https://libguides.uwinnipeg.ca/pm
23,Chemistry,Chemistry,https://libguides.uwinnipeg.ca/chemistry
24,Chemistry,Environmental Toxicology,https://libguides.uwinnipeg.ca/envtox
25,Chemistry,History of Science,https://libguides.uwinnipeg.ca/c.php?g=704543
26,Classics (Greek and Roman Studies),Classics,https://libguides.uwinnipeg.ca/classics
27,Conflict Resolution Studies,"Colonization, Decolonization and Postcolonialism: An Interdisciplinary Guide",https://libguides.uwinnipeg.ca/decolonizing
28,Conflict Resolution Studies,Conflict Resolution Studies,https://libguides.uwinnipeg.ca/crs
29,Conflict Resolution Studies,Human Rights Studies,https://libguides.uwinnipeg.ca/humanrights
30,Conflict Resolution Studies,Israeli–Palestinian conflict,https://libguides.uwinnipeg.ca/israel_palestine
31,Conflict Resolution Studies,Nuclear Disarmament and Nonproliferation,https://libguides.uwinnipeg.ca/nuclearnonproliferation
32,Conflict Resolution Studies,Political Science,https://libguides.uwinnipeg.ca/politics
33,Conflict Resolution Studies,"Race, Racialization and Racism",https://libguides.uwinnipeg.ca/racialization
34,Conflict Resolution Studies,Refugees and Forced Migration,https://libguides.uwinnipeg.ca/refugees
35,Criminal Justice,Canadian Census Data,https://libguides.uwinnipeg.ca/census
36,Criminal Justice,Criminal Justice,https://libguides.uwinnipeg.ca/criminaljustice
37,Criminal Justice,"Race, Racialization and Racism",https://libguides.uwinnipeg.ca/racialization
38,Data,Canadian Census Data,https://libguides.uwinnipeg.ca/census
39,Development Practice,"Colonization, Decolonization and Postcolonialism: An Interdisciplinary Guide",https://libguides.uwinnipeg.ca/decolonizing
40,Development Practice,Financial Exclusion,https://libguides.uwinnipeg.ca/financialexclusion
41,Development Practice,Food Security & Farm Sustainability,https://libguides.uwinnipeg.ca/c.php?g=699997
42,Development Practice,Indigenous Studies,https://libguides.uwinnipeg.ca/indigenousstudies
43,Development Practice,Pipeline Politics,https://libguides.uwinnipeg.ca/pipelines
44,Development Practice,"Race, Racialization and Racism",https://libguides.uwinnipeg.ca/racialization
45,Development Practice,Urban and Inner City Studies,https://libguides.uwinnipeg.ca/urbanstudies
46,Developmental Studies,Developmental Studies,https://libguides.uwinnipeg.ca/developmentalstudies
47,Education,Education,https://libguides.uwinnipeg.ca/education
48,Education,Inclusive Approaches to Teaching Exceptional Children,https://libguides.uwinnipeg.ca/inclusiveapproaches
49,Education,"Race, Racialization and Racism",https://libguides.uwinnipeg.ca/racialization
50,English,"Colonization, Decolonization and Postcolonialism: An Interdisciplinary Guide",https://libguides.uwinnipeg.ca/decolonizing
51,English,Cultural Studies,https://libguides.uwinnipeg.ca/culturalstudies
52,English,English,https://libguides.uwinnipeg.ca/english
53,English,English as an Additional Language,https://libguides.uwinnipeg.ca/EAL
54,English,"Race, Racialization and Racism",https://libguides.uwinnipeg.ca/racialization
55,English,Shakespeare Studies,https://libguides.uwinnipeg.ca/ShakespeareStudies
56,Environmental Studies and Sciences,Climate Change,https://libguides.uwinnipeg.ca/climatechange
57,Environmental Studies and Sciences,Environmental Studies and Sciences,https://libguides.uwinnipeg.ca/environmental
58,Environmental Studies and Sciences,Environmental Toxicology,https://libguides.uwinnipeg.ca/envtox
59,Environmental Studies and Sciences,Food Security & Farm Sustainability,https://libguides.uwinnipeg.ca/c.php?g=699997
60,Environmental Studies and Sciences,Pipeline Politics,https://libguides.uwinnipeg.ca/pipelines
