,Category,Subject,Link
0,Africana Studies,AFR 244: Women & Slavery,https://libguides.wellesley.edu/afr244
1,Africana Studies,AFR 306: Urban Development & the Underclass,https://libguides.wellesley.edu/afr306
2,Africana Studies,Africana Studies,https://libguides.wellesley.edu/africana
3,American Studies,American Studies,https://libguides.wellesley.edu/amst
4,American Studies,"AMST 315: Beats, Rhymes, and Life",https://libguides.wellesley.edu/amst315
5,American Studies,SOC/AMST 225: Life in the Big City,https://libguides.wellesley.edu/soc225
6,American Studies,SOC/AMST 251: Racial Regimes of Domination in the United States and Beyond,https://libguides.wellesley.edu/soc251
7,Anthropology,ANTH 104: Introduction to Cultural and Social Anthropology,https://libguides.wellesley.edu/anth104
8,Anthropology,ANTH 204: Physical Anthropology,https://libguides.wellesley.edu/anth204
9,Anthropology,ANTH 209: Forensic Anthropology,https://libguides.wellesley.edu/anth209
10,Anthropology,ANTH 232: Anthropology of Media,https://libguides.wellesley.edu/anth232
11,Anthropology,ANTH 299: Home & Away - Iceland Field Course,https://libguides.wellesley.edu/anth299iceland
12,Anthropology,ANTH 300: Ethnographic Methods & Writing,https://libguides.wellesley.edu/anth300
13,Anthropology,ANTH 346: Political Lives of NGOs,https://libguides.wellesley.edu/c.php?g=656146
14,Anthropology,Anthropology,https://libguides.wellesley.edu/anthropology
15,Anthropology,"REL/ANTH 235: Religion, Healing, and Medicine",https://libguides.wellesley.edu/rel235
16,Anthropology,WR101/ANTH 114: Finding and Citing Media Sources,https://libguides.wellesley.edu/c.php?g=587145
17,Art & Architecture,Art and Architecture,https://libguides.wellesley.edu/art
18,Art & Architecture,Book Arts at Wellesley,https://libguides.wellesley.edu/bookarts
19,Art & Architecture,Fashion and Costume History,https://libguides.wellesley.edu/fashion
20,Astronomy & Astrophysics,Astronomy,https://libguides.wellesley.edu/astronomy
21,Biological Chemistry,Biological Chemistry,https://libguides.wellesley.edu/biochemistry
22,Biological Sciences,Biological Sciences,https://libguides.wellesley.edu/biologicalsciences
23,Chemistry,CHEM 212: Organic Chemistry II,https://libguides.wellesley.edu/chem212
24,Chemistry,Chemistry,https://libguides.wellesley.edu/chemistry
25,Cinema & Media Studies,Cinema & Media Studies,https://libguides.wellesley.edu/cams
26,Cinema & Media Studies,Disability in the Media,https://libguides.wellesley.edu/disabilitymedia
27,Classical Studies,Classical Studies,https://libguides.wellesley.edu/classics
28,Cognitive & Linguistic Sciences,Cognitive and Linguistic Sciences,https://libguides.wellesley.edu/clsc
29,Comparative Literature,English and Comparative Literature,https://libguides.wellesley.edu/english
30,Computer Science,Computer Science,https://libguides.wellesley.edu/computerscience
31,Course Guides,AFR 244: Women & Slavery,https://libguides.wellesley.edu/afr244
32,Course Guides,AFR 306: Urban Development & the Underclass,https://libguides.wellesley.edu/afr306
33,Course Guides,ANTH 209: Forensic Anthropology,https://libguides.wellesley.edu/anth209
34,Course Guides,ANTH 232: Anthropology of Media,https://libguides.wellesley.edu/anth232
35,Course Guides,ARAB 101-102: Elementary Arabic,https://libguides.wellesley.edu/ARAB101
36,Course Guides,CHEM 212: Organic Chemistry II,https://libguides.wellesley.edu/chem212
37,Course Guides,ECON 203: Econometrics,https://libguides.wellesley.edu/econ203
38,Course Guides,EDUC 212: History of American Education,https://libguides.wellesley.edu/educ212
39,Course Guides,ENG 111: Making Gloriana: Imagining Elizabeth I in Literature,https://libguides.wellesley.edu/gloriana
40,Course Guides,ENG 213: Chaucer,https://libguides.wellesley.edu/chaucer
41,Course Guides,FREN 324: La Belle Époque,https://libguides.wellesley.edu/belleepoque
42,Course Guides,HIST 302: World War II as Memory & Myth,https://libguides.wellesley.edu/hist302
43,Course Guides,"PEAC 104: Introduction to the Study of Conflict, Justice, & Peace",https://libguides.wellesley.edu/peac104
44,Course Guides,"POL 215: Courts, Law & Politics",https://libguides.wellesley.edu/pol215
45,Course Guides,SOC 308: Children in Society,https://libguides.wellesley.edu/soc308
46,Course Guides,SPAN 302: Cervantes,https://libguides.wellesley.edu/span302
