,Category,Subject,Link
0,Accounting,Accounting Subject Guide,https://libguides.wlu.edu/accounting
1,Accounting,John Tombarge,https://libguides.wlu.edu/prf.php?account_id=1433
2,Accounting,Accounting,https://libguides.wlu.edu/sb.php?subject_id=1287
3,Africana Studies,AFRICANA STUDIES 130: INTRODUCTION TO AFRICANA STUDIES (Professor Kamara),https://libguides.wlu.edu/afca130
4,Art History and Studio Art,Art History & Studio Art Subject Guide,https://libguides.wlu.edu/arthistory
5,Art History and Studio Art,ARTS 292: ARTISTIC COLLABORATION AND COMMUNITY ENGAGEMENT (Professor Griffiths),https://libguides.wlu.edu/arts292
6,Art History and Studio Art,ARTstor digital library,https://libguides.wlu.edu/artstor
7,Biology,Biology,https://libguides.wlu.edu/biology
8,Business Administration,Business Administration Subject Guide,https://libguides.wlu.edu/business
9,Business Administration,Marketing Research Resources,https://libguides.wlu.edu/marketing
10,Chemistry & Biochemistry,Biochemistry II (CHEM 342),https://libguides.wlu.edu/chem342
11,Chemistry & Biochemistry,Chemistry & Biochemistry,https://libguides.wlu.edu/chemistry
12,Classics,Classics Subject Guide,https://libguides.wlu.edu/classics
13,East Asian Languages and Literatures,East Asian Languages and Literatures Subject Guide,https://libguides.wlu.edu/eall
14,East Asian Languages and Literatures,JAPN: Resources for the Study of Japanese Language and Literature,https://libguides.wlu.edu/japanese
15,East Asian Languages and Literatures,LIT 220: Modern Chinese Literature in Translation,https://libguides.wlu.edu/LIT220
16,East Asian Languages and Literatures,LIT 223: Food and Tea in Japan,https://libguides.wlu.edu/LIT223japanfoodandtea
17,East Asian Languages and Literatures,LIT 225: Poetry and Drama of Japan,https://libguides.wlu.edu/poetryanddramajapan
18,East Asian Languages and Literatures,The Japanese Tea Ceremony,https://libguides.wlu.edu/japaneseteaceremony
19,Economics,Econometrics (Econ 203),https://libguides.wlu.edu/econometrics
20,Economics,Economics Subject Guide,https://libguides.wlu.edu/Economics
21,Education,EDUCATION 200: FOUNDATIONS OF EDUCATION (Professor Moffa and Professor Sigler),https://libguides.wlu.edu/educ200
22,English,English Language and Literature Subject Guide,https://libguides.wlu.edu/english
23,Environmental Studies,ENVIRONMENTAL STUDIES 110: INTRODUCTION TO ENVIRONMENTAL STUDIES (Professor Hodge),https://libguides.wlu.edu/envst110
24,Environmental Studies,POLITICS 233: ENVIRONMENTAL POLICY AND LAW (Professor Harris),https://libguides.wlu.edu/pol233
25,Film Studies,FILM STUDIES 196: FRENCH NEW WAVE FILM (Professor Lambeth),https://libguides.wlu.edu/film196
26,Film Studies,FILM STUDIES RESEARCH: GETTING STARTED,https://libguides.wlu.edu/filmresearch
27,Film Studies,MUSIC / FILM 285: MUSIC IN THE FILMS OF STANLEY KUBRICK (Professor Gaylard),https://libguides.wlu.edu/film285
28,French,French 397: Femmes Ecrivaines Africaines: s'Ecrire et Ecrire le Monde,https://libguides.wlu.edu/fren397kamara
29,French,French Language and Literature Subject Guide,https://libguides.wlu.edu/french
30,Geology,Geology,https://libguides.wlu.edu/geology
31,German,German Language and Literature Subject Guide,https://libguides.wlu.edu/german
32,History,"History 207 / ARTS 222: Paris: History, Image, Myth",https://libguides.wlu.edu/Paris
33,History,"History 220: Imperial Russia, 1682-1917",https://libguides.wlu.edu/imperialrussia
34,History,History 269: Winning World War II,https://libguides.wlu.edu/hist269
35,History,HISTORY 322: The USSR in World War II and the origins of the Cold War,https://libguides.wlu.edu/history322
36,History,History Subject Guide,https://libguides.wlu.edu/History
37,History,Islamic Studies Research Guide,https://libguides.wlu.edu/islamicstudies
38,Interdepartmental,Islamic Studies Research Guide,https://libguides.wlu.edu/islamicstudies
39,Italian,Italian Language and Literature Subject Guide,https://libguides.wlu.edu/italian
40,Journalism and Mass Communications,JOURNALISM 101: INTRODUCTION TO MASS COMMUNICATIONS (Professor Abah),https://libguides.wlu.edu/jour101abah
41,Journalism and Mass Communications,JOURNALISM 190: BEYOND GOOGLE AND WIKIPEDIA (Professors Locy and Grefe),https://libguides.wlu.edu/jour190fall2018
42,Journalism and Mass Communications,JOURNALISM 204: MEDIA BIAS: BEYOND RIGHT AND LEFT (Professor Coddington),https://libguides.wlu.edu/jour204
43,Journalism and Mass Communications,JOURNALISM 332: RESEARCH METHODS IN MASS COMMUNICATIONS (Professor Coddington),https://libguides.wlu.edu/jour332
44,Journalism and Mass Communications,JOURNALISM 372: REPORTING ON THE ECONOMY (Professor Swasy),https://libguides.wlu.edu/jour372
45,Journalism and Mass Communications,POLITICS 203: STATE AND LOCAL GOVERNMENT (Professor Finch),https://libguides.wlu.edu/pol203
46,Journalism and Mass Communications,PROFESSIONAL JOURNALISM AND STRATEGIC COMMUNICATION SITES,https://libguides.wlu.edu/jourprof
47,Journalism and Mass Communications,TOP ONLINE NEWS SITES,https://libguides.wlu.edu/digitalnews
48,Journalism and Mass Communications,WRITING 100: THE PRESS AND THE CIVIL RIGHTS MOVEMENT (Professor Cumming),https://libguides.wlu.edu/writ100civil
49,Latin American and Caribbean Studies,LACS 101: INTRODUCTION TO LATIN AMERICAN AND CARIBBEAN STUDIES (Professor Michelson),https://libguides.wlu.edu/lacs101michelson
50,Latin American and Caribbean Studies,LACS 396: CAPSTONE SEMINAR IN LATIN AMERICAN AND CARIBBEAN STUDIES (Professor Michelson),https://libguides.wlu.edu/lacs396_2018
51,Law,Bankruptcy Law--A Guide to Resources,https://libguides.wlu.edu/bankruptcylaw
52,Law,Bar Exam Resources,https://libguides.wlu.edu/barexam
53,Law,Beyond the Text: Study Guides for First Year Classes,https://libguides.wlu.edu/law/studyguides
54,Law,Bibliographic Managers,https://libguides.wlu.edu/bibmanagers
55,Law,Civil Rights Law Research Guide,https://libguides.wlu.edu/law/civilrights
56,Law,Comparative Criminal Law,https://libguides.wlu.edu/comparativecrimlaw
57,Law,Comparative Health Care Law,https://libguides.wlu.edu/c.php?g=99578
58,Law,Employment Discrimination,https://libguides.wlu.edu/law/employmentdiscrimination
59,Law,Federal Legislative & Regulatory Resources for Research,https://libguides.wlu.edu/Federal_LegislationRegulation
60,Law,"Free, Efficient, and Cost-Effective Legal Research",https://libguides.wlu.edu/effectiveresearch
61,Law,German Legal Research at W&L,https://libguides.wlu.edu/germanlaw
62,Law,Legal Research Certification 2014,https://libguides.wlu.edu/researchcert2014
63,Law,Legal Research Certification 2015,https://libguides.wlu.edu/researchcert2015
64,Law,Manage Your Online Presence,https://libguides.wlu.edu/webpresence
65,Law,Researching Legal Ethics & Professional Responsibility,https://libguides.wlu.edu/law/ethics
