,Category,Subject,Link
0,Africana Studies,Africana Studies,https://libguides.wooster.edu/africanastudies
1,Anthropology,Anthropology,https://libguides.wooster.edu/anthropology
2,Archaeology,Archaeology,https://libguides.wooster.edu/archaeology
3,Art,Art (Studio and History),https://libguides.wooster.edu/art
4,Art,Book Arts and Artists' Books,https://libguides.wooster.edu/speccollbookarts
5,Biochemistry and Molecular Biology,BCMB 401 - Spring 2018,https://libguides.wooster.edu/bcmb401
6,Biochemistry and Molecular Biology,Biochemistry and Molecular Biology Subject Guide,https://libguides.wooster.edu/bcmb
7,Biochemistry and Molecular Biology,How Do I... Register for SciFinder?,https://libguides.wooster.edu/SciFinder
8,Biology,Biology Subject Guide,https://libguides.wooster.edu/biology
9,Chemistry,Chemistry 401 - Spring 2018,https://libguides.wooster.edu/CHEM401
10,Chemistry,Chemistry Subject Guide,https://libguides.wooster.edu/chemistry
11,Chemistry,How Do I... Register for SciFinder?,https://libguides.wooster.edu/SciFinder
12,Classical Studies,Classical Studies,https://libguides.wooster.edu/ClassicalStudies
13,Communication,Communication Sciences & Disorders (CSD),https://libguides.wooster.edu/CSD
14,Communication,Communication Studies,https://libguides.wooster.edu/CommunicationStudies
15,Computer Science,Computer Science Subject Guide,https://libguides.wooster.edu/compsci
16,Computer Science,Mathematics Subject Guide,https://libguides.wooster.edu/math
17,Dance,Theatre and Dance,https://libguides.wooster.edu/theatre
18,Digital Media,Digital Media,https://libguides.wooster.edu/digitalmedia
19,Earth Sciences,Earth Sciences Subject Guide,https://libguides.wooster.edu/earth
20,East Asia,East Asian Studies and Chinese Language,https://libguides.wooster.edu/EastAsian
21,Economics,Economics and Business Economics,https://libguides.wooster.edu/economics
22,Economics,Government Information Resources,https://libguides.wooster.edu/govinfo
23,Economics,Urban Studies,https://libguides.wooster.edu/urbanstudies
24,Education,Education--PreK-12,https://libguides.wooster.edu/preK-12education
25,Education,Education: Higher Education,https://libguides.wooster.edu/highered
26,Electronic Books,eBooks,https://libguides.wooster.edu/ebooks
27,English and Literature,English and Literature,https://libguides.wooster.edu/englishandliterature
28,Environmental Studies,Environmental Studies Subject Guide,https://libguides.wooster.edu/envs
29,Events and Exhibits,#ResearchProTips - Past Library Workshops,https://libguides.wooster.edu/researchprotipspast
30,Events and Exhibits,Hidden Science Superstars,https://libguides.wooster.edu/science-superstars
31,Events and Exhibits,Library Workshops - Fall 2018,https://libguides.wooster.edu/workshops
32,Events and Exhibits,Lincoln: The Constitution and the Civil War (Fall 2015),https://libguides.wooster.edu/lincoln
33,Events and Exhibits,Scholarly Impact Metrics: Telling Your Story,https://libguides.wooster.edu/impact-metrics
34,Film Studies,Film Studies,https://libguides.wooster.edu/filmstudies2011-2012
35,First Year Seminar,First Year Library Challenge 2018,https://libguides.wooster.edu/challenge
36,First Year Seminar,"FYS - Asia's Political Princesses - Singh, 2018",https://libguides.wooster.edu/singhfys2018
37,First Year Seminar,FYS - B-Boys and Ballerinas: Examining Culture Through Dance - Tritt (2018),https://libguides.wooster.edu/FYSTritt2018
38,First Year Seminar,FYS - Data-Driven Digital Society - Sommer (2018),https://libguides.wooster.edu/fys/sommer
39,First Year Seminar,FYS - Fiddling on the Roof - Friedman (2018),https://libguides.wooster.edu/FYSFriedman2018
40,First Year Seminar,"FYS - Freedom of Speech and Censorship - Lindberg, 2018",https://libguides.wooster.edu/lindbergfys2018
41,First Year Seminar,"FYS - Global Issues and Engagement - Kille, Fall 2018",https://libguides.wooster.edu/killefys2018
42,First Year Seminar,"FYS - Removing the Eww from Taboo - Custer, Fall 2018",https://libguides.wooster.edu/custerfys2018
43,First Year Seminar,FYS - STEM X-ing - Sobeck (2018),https://libguides.wooster.edu/fys/sobeck
44,First Year Seminar,FYS - Theatre Matters! - Seeds (2018),https://libguides.wooster.edu/FYSseeds2016
45,First Year Seminar,FYS - To Afrofutures and Beyond - Thelamour (2018),https://libguides.wooster.edu/fys/thelamour
46,French,French,https://libguides.wooster.edu/french
47,Geology,Earth Sciences Subject Guide,https://libguides.wooster.edu/earth
48,German,German Studies,https://libguides.wooster.edu/german
49,Global and International Studies,Global and International Studies,https://libguides.wooster.edu/ir
50,Government Information,Government Information Resources,https://libguides.wooster.edu/govinfo
51,History,HIST 101 - History of Sexualities - Biro (2018),https://libguides.wooster.edu/HIST101Biro2015
52,History,HISTORY,https://libguides.wooster.edu/historygeneral
53,History,Latin American Studies,https://libguides.wooster.edu/latinamerica
54,How Do I...,#ResearchProTips - Past Library Workshops,https://libguides.wooster.edu/researchprotipspast
55,How Do I...,Faculty Guide to the Libraries,https://libguides.wooster.edu/faculty
56,How Do I...,How Do I... Register for SciFinder?,https://libguides.wooster.edu/SciFinder
57,How Do I...,How Do I...Check Out Materials,https://libguides.wooster.edu/checkout
58,How Do I...,How Do I...Cite Sources,https://libguides.wooster.edu/citesources
59,How Do I...,How Do I...Connect from Off-Campus,https://libguides.wooster.edu/connect
60,How Do I...,How Do I...Evaluate Information,https://libguides.wooster.edu/evaluation
61,How Do I...,How Do I...Find Articles,https://libguides.wooster.edu/findarticles
62,How Do I...,How Do I...Renew Books,https://libguides.wooster.edu/howdoirenew
63,How Do I...,How Do I...Use MyCONSORT,https://libguides.wooster.edu/myconsort
64,How Do I...,Library Workshops - Fall 2018,https://libguides.wooster.edu/workshops
65,How Do I...,Senior I.S. Advice from the Librarians,https://libguides.wooster.edu/seniors
66,How Do I...,Zotero,https://libguides.wooster.edu/zotero
67,Latin American Studies,Latin American Studies,https://libguides.wooster.edu/latinamerica
68,Law,Law and Legislation,https://libguides.wooster.edu/law
69,Mathematics,Computer Science Subject Guide,https://libguides.wooster.edu/compsci
70,Mathematics,Mathematics Subject Guide,https://libguides.wooster.edu/math
71,Music,MUSC 140 / 240 / 401 / 451 - Voice and Opera - De Lapp-Culver,https://libguides.wooster.edu/voice
72,Music,Music,https://libguides.wooster.edu/music
73,Music,Music Therapy,https://libguides.wooster.edu/musictherapy
74,Neuroscience,Neuroscience Subject Guide,https://libguides.wooster.edu/neuro
75,News,News Sources,https://libguides.wooster.edu/news
76,Open Access,Free and Open Media,https://libguides.wooster.edu/open-media
77,Open Access,Open Access,https://libguides.wooster.edu/open-access
78,Open Access,Open Educational Resources (OER) & Open Textbooks,https://libguides.wooster.edu/oer
79,Other,CoRE Awards for IS Symposium,https://libguides.wooster.edu/coreawards
80,Other,Data and Statistics,https://libguides.wooster.edu/data
81,Philosophy,Philosophy,https://libguides.wooster.edu/philosophy
82,Physical Education,PHED 200 - Women In Sport - Meese (Spring 2017),https://libguides.wooster.edu/PE200
83,Physical Education,Physical Education,https://libguides.wooster.edu/PhysEd
84,Physics,Physics 401 - Spring 2018,https://libguides.wooster.edu/phys401
85,Physics,Physics Subject Guide,https://libguides.wooster.edu/physics
86,Political Science,Government Information Resources,https://libguides.wooster.edu/govinfo
87,Political Science,Political Science,https://libguides.wooster.edu/polisci
88,Political Science,"PSCI 249 - Government and Politics of Africa - N'Diaye, Fall 2018",https://libguides.wooster.edu/c.php?g=864530
89,Political Science,Urban Studies,https://libguides.wooster.edu/urbanstudies
90,Psychology,Psychology Subject Guide,https://libguides.wooster.edu/psychology
91,Publishing,Publishers and Bookstores,https://libguides.wooster.edu/publishers
92,Reference,Biographical Information,https://libguides.wooster.edu/biography
93,Reference,Digital Media,https://libguides.wooster.edu/digitalmedia
94,Reference,eBooks,https://libguides.wooster.edu/ebooks
95,Reference,Government Information Resources,https://libguides.wooster.edu/govinfo
96,Reference,News Sources,https://libguides.wooster.edu/news
97,Reference,Publishers and Bookstores,https://libguides.wooster.edu/publishers
98,Reference,Quick Reference,https://libguides.wooster.edu/quickref
99,Reference,"Reviews (Books, Films, Theatre)",https://libguides.wooster.edu/reviews
100,Reference,Statistics and Data,https://libguides.wooster.edu/statistics
101,Religious Studies,Religious Studies,https://libguides.wooster.edu/religion
102,Religious Studies,Religious Studies Courses: Quick Reference Sources,https://libguides.wooster.edu/religionquick
103,Religious Studies,RELS 12000 - Introduction to Biblical Studies - Park (Spring 2016),https://libguides.wooster.edu/RELS12000
104,Reviews,"Reviews (Books, Films, Theatre)",https://libguides.wooster.edu/reviews
105,Russian Studies,RUSS 401 - Independent Study,https://libguides.wooster.edu/russ401
106,Russian Studies,Russian Studies,https://libguides.wooster.edu/russian
107,Sociology,Sociology,https://libguides.wooster.edu/Sociology
108,Sociology,Urban Studies,https://libguides.wooster.edu/urbanstudies
109,South Asia,South Asian Studies,https://libguides.wooster.edu/SouthAsian
110,Spanish,Spanish,https://libguides.wooster.edu/spanish
111,Statistics,Statistics and Data,https://libguides.wooster.edu/statistics
112,Theatre,Theatre and Dance,https://libguides.wooster.edu/theatre
113,Urban Studies,Urban Studies,https://libguides.wooster.edu/urbanstudies
114,"Women's, Gender, and Sexuality Studies","Women's, Gender, and Sexuality Studies",https://libguides.wooster.edu/WGGS
