,Category,Subject,Link
0,Advertising,Advertising and Public Relations,https://libguides.wvu.edu/advertising_public_relations
1,Advertising,Data Marketing Communications,https://libguides.wvu.edu/DMC
2,Advertising,Graphic Design: Resource Guide,https://libguides.wvu.edu/graphicdesign
3,Advertising,Integrated Marketing Communications,https://libguides.wvu.edu/IMC
4,Advertising,Jing Qiu,https://libguides.wvu.edu/prf.php?account_id=74177
5,Advertising,Advertising,https://libguides.wvu.edu/sb.php?subject_id=83551
6,Advertising,Journalism,https://libguides.wvu.edu/sb.php?subject_id=101598
7,Advertising,Marketing,https://libguides.wvu.edu/sb.php?subject_id=83517
8,Advertising,integrated marketing communications,https://libguides.wvu.edu/srch.php?q=integrated%20marketing%20communications
9,Advertising,STCM 421 : Advertising and Public Relations Audience,https://libguides.wvu.edu/STCM421
10,Advertising,STCM 421 Women's Incarceration,https://libguides.wvu.edu/stcm2018
11,African-American Studies,#CharlestonSyllabus Research Guide,https://libguides.wvu.edu/charlestonsyllabus
12,African-American Studies,English 254: African-American Literature,https://libguides.wvu.edu/english254
13,African-American Studies,English 346: American Literature 1800-1865,https://libguides.wvu.edu/english346
14,African-American Studies,English 648: American Literature 1915-Present (African American Literature),https://libguides.wvu.edu/english648
15,Agriculture,Agronomy,https://libguides.wvu.edu/c.php?g=419052
16,Agriculture,Soil Science,https://libguides.wvu.edu/soilscience
17,Anthropology,Anthropology,https://libguides.wvu.edu/anthropology
18,Art,Art History Research,https://libguides.wvu.edu/arthistory
19,Art,Graphic Design: Resource Guide,https://libguides.wvu.edu/graphicdesign
20,Art,Using Images...Legally & Ethically,https://libguides.wvu.edu/images
21,Biology,BIO / CHEM / PHYS 376 | Research Methods,https://libguides.wvu.edu/c.php?g=812260
22,Biology,Biology 115: Principles of Biology,https://libguides.wvu.edu/biology115
23,Biology,Biology 117 Lab Assignment,https://libguides.wvu.edu/biology117
24,Biology,Biology 191: First Year Seminar,https://libguides.wvu.edu/bio191
25,Biology,Biology 455: Evolution of Infectious Diseases,https://libguides.wvu.edu/Biology455
26,Business,Accounting Research Guide,https://libguides.wvu.edu/accounting
27,Business,APA Citation Style Guide,https://libguides.wvu.edu/apa
28,Business,BCOR 199 - Introduction to Business,https://libguides.wvu.edu/bcor199
