,Category,Subject,Link
0,Africana Studies,African American History,https://libraryguides.binghamton.edu/c.php?g=737399
1,Africana Studies,African History,https://libraryguides.binghamton.edu/african_history
2,Africana Studies,Ed Shephard,https://libraryguides.binghamton.edu/prf.php?account_id=20409
3,Africana Studies,Africana Studies,https://libraryguides.binghamton.edu/sb.php?subject_id=44760
4,Africana Studies,History,https://libraryguides.binghamton.edu/sb.php?subject_id=44802
5,Africana Studies,africana_studies,https://libraryguides.binghamton.edu/srch.php?q=africana_studies
6,Africana Studies,history,https://libraryguides.binghamton.edu/srch.php?q=history
7,Africana Studies,world_history,https://libraryguides.binghamton.edu/srch.php?q=world_history
8,Africana Studies,Africana Studies,https://libraryguides.binghamton.edu/africana
9,Anthropology,Africana Studies,https://libraryguides.binghamton.edu/africana
10,Anthropology,Anthropology,https://libraryguides.binghamton.edu/anthropology
11,Art & Architectural History,Art & Architectural History,https://libraryguides.binghamton.edu/arthistory
12,Art & Architectural History,Using Images,https://libraryguides.binghamton.edu/using_images
13,Asian & Asian American Studies,*Asian Studies,https://libraryguides.binghamton.edu/asian
14,Asian & Asian American Studies,Asian American Studies,https://libraryguides.binghamton.edu/AsianAmericans
15,Asian & Asian American Studies,Chinese Studies,https://libraryguides.binghamton.edu/Chinese
16,Asian & Asian American Studies,Imperialism in East Asia (HIST/AAAS473/576G),https://libraryguides.binghamton.edu/HIST-AAAS473
17,Asian & Asian American Studies,Japanese Studies,https://libraryguides.binghamton.edu/japanese
18,Asian & Asian American Studies,Korean Studies,https://libraryguides.binghamton.edu/korean
19,Asian & Asian American Studies,South Asia Studies,https://libraryguides.binghamton.edu/SouthAsia
20,Biology,Biology,https://libraryguides.binghamton.edu/biology
21,Chemistry,Chemistry Resources,https://libraryguides.binghamton.edu/chemistry
22,Cinema,*Cinema,https://libraryguides.binghamton.edu/cinema
23,Cinema,Art & Architectural History,https://libraryguides.binghamton.edu/arthistory
24,Classical Studies,Classical Studies,https://libraryguides.binghamton.edu/classics
25,Community Research and Action PhD,Community Research and Action,https://libraryguides.binghamton.edu/ccpa
26,Comparative Literature,Comparative Literature,https://libraryguides.binghamton.edu/complit
27,Comparative Literature,French,https://libraryguides.binghamton.edu/french
28,Comparative Literature,German and Russian Studies,https://libraryguides.binghamton.edu/german
29,Comparative Literature,Spanish,https://libraryguides.binghamton.edu/spanish
30,Comparative Literature,Translation Studies,https://libraryguides.binghamton.edu/translating
31,Economics,Economics,https://libraryguides.binghamton.edu/economics
32,Economics,Economy of China,https://libraryguides.binghamton.edu/economychina
33,Economics,Finance,https://libraryguides.binghamton.edu/finance
34,Economics,How To: Bloomberg Terminal,https://libraryguides.binghamton.edu/bloomberg
35,Economics,Sports Economics,https://libraryguides.binghamton.edu/sportsecon
36,Economics,Wharton Research Data Services (WRDS),https://libraryguides.binghamton.edu/wrds
37,Education & Student Affairs,Education & Student Affairs,https://libraryguides.binghamton.edu/education
38,Education & Student Affairs,Tests & Measures,https://libraryguides.binghamton.edu/tests
39,Engineering & Applied Science,Biomedical Engineering,https://libraryguides.binghamton.edu/bioengineering
40,Engineering & Applied Science,Computer Science,https://libraryguides.binghamton.edu/computer_science
41,Engineering & Applied Science,"CS 301: Ethical, Social, and Global Issues in Computing",https://libraryguides.binghamton.edu/cs301
42,Engineering & Applied Science,Electrical & Computer Engineering,https://libraryguides.binghamton.edu/electrical_engineering
43,Engineering & Applied Science,Engineering & Applied Science,https://libraryguides.binghamton.edu/engineering
44,Engineering & Applied Science,Engineering Design,https://libraryguides.binghamton.edu/engineering_design
45,Engineering & Applied Science,Mechanical Engineering,https://libraryguides.binghamton.edu/mechanical_engineering
46,Engineering & Applied Science,Patents & Trademarks,https://libraryguides.binghamton.edu/patents
47,Engineering & Applied Science,Standards,https://libraryguides.binghamton.edu/standards
48,Engineering & Applied Science,Systems Science & Industrial Engineering,https://libraryguides.binghamton.edu/systems_science
49,Engineering & Applied Science,Technical Reports,https://libraryguides.binghamton.edu/technical_reports
50,Engineering & Applied Science,WTSN 101 - Career Research,https://libraryguides.binghamton.edu/STEMcareers
51,English,English,https://libraryguides.binghamton.edu/english
52,English Language Institute,English Language Institute (ELI) Library Guide,https://libraryguides.binghamton.edu/elilibrary
53,Environmental Studies,BioGeoChemistry,https://libraryguides.binghamton.edu/biogeochem
54,Environmental Studies,ENVI 382,https://libraryguides.binghamton.edu/ENVI382
55,Environmental Studies,ENVI 415: Environmental Planning,https://libraryguides.binghamton.edu/envi415
56,Environmental Studies,Environmental Studies,https://libraryguides.binghamton.edu/environ
57,Environmental Studies,Sustainable Communities,https://libraryguides.binghamton.edu/sustainablecommunities
58,General Science,General Science,https://libraryguides.binghamton.edu/science
59,Geography & Planning,Geography,https://libraryguides.binghamton.edu/geography
60,Geography & Planning,Geospatial Remote Sensing,https://libraryguides.binghamton.edu/GeospatialSensing
61,Geography & Planning,Map Resources,https://libraryguides.binghamton.edu/Map
62,Geography & Planning,Natural Hazards,https://libraryguides.binghamton.edu/naturalhazards
63,Geography & Planning,Urban Geography,https://libraryguides.binghamton.edu/urbangeog
64,Geography & Planning,Water Resources,https://libraryguides.binghamton.edu/waterresources
65,Geological Sciences,BioGeoChemistry,https://libraryguides.binghamton.edu/biogeochem
66,Geological Sciences,Geological Science,https://libraryguides.binghamton.edu/geology
67,Geological Sciences,Geospatial Remote Sensing,https://libraryguides.binghamton.edu/GeospatialSensing
68,Geological Sciences,Map Resources,https://libraryguides.binghamton.edu/Map
69,Geological Sciences,Marcellus Shale,https://libraryguides.binghamton.edu/marcellus
70,German & Russian Studies,German and Russian Studies,https://libraryguides.binghamton.edu/german
71,German & Russian Studies,Russian and East European Studies,https://libraryguides.binghamton.edu/reep
72,Government Information,*Statistics & Census Data,https://libraryguides.binghamton.edu/census
73,Government Information,Government Information,https://libraryguides.binghamton.edu/govinfo
74,History,African American History,https://libraryguides.binghamton.edu/c.php?g=737399
75,History,African History,https://libraryguides.binghamton.edu/african_history
76,History,Genealogy,https://libraryguides.binghamton.edu/genealogy
77,History,HIST 482B/LACS 482C,https://libraryguides.binghamton.edu/c.php?g=787981
78,History,HIST380J/JUST386B,https://libraryguides.binghamton.edu/HIST380J
79,History,History of Medicine,https://libraryguides.binghamton.edu/HIST486S
80,History,Imperialism in East Asia (HIST/AAAS473/576G),https://libraryguides.binghamton.edu/HIST-AAAS473
81,History,Latin American History,https://libraryguides.binghamton.edu/latamer_history
82,History,Minorities in China and Beyond (AAAS384/HIST384),https://libraryguides.binghamton.edu/minoritiesChina_aaas384
83,History,Modern Europe,https://libraryguides.binghamton.edu/europe
84,History,United States History,https://libraryguides.binghamton.edu/us_history
85,History,World History,https://libraryguides.binghamton.edu/history
86,Human Development,*Human Development,https://libraryguides.binghamton.edu/humandevelopment
87,Human Development,"Gender, Development, and Education (HDEV335)",https://libraryguides.binghamton.edu/hdev335
88,Human Development,HDEV 305: Child Development,https://libraryguides.binghamton.edu/hdev305
89,Human Development,HDEV 465- Researching Immigrant Lives,https://libraryguides.binghamton.edu/immigration
90,Human Development,Tests & Measures,https://libraryguides.binghamton.edu/tests
91,Judaic Studies,HIST380J/JUST386B,https://libraryguides.binghamton.edu/HIST380J
92,Judaic Studies,Judaic Studies,https://libraryguides.binghamton.edu/judaic
93,Latin American & Caribbean Area Studies,Africana Studies,https://libraryguides.binghamton.edu/africana
