,Category,Subject,Link
0,Africana and African American Studies,Africana Studies Research Guide,https://libraryguides.goucher.edu/africanastudies
1,Anthropology,Religious Studies,https://libraryguides.goucher.edu/religionsguide
2,Anthropology,Sociology/Anthropology,https://libraryguides.goucher.edu/SocAnthro
3,Art & Art History,Art & Art History,https://libraryguides.goucher.edu/artguide
4,Arts Administration,Arts Administration,https://libraryguides.goucher.edu/artsadministration
5,Astronomy,Physics & Astronomy,https://libraryguides.goucher.edu/PhysAstron
6,Biology,Biology,https://libraryguides.goucher.edu/biology
7,Book Studies,Jane Austen at Goucher College,https://libraryguides.goucher.edu/janeausten
8,Book Studies,Resources for Book Studies,https://libraryguides.goucher.edu/bookstudies_resources
9,Business Management,Business Management,https://libraryguides.goucher.edu/business
10,Business Management,CPEB 250: Problem-Based Learning in Organizational Behavior,https://libraryguides.goucher.edu/cpeb250
11,Chemistry,Chemistry,https://libraryguides.goucher.edu/chemistry
12,Communication & Media Studies,Communication and Media Studies,https://libraryguides.goucher.edu/communication
13,Computer Science,Mathematics/Computer Science,https://libraryguides.goucher.edu/mathcs
14,Creative Nonfiction,Creative Nonfiction,https://libraryguides.goucher.edu/creativenonfiction
15,Cultural Sustainability,Cultural Sustainability,https://libraryguides.goucher.edu/culturalsustainability
16,Dance,Dance,https://libraryguides.goucher.edu/dance
17,Digital Arts,Digital Arts,https://libraryguides.goucher.edu/digitalarts
18,Economics,Economics,https://libraryguides.goucher.edu/econ
19,Education,ED 605,https://libraryguides.goucher.edu/graded
20,Education,Education,https://libraryguides.goucher.edu/education
21,Education,Futuro Latino Learning Center,https://libraryguides.goucher.edu/fllc
22,English,English,https://libraryguides.goucher.edu/english
23,English,Jane Austen at Goucher College,https://libraryguides.goucher.edu/janeausten
24,Environmental Studies,Environmental Studies,https://libraryguides.goucher.edu/EnvStudies
25,Environmental Studies,Environmental Studies - Graduate,https://libraryguides.goucher.edu/environmentalstudies
26,French,French,https://libraryguides.goucher.edu/french
27,General (Multidisciplinary),APA Citation Style Guide,https://libraryguides.goucher.edu/APA
28,General (Multidisciplinary),Research Help,https://libraryguides.goucher.edu/researchhelp
29,German,German,https://libraryguides.goucher.edu/german
30,German,Holocaust Survivor Oral Histories,https://libraryguides.goucher.edu/holocaustsurvivors
31,Hispanic Culture,"Hispanic Languages, Literatures and Culture",https://libraryguides.goucher.edu/Spanish
32,Historic Preservation,Historic Preservation,https://libraryguides.goucher.edu/historicpreservation
33,History,Art & Art History,https://libraryguides.goucher.edu/artguide
34,History,Civil Rights,https://libraryguides.goucher.edu/civilrights
35,History,History,https://libraryguides.goucher.edu/history
36,History,Holocaust Survivor Oral Histories,https://libraryguides.goucher.edu/holocaustsurvivors
37,History,Religious Studies,https://libraryguides.goucher.edu/religionsguide
38,History,Researching Baltimore,https://libraryguides.goucher.edu/researchingbaltimore
39,Judaic Studies,Holocaust Survivor Oral Histories,https://libraryguides.goucher.edu/holocaustsurvivors
40,Judaic Studies,Judaic Studies,https://libraryguides.goucher.edu/JudaicStudies
41,Judaic Studies,Religious Studies,https://libraryguides.goucher.edu/religionsguide
42,Management,Business Management,https://libraryguides.goucher.edu/business
43,Management,Management,https://libraryguides.goucher.edu/management
44,Mathematics,Mathematics/Computer Science,https://libraryguides.goucher.edu/mathcs
45,Modern Languages,Futuro Latino Learning Center,https://libraryguides.goucher.edu/fllc
46,Modern Languages,Modern Languages,https://libraryguides.goucher.edu/Languages
47,Music,Music,https://libraryguides.goucher.edu/Music
48,Peace Studies,Peace Studies,https://libraryguides.goucher.edu/peacestudies
49,Peace Studies,Peace Studies 205,https://libraryguides.goucher.edu/PCE205
50,Philosophy,Judaic Studies,https://libraryguides.goucher.edu/JudaicStudies
51,Philosophy,Philosophy,https://libraryguides.goucher.edu/philosophy
52,Physics,Physics & Astronomy,https://libraryguides.goucher.edu/PhysAstron
53,Political Science,Political Science,https://libraryguides.goucher.edu/PoliticalScience
54,Psychology,Psychology,https://libraryguides.goucher.edu/psychology
55,Religion,Judaic Studies,https://libraryguides.goucher.edu/JudaicStudies
56,Religion,Religious Studies,https://libraryguides.goucher.edu/religionsguide
57,Russian,Russian,https://libraryguides.goucher.edu/Russian
58,Sociology,Sociology/Anthropology,https://libraryguides.goucher.edu/SocAnthro
59,Spanish,"Hispanic Languages, Literatures and Culture",https://libraryguides.goucher.edu/Spanish
60,Theatre,Theatre,https://libraryguides.goucher.edu/theatre
61,"Women, Gender, and Sexuality Studies","Women, Gender, and Sexuality Studies",https://libraryguides.goucher.edu/wgss
