,Category,Subject,Link
0,Business and government,Accounting and finance,https://libraryguides.griffith.edu.au/accounting
1,Business and government,Economics,https://libraryguides.griffith.edu.au/economics
2,Business and government,Employment relations and human resources,https://libraryguides.griffith.edu.au/employment
3,Business and government,Government and international relations,https://libraryguides.griffith.edu.au/politics
4,Business and government,International business and Asian studies,https://libraryguides.griffith.edu.au/international-business
5,Business and government,Logistics and supply chain management,https://libraryguides.griffith.edu.au/logistics
6,Business and government,Management,https://libraryguides.griffith.edu.au/management
7,Business and government,Marketing,https://libraryguides.griffith.edu.au/marketing
8,Business and government,Real estate and property development,https://libraryguides.griffith.edu.au/real-estate
9,Business and government,Sustainable enterprise,https://libraryguides.griffith.edu.au/sustainable-enterprise
10,Business and government,"Tourism, sport and hotel management",https://libraryguides.griffith.edu.au/tourism
11,Criminology and law,Criminology and criminal justice,https://libraryguides.griffith.edu.au/criminology
12,Criminology and law,Law,https://libraryguides.griffith.edu.au/law
13,Education,Applied theatre,https://libraryguides.griffith.edu.au/applied-theatre
14,Education,"Education (for Early Childhood, Primary and Secondary Education, and Health & Physical Education)",https://libraryguides.griffith.edu.au/c.php?g=561556
15,Education,English as an Additional Language EAL/TESOL,https://libraryguides.griffith.edu.au/c.php?g=361750
16,Education,Special education diversity and inclusive education,https://libraryguides.griffith.edu.au/special-education
17,Education,Systematic Literature Reviews for Education,https://libraryguides.griffith.edu.au/systematic-literature-reviews-for-education
18,Education,"Vocational, Technological and Design Education",https://libraryguides.griffith.edu.au/c.php?g=386498
19,Health,Biomedical and biomolecular sciences,https://libraryguides.griffith.edu.au/biochemistry
20,Health,Dentistry and oral health,https://libraryguides.griffith.edu.au/dentistry
21,Health,Environmental health,https://libraryguides.griffith.edu.au/c.php?g=28812
22,Health,Evidence based practice (EBP),https://libraryguides.griffith.edu.au/evidence-based-practice
23,Health,Human services and social work,https://libraryguides.griffith.edu.au/human-services
24,Health,Medicine,https://libraryguides.griffith.edu.au/medicine
25,Health,Nursing and midwifery,https://libraryguides.griffith.edu.au/nursing-midwifery
26,Health,Nutrition and dietetics,https://libraryguides.griffith.edu.au/nutrition-dietetics
27,Health,Occupational therapy,https://libraryguides.griffith.edu.au/occupational-therapy
28,Health,Pharmacy,https://libraryguides.griffith.edu.au/pharmacy
29,Health,Physiotherapy & exercise science,https://libraryguides.griffith.edu.au/physiotherapy
30,Health,Psychology,https://libraryguides.griffith.edu.au/psychology
31,Health,Public health,https://libraryguides.griffith.edu.au/public-health
32,Health,Rehabilitation counselling,https://libraryguides.griffith.edu.au/rehabilitation-counselling
33,Health,Speech pathology,https://libraryguides.griffith.edu.au/speech-pathology
34,"Humanities, social sciences and languages",Applied theatre,https://libraryguides.griffith.edu.au/applied-theatre
35,"Humanities, social sciences and languages",Asian and international studies,https://libraryguides.griffith.edu.au/international-studies
36,"Humanities, social sciences and languages",Creative writing and literary studies,https://libraryguides.griffith.edu.au/creative-writing
37,"Humanities, social sciences and languages",English as an Additional Language EAL/TESOL,https://libraryguides.griffith.edu.au/c.php?g=361750
38,"Humanities, social sciences and languages",Film television and screen studies,https://libraryguides.griffith.edu.au/film-television-screen
39,"Humanities, social sciences and languages",History and cultural heritage,https://libraryguides.griffith.edu.au/history
40,"Humanities, social sciences and languages",Indigenous Australian Studies,https://libraryguides.griffith.edu.au/indigenous-studies
41,"Humanities, social sciences and languages",Islamic studies,https://libraryguides.griffith.edu.au/islamic-studies
42,"Humanities, social sciences and languages","Journalism, communication and media studies",https://libraryguides.griffith.edu.au/journalism-communication-media
43,"Humanities, social sciences and languages",Learning languages,https://libraryguides.griffith.edu.au/learning-languages
44,"Humanities, social sciences and languages",Linguistics,https://libraryguides.griffith.edu.au/linguistics
45,"Humanities, social sciences and languages",Philosophy and ethics,https://libraryguides.griffith.edu.au/philosophy-ethics
46,"Humanities, social sciences and languages",Public relations,https://libraryguides.griffith.edu.au/public-relations
47,"Humanities, social sciences and languages",Social enterprise,https://libraryguides.griffith.edu.au/social-enterprise
48,"Humanities, social sciences and languages",Sociology,https://libraryguides.griffith.edu.au/sociology
49,Music,Music,https://libraryguides.griffith.edu.au/music
50,Music,Music - Jazz and Popular Music,https://libraryguides.griffith.edu.au/music-jazz-popular
51,Music,Music - Musical Theatre,https://libraryguides.griffith.edu.au/musical-theatre
52,Music,Music - Opera,https://libraryguides.griffith.edu.au/music-opera
53,Music,Music - Recital and Audition preparation,https://libraryguides.griffith.edu.au/music-recital-audition
54,Music,Music - World Music,https://libraryguides.griffith.edu.au/world-music
55,Science and technology,Architecture,https://libraryguides.griffith.edu.au/architecture
56,Science and technology,Aviation,https://libraryguides.griffith.edu.au/aviation
57,Science and technology,Biomedical and biomolecular sciences,https://libraryguides.griffith.edu.au/biochemistry
58,Science and technology,Chemical Sciences,https://libraryguides.griffith.edu.au/chemistry
59,Science and technology,Engineering,https://libraryguides.griffith.edu.au/engineering
60,Science and technology,Environmental Science,https://libraryguides.griffith.edu.au/c.php?g=681972
61,Science and technology,Forensic Science,https://libraryguides.griffith.edu.au/forensic-science
62,Science and technology,Information technology,https://libraryguides.griffith.edu.au/infotech
63,Science and technology,Marine Science,https://libraryguides.griffith.edu.au/marine-biology
