,Category,Subject,Link
0,"Agriculture, Food and Forestry Sciences",Agricultural Sciences,https://libraryguides.helsinki.fi/agriculture
1,"Agriculture, Food and Forestry Sciences",Economics,https://libraryguides.helsinki.fi/economics
2,"Agriculture, Food and Forestry Sciences",Food and Nutrition Sciences,https://libraryguides.helsinki.fi/food_science
3,"Agriculture, Food and Forestry Sciences",Forestry,https://libraryguides.helsinki.fi/forestry
4,Behavioural Sciences,Craft Science,https://libraryguides.helsinki.fi/craft_science
5,Behavioural Sciences,Education,https://libraryguides.helsinki.fi/education
6,Behavioural Sciences,Home Economics,https://libraryguides.helsinki.fi/home_economics
7,Biosciences and Environment,Biosciences,https://libraryguides.helsinki.fi/biosciences
8,Biosciences and Environment,Environmental Sciences,https://libraryguides.helsinki.fi/environmental_sciences
9,General Guides,Article/Book Processing Charge,https://libraryguides.helsinki.fi/apc
10,General Guides,Avoin julkaiseminen,https://libraryguides.helsinki.fi/oa
11,General Guides,Datanhallinnan perusopas,https://libraryguides.helsinki.fi/datanhallinta
12,General Guides,Digital Resources,https://libraryguides.helsinki.fi/DigitalResources
13,General Guides,E-books - guide,https://libraryguides.helsinki.fi/ebooksguide
14,General Guides,E-dictionary Guide,https://libraryguides.helsinki.fi/eDictionaries
15,General Guides,E-kirjainfo,https://libraryguides.helsinki.fi/ebookstermsofuse
16,General Guides,E-kirjaopas,https://libraryguides.helsinki.fi/ekirjaopas
17,General Guides,E-ordboksguide,https://libraryguides.helsinki.fi/eordbocker
18,General Guides,E-resources - a guide for teachers,https://libraryguides.helsinki.fi/c.php?g=338052
19,General Guides,E-sanakirjaopas,https://libraryguides.helsinki.fi/eSanakirjaopas
20,General Guides,Helka-opas yliopistolaiselle,https://libraryguides.helsinki.fi/Helkaopas
21,General Guides,HY:n opinnäytteet,https://libraryguides.helsinki.fi/thesis
22,General Guides,Kaisa-talon hyllyluokitukset,https://libraryguides.helsinki.fi/hyllyluokitukset
23,General Guides,Kaisa-talon kokoelmien maantieteellinen hakemisto,https://libraryguides.helsinki.fi/aluehakemisto
24,General Guides,Kirjoittajamaksut (APC/BPC),https://libraryguides.helsinki.fi/kirjoittajamaksut
25,General Guides,Measuring Research Impact,https://libraryguides.helsinki.fi/metrics
26,General Guides,Opas opettajille,https://libraryguides.helsinki.fi/opasopettajille
27,General Guides,Open Access,https://libraryguides.helsinki.fi/oa/eng
28,General Guides,OPEN ACCESS WEEK 2017,https://libraryguides.helsinki.fi/oa-week2017
29,General Guides,RefWorks (Legacy),https://libraryguides.helsinki.fi/refworks
30,General Guides,RefWorks (New),https://libraryguides.helsinki.fi/refworksnew
31,General Guides,Research Data Management,https://libraryguides.helsinki.fi/rdm
32,General Guides,Research information management in Tuhat,https://libraryguides.helsinki.fi/tuhat
33,General Guides,Tuhat-tutkimustietojärjestelmä,https://libraryguides.helsinki.fi/tuhat/fi
34,Humanities,Aesthetics,https://libraryguides.helsinki.fi/aesthetics
35,Humanities,African and Middle Eastern Studies,https://libraryguides.helsinki.fi/african_and_near_eastern_studies
36,Humanities,Archaeology,https://libraryguides.helsinki.fi/archaeology
37,Humanities,Area and Cultural Studies,https://libraryguides.helsinki.fi/area_and_cultural_studies
38,Humanities,Art History,https://libraryguides.helsinki.fi/art_history
39,Humanities,"Asian Studies (China, Japan, Korea, South Asia)",https://libraryguides.helsinki.fi/asian_studies
40,Humanities,Classical Studies,https://libraryguides.helsinki.fi/classical_studies
41,Humanities,Dance Research,https://libraryguides.helsinki.fi/dance_research
42,Humanities,English Studies,https://libraryguides.helsinki.fi/English_Studies
43,Humanities,Film Research,https://libraryguides.helsinki.fi/film_research
44,Humanities,Finno-Ugrian Languages,https://libraryguides.helsinki.fi/finno-ugrian
45,Humanities,Folklore and Ethnology,https://libraryguides.helsinki.fi/ethnology
46,Humanities,Gender Studies,https://libraryguides.helsinki.fi/genderstudies
47,Humanities,Germanic Studies,https://libraryguides.helsinki.fi/germanicstudies
48,Humanities,History,https://libraryguides.helsinki.fi/history
49,Humanities,Linguistic Studies,https://libraryguides.helsinki.fi/linguistics
50,Humanities,Literary Studies,https://libraryguides.helsinki.fi/literary_studies
51,Humanities,MANUSCRIPT EVIDENCE: The Works of Virgil,https://libraryguides.helsinki.fi/virgil
52,Humanities,Medieval Manuscripts and Old Books,https://libraryguides.helsinki.fi/medieval
53,Humanities,Musicology,https://libraryguides.helsinki.fi/musicology
54,Humanities,Nordica: nordisk litteratur,https://libraryguides.helsinki.fi/nordisk_litteratur
55,Humanities,Philosophy,https://libraryguides.helsinki.fi/philosophy
56,Humanities,"Romance Studies (French, Italian, Spanish)",https://libraryguides.helsinki.fi/romance_studies
57,Humanities,Russian and Eastern European Studies,https://libraryguides.helsinki.fi/russian_and_eastern_european_studies
58,Humanities,Semiotics,https://libraryguides.helsinki.fi/semiotics
59,Humanities,Suomen kieli,https://libraryguides.helsinki.fi/suomi
60,Humanities,Theatre Research,https://libraryguides.helsinki.fi/theatre_research
61,Humanities,Translation and Interpreting Studies,https://libraryguides.helsinki.fi/translation
62,Law,European Law,https://libraryguides.helsinki.fi/europeanlaw
63,Law,Law,https://libraryguides.helsinki.fi/law
64,Law,Oikeustiede,https://libraryguides.helsinki.fi/oikeustiede
65,Medicine and Health,Food and Nutrition Sciences,https://libraryguides.helsinki.fi/food_science
66,Medicine and Health,"Medicine, Dentistry and Nursing",https://libraryguides.helsinki.fi/medicine
67,Medicine and Health,Pharmacy,https://libraryguides.helsinki.fi/pharmacy
68,Medicine and Health,Psychology,https://libraryguides.helsinki.fi/psychology
69,Medicine and Health,Veterinary Medicine,https://libraryguides.helsinki.fi/veterinary_medicine
70,Natural Sciences,Astronomy,https://libraryguides.helsinki.fi/astronomy
71,Natural Sciences,Chemistry,https://libraryguides.helsinki.fi/chemistry
72,Natural Sciences,Computer Science,https://libraryguides.helsinki.fi/cs
73,Natural Sciences,Geography,https://libraryguides.helsinki.fi/geography
74,Natural Sciences,Geology,https://libraryguides.helsinki.fi/geology
75,Natural Sciences,Mathematics and Statistics,https://libraryguides.helsinki.fi/mathstat
76,Natural Sciences,Physics,https://libraryguides.helsinki.fi/physics
77,Social Sciences,Economics,https://libraryguides.helsinki.fi/economics
78,Social Sciences,Philosophy,https://libraryguides.helsinki.fi/philosophy
79,Social Sciences,Political Science,https://libraryguides.helsinki.fi/political_science
80,Social Sciences,Russian and Eastern European Studies,https://libraryguides.helsinki.fi/russian_and_eastern_european_studies
81,Social Sciences,Social Sciences,https://libraryguides.helsinki.fi/social_sciences
82,Theology,Biblical Studies,https://libraryguides.helsinki.fi/biblical_studies
83,Theology,Church History,https://libraryguides.helsinki.fi/church_history
84,Theology,"MANUSCRIPT EVIDENCE: Augustine, De consensu evangelistarum",https://libraryguides.helsinki.fi/deconsensu
85,Theology,Medieval Manuscripts and Old Books,https://libraryguides.helsinki.fi/medieval
86,Theology,Practical Theology,https://libraryguides.helsinki.fi/practical_theology
87,Theology,Study of Religions,https://libraryguides.helsinki.fi/study_of_religions
88,Theology,Systematic Theology,https://libraryguides.helsinki.fi/systematic_theology
