,Category,Subject,Link
0,Accounting,Business & Economics Resources,https://libraryguides.lehigh.edu/corebusiness
1,Africana Studies,ANTH/AAS/GS 324: Globalization & Development in Africa,https://libraryguides.lehigh.edu/ANTH324
2,Africana Studies,EES 90: Following the Drinking Gourd - How Natural Features Influenced the Underground Railroad,https://libraryguides.lehigh.edu/undergroundrailroad
3,Africana Studies,ENGL 391/AAS 391 Spring 2016 Mountaintop Film Project,https://libraryguides.lehigh.edu/engl_391
4,Africana Studies,The Underground Railroad by Colson Whitehead: Historical and Literary Context,https://libraryguides.lehigh.edu/colson-whitehead
5,American Studies,History,https://libraryguides.lehigh.edu/history
6,American Studies,Political Science,https://libraryguides.lehigh.edu/politicalscience
7,American Studies,The Underground Railroad by Colson Whitehead: Historical and Literary Context,https://libraryguides.lehigh.edu/colson-whitehead
8,Anthropology,ANTH/AAS/GS 324: Globalization & Development in Africa,https://libraryguides.lehigh.edu/ANTH324
9,Anthropology,ANTH/GS 195: The Anthropology of Tourism,https://libraryguides.lehigh.edu/tourism
10,Anthropology,Anthropology,https://libraryguides.lehigh.edu/anthropology
11,Archives,ENGL 318: Families in Contemporary American Literature,https://libraryguides.lehigh.edu/ENGL318
12,Archives,Lehigh Student Publications,https://libraryguides.lehigh.edu/student-publications
13,Art & Architecture,"Art, Architecture & Design",https://libraryguides.lehigh.edu/art-architecture
14,Art & Architecture,Artstor: Using ArtStor Digital Library,https://libraryguides.lehigh.edu/artstor-for-students
15,Asian Studies,ASIA 090: Globalization in Asia through Time and Space,https://libraryguides.lehigh.edu/asia090globalization
16,Asian Studies,National Poetry Month,https://libraryguides.lehigh.edu/nationalpoetrymonth
17,Bioengineering,Bioengineering,https://libraryguides.lehigh.edu/bioe
18,Bioengineering,SciFinder Setup,https://libraryguides.lehigh.edu/scifinder
19,Biology,Biology,https://libraryguides.lehigh.edu/biology
20,Biology,BIOS 251: Writing and Biological Sciences,https://libraryguides.lehigh.edu/bios251
21,Biology,Bios 401 Professional Skills for Graduate Students,https://libraryguides.lehigh.edu/bios401
22,Biology,BIOS 42: Introduction to Cell and Mol. Biology Lab,https://libraryguides.lehigh.edu/bios42
23,Business,Baker Institute Hatchery,https://libraryguides.lehigh.edu/bakerhatchery
24,Business,Business & Economics Resources,https://libraryguides.lehigh.edu/corebusiness
25,Business,GBUS 475: Global Marketing Strategies,https://libraryguides.lehigh.edu/gbus475
26,Business,Global Village,https://libraryguides.lehigh.edu/globalvillage
27,Business,Iacocca Global Entrepreneurship Intensive (IGEI),https://libraryguides.lehigh.edu/igei
28,Business,IPD Citation Style v3.0,https://libraryguides.lehigh.edu/IPDstyle2013
29,Business,Library and Technology Services (LTS) Info for CBE Grad. Students,https://libraryguides.lehigh.edu/CBEGrad
30,Business,Martindale Student Associates Program: Library Resources - Malaysia,https://libraryguides.lehigh.edu/martindale
31,Business,MGT 143: Managing & Leading People & Organizations,https://libraryguides.lehigh.edu/MGT143
32,Business,MGT 363: Managing Diversity & Inclusion in the Workplace,https://libraryguides.lehigh.edu/mgt363
33,Business,MGT/ENTP 314: Small Business Consulting,https://libraryguides.lehigh.edu/smallbusinessconsulting
34,Business,MKT 111: Principles of Marketing,https://libraryguides.lehigh.edu/mkt111
35,Business,MKT 320: Global Marketing,https://libraryguides.lehigh.edu/mkt320
36,Business Information Systems,Business & Economics Resources,https://libraryguides.lehigh.edu/corebusiness
37,Center for Innovation in Teaching and Learning,CITL Workshop: Designing Research Paper Assignments,https://libraryguides.lehigh.edu/citlworkshop_assignments
38,Center for Innovation in Teaching and Learning,"CITL Workshop: Media Literacy, Fake News, and Lehigh",https://libraryguides.lehigh.edu/media-literacy
39,Center for Innovation in Teaching and Learning,Digital Humanities,https://libraryguides.lehigh.edu/digitalhumanities
40,Chemical & Biomolecular Engineering,CHE 376 / ME 376: Energy: Issues & Technology,https://libraryguides.lehigh.edu/che376
41,Chemical & Biomolecular Engineering,Chemical & Biomolecular Engineering,https://libraryguides.lehigh.edu/chemengineering
42,Chemical & Biomolecular Engineering,SciFinder Setup,https://libraryguides.lehigh.edu/scifinder
43,Chemistry,Chemistry,https://libraryguides.lehigh.edu/chemistry
44,Chemistry,SciFinder Setup,https://libraryguides.lehigh.edu/scifinder
45,Civil & Environmental Engineering,Civil & Environmental Engineering,https://libraryguides.lehigh.edu/civil
46,Civil & Environmental Engineering,EES/CEE 379: Environmental Case Studies,https://libraryguides.lehigh.edu/ees379
47,Civil & Environmental Engineering,M. E. in Structural Engineering,https://libraryguides.lehigh.edu/mse_structural
48,Communications,Journalism and Communication,https://libraryguides.lehigh.edu/journalism
49,Computer Science & Engineering,Computer Science & Engineering,https://libraryguides.lehigh.edu/computerscience
50,Earth & Environmental Sciences,Earth Sciences,https://libraryguides.lehigh.edu/earthsciences
51,Earth & Environmental Sciences,EES 90: Following the Drinking Gourd - How Natural Features Influenced the Underground Railroad,https://libraryguides.lehigh.edu/undergroundrailroad
52,Earth & Environmental Sciences,EES/CEE 379: Environmental Case Studies,https://libraryguides.lehigh.edu/ees379
53,Economics,Business & Economics Resources,https://libraryguides.lehigh.edu/corebusiness
54,Economics,ECO 353: Public Economics,https://libraryguides.lehigh.edu/eco353
55,Economics,Library and Technology Services (LTS) Info for CBE Grad. Students,https://libraryguides.lehigh.edu/CBEGrad
56,Education,CIE 451: Doctoral Proseminar in Comparative and International Education II,https://libraryguides.lehigh.edu/cie451
57,Education,Datasets for the Social Sciences,https://libraryguides.lehigh.edu/data_socialsciences
58,Education,EDL 470: Introduction to Doctoral Research I,https://libraryguides.lehigh.edu/edl470
59,Education,Education,https://libraryguides.lehigh.edu/education
60,Education,TLT 431: Social Studies in Middle Level and High School Education,https://libraryguides.lehigh.edu/tlt431
61,Electrical & Computer Engineering,Electrical & Computer Engineering,https://libraryguides.lehigh.edu/electrical_engineering
62,Electrical & Computer Engineering,Energy Systems Engineering,https://libraryguides.lehigh.edu/energysytems
63,Engineering,Bioengineering,https://libraryguides.lehigh.edu/bioe
64,Engineering,CHE 376 / ME 376: Energy: Issues & Technology,https://libraryguides.lehigh.edu/che376
65,Engineering,Chemical & Biomolecular Engineering,https://libraryguides.lehigh.edu/chemengineering
66,Engineering,Civil & Environmental Engineering,https://libraryguides.lehigh.edu/civil
67,Engineering,Computer Science & Engineering,https://libraryguides.lehigh.edu/computerscience
68,Engineering,EES/CEE 379: Environmental Case Studies,https://libraryguides.lehigh.edu/ees379
69,Engineering,Electrical & Computer Engineering,https://libraryguides.lehigh.edu/electrical_engineering
70,Engineering,Healthcare Systems Engineering,https://libraryguides.lehigh.edu/hse
71,Engineering,Industrial & Systems Engineering,https://libraryguides.lehigh.edu/industrial_engineering
72,Engineering,IPD Citation Style v3.0,https://libraryguides.lehigh.edu/IPDstyle2013
73,Engineering,ISE 475: Engineering Practicum in Healthcare,https://libraryguides.lehigh.edu/ise475
74,Engineering,M. E. in Structural Engineering,https://libraryguides.lehigh.edu/mse_structural
75,Engineering,M.Eng in Technical Entrepreneurship,https://libraryguides.lehigh.edu/techentre
76,Engineering,Materials Science & Engineering,https://libraryguides.lehigh.edu/materials_science
77,Engineering,ME 450: Measurements in Fluid Mechanics,https://libraryguides.lehigh.edu/ME450
78,Engineering,Mechanical Engineering & Mechanics,https://libraryguides.lehigh.edu/mechanical_engineering
79,Engineering,MSE 497: Global Competitive Environment,https://libraryguides.lehigh.edu/mse497
80,Engineering,Powder Diffraction File,https://libraryguides.lehigh.edu/powder
81,Engineering,Standards,https://libraryguides.lehigh.edu/standards
82,Engineering,TE 211: Capstone Design Projects - 1,https://libraryguides.lehigh.edu/te211
83,English,ENGL 002: Reacting to the Past - Democratic National Convention of 1968,https://libraryguides.lehigh.edu/engl002_grim
84,English,ENGL 318: Families in Contemporary American Literature,https://libraryguides.lehigh.edu/ENGL318
85,English,ENGL 391/AAS 391 Spring 2016 Mountaintop Film Project,https://libraryguides.lehigh.edu/engl_391
86,English,ENGL/HMS 315: How Literature Made Medicine Modern,https://libraryguides.lehigh.edu/ENGL/HMS-315
87,English,English Language & Literature,https://libraryguides.lehigh.edu/english
88,English,National Poetry Month,https://libraryguides.lehigh.edu/nationalpoetrymonth
89,English,The Underground Railroad by Colson Whitehead: Historical and Literary Context,https://libraryguides.lehigh.edu/colson-whitehead
90,English as a Second Language,ENGL 005,https://libraryguides.lehigh.edu/ENG5
91,English as a Second Language,National Poetry Month,https://libraryguides.lehigh.edu/nationalpoetrymonth
92,English as a Second Language,StepUp ESL,https://libraryguides.lehigh.edu/stepup
93,Entrepreneurship,Baker Institute Hatchery,https://libraryguides.lehigh.edu/bakerhatchery
94,Entrepreneurship,Business & Economics Resources,https://libraryguides.lehigh.edu/corebusiness
95,Entrepreneurship,M.Eng in Technical Entrepreneurship,https://libraryguides.lehigh.edu/techentre
96,Environmental Studies,ES001 Introduction to Environmental Studies,https://libraryguides.lehigh.edu/es001
97,Environmental Studies,"JOUR/ES 125: Environment, the Public and Mass Media",https://libraryguides.lehigh.edu/jour125
98,Faculty Resources,CITL Workshop: Designing Research Paper Assignments,https://libraryguides.lehigh.edu/citlworkshop_assignments
99,Faculty Resources,Enhancing Research Impact,https://libraryguides.lehigh.edu/researchimpact
100,Faculty Resources,Research Data Management Services at Lehigh,https://libraryguides.lehigh.edu/researchdatamanagement
101,Finance,Business & Economics Resources,https://libraryguides.lehigh.edu/corebusiness
102,General,Ebook Central,https://libraryguides.lehigh.edu/ebookcentral
103,General,Enhancing Research Impact,https://libraryguides.lehigh.edu/researchimpact
104,General,Library Resources for Course Readings,https://libraryguides.lehigh.edu/coursematerial
105,General,Research Data Management Services at Lehigh,https://libraryguides.lehigh.edu/researchdatamanagement
106,General,Social Media,https://libraryguides.lehigh.edu/socialmedia
107,Global Studies,ANTH/AAS/GS 324: Globalization & Development in Africa,https://libraryguides.lehigh.edu/ANTH324
108,Global Studies,ANTH/GS 195: The Anthropology of Tourism,https://libraryguides.lehigh.edu/tourism
109,Global Studies,Global Studies,https://libraryguides.lehigh.edu/globalstudies
