,Category,Subject,Link
0,* General Guides & Resources,* General Research Guide,https://libraryguides.oswego.edu/general
1,* General Guides & Resources,* News Resources,https://libraryguides.oswego.edu/news
2,* General Guides & Resources,3D Printing,https://libraryguides.oswego.edu/3d
3,* General Guides & Resources,Career & College Information,https://libraryguides.oswego.edu/c.php?g=645798
4,* General Guides & Resources,Citing Sources,https://libraryguides.oswego.edu/citingsources
5,* General Guides & Resources,Copyright Guide,https://libraryguides.oswego.edu/copyright
6,* General Guides & Resources,Ebook Download Guide,https://libraryguides.oswego.edu/ebookdownload
7,* General Guides & Resources,Fake News,https://libraryguides.oswego.edu/fakenews
8,* General Guides & Resources,Good Learning Versus Plagiarism,https://libraryguides.oswego.edu/goodlearning
9,* General Guides & Resources,Honors Program Library Guide,https://libraryguides.oswego.edu/honors
10,* General Guides & Resources,Lake Effect Research Challenge,https://libraryguides.oswego.edu/challenge
11,* General Guides & Resources,Latina/o/x Heritage Month,https://libraryguides.oswego.edu/latinx
12,* General Guides & Resources,Maker Services at the Library,https://libraryguides.oswego.edu/makers
13,* General Guides & Resources,Multimedia Project Guide,https://libraryguides.oswego.edu/multimedia
14,* General Guides & Resources,Out in Oswego: LGBTQIA+ Resources,https://libraryguides.oswego.edu/outinoswego
15,* General Guides & Resources,Primary Sources,https://libraryguides.oswego.edu/primarysources
16,* General Guides & Resources,Research 101,https://libraryguides.oswego.edu/research101
17,* General Guides & Resources,Statistics,https://libraryguides.oswego.edu/statistics
18,African & African American Studies,* African & African American Studies Research Guide,https://libraryguides.oswego.edu/africanamericanstudies
19,Anthropology/Archaeology,* Anthropology/Archaeology Research Guide,https://libraryguides.oswego.edu/Anthropology
20,Art,* Art Research Guide,https://libraryguides.oswego.edu/art
21,Art,ART 207,https://libraryguides.oswego.edu/art207
22,Biological Sciences,* Biological Sciences Research Guide,https://libraryguides.oswego.edu/biologicalsciences
23,Business,* Business Research Guide,https://libraryguides.oswego.edu/business
24,Business,* Health Services Administration Research Guide,https://libraryguides.oswego.edu/HSA
25,Business,* Management Research Guide,https://libraryguides.oswego.edu/c.php?g=191620
26,Business,* Marketing Research Guide,https://libraryguides.oswego.edu/marketing
27,Business,* Master of Business Administration Research Guide,https://libraryguides.oswego.edu/mba
28,Career & Technical Educator Preparation,* Career & Technical Educator Preparation Research Guide,https://libraryguides.oswego.edu/VTP
29,Career & Technical Educator Preparation,VTP 525: Ogwo (Fall 2018),https://libraryguides.oswego.edu/vtp525
30,Chemistry,* Chemistry Research Guide,https://libraryguides.oswego.edu/chemistry
31,Cinema & Screen Studies,* Cinema and Screen Studies Research Guide,https://libraryguides.oswego.edu/cinema
32,Communication Studies,* Communication Studies Research Guide,https://libraryguides.oswego.edu/communicationstudies
33,Communication Studies,BRC 319 -- Mass Media & the Law,https://libraryguides.oswego.edu/BRC319
34,Communication Studies,COM 303 Qualitative Research Methods,https://libraryguides.oswego.edu/com303
35,Computer & Information Science,* Computer & Information Science Research Guide,https://libraryguides.oswego.edu/computerscience
36,Computer & Information Science,"CSC 101, 102, and 103",https://libraryguides.oswego.edu/csc101-102-103
37,Counseling & Psychological Services,* Counseling & Psychological Services Research Guide,https://libraryguides.oswego.edu/CPS
38,Counseling & Psychological Services,CPS 395/495 & 459/559 - Streets - Fall 2016,https://libraryguides.oswego.edu/cps459-f2016
