,Category,Subject,Link
0,Agriculture,Agriculture (General),https://libraryguides.unh.edu/agriculturegeneral
1,Agriculture,Megan Bresnahan,https://libraryguides.unh.edu/prf.php?account_id=114176
2,Agriculture,Agriculture,https://libraryguides.unh.edu/sb.php?subject_id=71552
3,Agriculture,Biological Sciences,https://libraryguides.unh.edu/sb.php?subject_id=66217
4,Anthropology & Sociology,ANTH 500D: Peoples and Cultures of Sub-Saharan Africa,https://libraryguides.unh.edu/ANTH500D
5,Anthropology & Sociology,ANTH 511: Core Concepts in Anthropology (UNH Durham),https://libraryguides.unh.edu/ANTH511
6,Anthropology & Sociology,ANTH 513: Ethnographic Methods (UNH Durham),https://libraryguides.unh.edu/anth-513
7,Anthropology & Sociology,ANTH 750 - Islam and Gender: Gendered Lives of Women and Men in Muslim Communities (UNH Durham),https://libraryguides.unh.edu/anth750
8,Anthropology & Sociology,Anthropology,https://libraryguides.unh.edu/anthropology
9,Anthropology & Sociology,PS 502 - Political Psychology (UNH Manchester),https://libraryguides.unh.edu/PS502W
10,Anthropology & Sociology,Sociology,https://libraryguides.unh.edu/sociology
11,"Art, Art History & Architecture",Art History (UNH Durham),https://libraryguides.unh.edu/arthistory
12,"Art, Art History & Architecture",Arts 480 – Introduction to Art History (UNH Durham) Trafton,https://libraryguides.unh.edu/arthistoryunhdur
13,"Art, Art History & Architecture",Arts 480 – Introduction to Art History (UNH Manchester),https://libraryguides.unh.edu/arthistoryunhm
14,"Art, Art History & Architecture",ARTS 574 - Architectural History - Verrot (UNH Durham),https://libraryguides.unh.edu/c.php?g=326890
15,Biological Sciences,Agriculture (General),https://libraryguides.unh.edu/agriculturegeneral
16,Biological Sciences,Animal Sciences,https://libraryguides.unh.edu/animalsciences
17,Biological Sciences,Bioinformatics (UNH Durham),https://libraryguides.unh.edu/c.php?g=326429
18,Biological Sciences,BIOL 413 - Principles of Biology I (UNH Manchester),https://libraryguides.unh.edu/principlesofbiology
19,Biological Sciences,Biological Sciences,https://libraryguides.unh.edu/biologicalsciences
20,Biological Sciences,BSCI 421-Diseases of the 21st Century--Halpin (UNH Manchester),https://libraryguides.unh.edu/diseases
21,Biological Sciences,BSCI 501--Ethical Issues in Biology (UNH Manchester),https://libraryguides.unh.edu/ethicalissues
22,Biological Sciences,Carnivorous Plants (UNH Durham),https://libraryguides.unh.edu/c.php?g=326392
23,Biological Sciences,ESCI 400 - Freshman Field Seminar (UNH Durham),https://libraryguides.unh.edu/esci400
24,Biological Sciences,Nutrition,https://libraryguides.unh.edu/nutrition
25,Biological Sciences,Plant Sciences,https://libraryguides.unh.edu/plantsciences
26,Biological Sciences,Regenerative Medicine (UNH - Manchester),https://libraryguides.unh.edu/c.php?g=806291
27,Biological Sciences,STEM Fellows Program (UNH Manchester),https://libraryguides.unh.edu/stemfellows
28,Business & Economics,ADMN 400,https://libraryguides.unh.edu/ADMN400
29,Business & Economics,ADMN 444,https://libraryguides.unh.edu/ADMN444
30,Business & Economics,ADMN 575,https://libraryguides.unh.edu/admn575
31,Business & Economics,ADMN 585,https://libraryguides.unh.edu/admn585
32,Business & Economics,BUS 400: Introduction to Business -- Troy (UNH Manchester),https://libraryguides.unh.edu/IntroToBusiness
33,Business & Economics,BUS 601: Financial Management (UNH Manchester),https://libraryguides.unh.edu/financialmanagement
34,Business & Economics,BUS 610- Introduction to Marketing Principles (UNH Manchester),https://libraryguides.unh.edu/Introduction-to-Marketing-Principles
35,Business & Economics,BUS 661-Integrated Marketing Communication (UNH Manchester),https://libraryguides.unh.edu/marketingcommunication
36,Business & Economics,BUS 663: Services Marketing-- Troy (UNH Manchester),https://libraryguides.unh.edu/c.php?g=459483
37,Business & Economics,BUS 750/760-Business Internship Seminar/Applied Senior Project (UNH Manchester),https://libraryguides.unh.edu/seniorseminarbusiness
38,Business & Economics,Business Strategy,https://libraryguides.unh.edu/strategy
39,Business & Economics,DS 744 : Research Resources,https://libraryguides.unh.edu/DS744
40,Business & Economics,ECN 410-Novelists and Economists (UNH Manchester),https://libraryguides.unh.edu/novelistsandeconomists
41,Business & Economics,ECON 551,https://libraryguides.unh.edu/econ551
42,Business & Economics,Econ 645,https://libraryguides.unh.edu/Econ645
43,Business & Economics,ENGL 595 - Business Communications (UNH Manchester),https://libraryguides.unh.edu/BusinessCommunication
44,Business & Economics,FIRE - First-Year Innovation and Research Experience 2018-2019,https://libraryguides.unh.edu/fire18-19
45,Business & Economics,HMGT 401 - Introduction to the Hospitality Industry,https://libraryguides.unh.edu/hmgt401
46,Business & Economics,HMGT 570,https://libraryguides.unh.edu/hmgt580
47,Business & Economics,HMGT 625 (UNH DURHAM),https://libraryguides.unh.edu/hopitalitylaw
48,Business & Economics,Management701,https://libraryguides.unh.edu/MGT701
49,Business & Economics,Marketing 550,https://libraryguides.unh.edu/MKTG550
50,Business & Economics,Marketing 752,https://libraryguides.unh.edu/MKTG752
51,Business & Economics,Marketing 763,https://libraryguides.unh.edu/marketing763
52,Business & Economics,MBA,https://libraryguides.unh.edu/MBA
53,Business & Economics,Small Business Development Center,https://libraryguides.unh.edu/SBDC
54,Business & Economics,Social Venture Innovation Challenge Research Guide,https://libraryguides.unh.edu/SVIC
55,Career Information,Career Research Portal,https://libraryguides.unh.edu/c.php?g=650856
56,Career Information,College Fair Career Exploration,https://libraryguides.unh.edu/careerexploration
57,Career Information,Foreign Service Career Preparation,https://libraryguides.unh.edu/foreign-service
58,Career Information,UMST 402 - Transfer Seminar (UNH Manchester),https://libraryguides.unh.edu/transferseminar
59,Communication & Media,Cinema Studies,https://libraryguides.unh.edu/cinemastudies
60,Communication & Media,CMN 456 - Propaganda & Persuasion (UNH - Manchester),https://libraryguides.unh.edu/cmn456
61,Communication & Media,CMN 457: Intro to Language and Social Interaction (UNH Manchester),https://libraryguides.unh.edu/CMN457
62,Communication & Media,Digital Scholarship Resource Guide,https://libraryguides.unh.edu/digital
63,Communication & Media,ENGL 791-English Grammar (UNH Manchester),https://libraryguides.unh.edu/englishgrammar
64,Communication & Media,Fake News (UNH Manchester),https://libraryguides.unh.edu/fakeandfilter
