,Category,Subject,Link
0,*Citing and Bibliographies,***Citation Styles,https://research.library.gsu.edu/citationstyles
1,*Citing and Bibliographies,Cited Reference Searching,https://research.library.gsu.edu/citedref
2,*Citing and Bibliographies,EndNote,https://research.library.gsu.edu/endnote
3,*Citing and Bibliographies,HACKADEMICS: Citing While Writing,https://research.library.gsu.edu/hackademics105citingwhilewriting
4,*Citing and Bibliographies,Mendeley,https://research.library.gsu.edu/mendeley
5,*Citing and Bibliographies,Mining References - Humanities,https://research.library.gsu.edu/footnotes
6,*Citing and Bibliographies,Mining References - Social Sciences,https://research.library.gsu.edu/mineref
7,*Citing and Bibliographies,Writing in the Sciences,https://research.library.gsu.edu/sciencewriting
8,*Citing and Bibliographies,Zotero,https://research.library.gsu.edu/zotero
9,*Guides for Alumni and Visitors,GSU Alumni Library Guide,https://research.library.gsu.edu/alumni
10,*Guides for Faculty,*Archival Research,https://research.library.gsu.edu/archivalresearch
11,*Guides for Faculty,Altmetrics,https://research.library.gsu.edu/altmetrics
12,*Guides for Faculty,Atlanta Symphony Orchestra,https://research.library.gsu.edu/ASO
13,*Guides for Faculty,Data Management,https://research.library.gsu.edu/datamgmt
14,*Guides for Faculty,Faculty Research Portal,https://research.library.gsu.edu/facresearch
15,*Guides for Faculty,Linking to articles and films,https://research.library.gsu.edu/directlinking
16,*Guides for Faculty,Mendeley,https://research.library.gsu.edu/mendeley
17,*Guides for Faculty,Pivot,https://research.library.gsu.edu/cospivot
18,*Guides for Faculty,Reproductive Rights Classroom Exercise,https://research.library.gsu.edu/reproductiverightsclassroom
19,*Guides for Faculty,Research Data Services @ Georgia State University Library,https://research.library.gsu.edu/dataservices
20,*Guides for Faculty,Scholarly Impact Tools,https://research.library.gsu.edu/si
21,*Guides for Faculty,ScholarWorks @ Georgia State University,https://research.library.gsu.edu/scholarworks
22,*Guides for Faculty,Using Copyrighted Materials in Instruction,https://research.library.gsu.edu/copyrightinstruction
23,*Guides for Graduate Students,**Sociology: Subject Guide to Graduate Research,https://research.library.gsu.edu/gradsoc
