,Category,Subject,Link
0,Accounting,Accountancy,https://researchguides.case.edu/accountancy
1,Anthropology,Anthropology,https://researchguides.case.edu/anthropology
2,Art History and Art,Art History and Art,https://researchguides.case.edu/art
3,Arts & Humanities,Analog sound recordings,https://researchguides.case.edu/recordings
4,Arts & Humanities,Art History and Art,https://researchguides.case.edu/art
5,Arts & Humanities,ARTH 284 -- History of Photography,https://researchguides.case.edu/ARTH284
6,Arts & Humanities,Asian Studies,https://researchguides.case.edu/asianstudies
7,Arts & Humanities,Book Collecting,https://researchguides.case.edu/book-collecting
8,Arts & Humanities,Classics,https://researchguides.case.edu/classics
9,Arts & Humanities,Cleveland Humanities Festival- Concluding Discussion,https://researchguides.case.edu/chf-discussion
10,Arts & Humanities,Cleveland Humanities Festival- Jonathan Shay,https://researchguides.case.edu/chf-shay
11,Arts & Humanities,Cleveland Humanities Festival- Kamila Shamsie,https://researchguides.case.edu/chf-shamsie
12,Arts & Humanities,CWRU Faculty Authors,https://researchguides.case.edu/faculty-authors
13,Arts & Humanities,Dance,https://researchguides.case.edu/dance
14,Arts & Humanities,Digital Humanities,https://researchguides.case.edu/digitalhumanities
15,Arts & Humanities,ENGL 302- English Literature from 1800 to the Twentieth Century,https://researchguides.case.edu/engl302
16,Arts & Humanities,English,https://researchguides.case.edu/english
17,Arts & Humanities,English 310/410: History of the English Language,https://researchguides.case.edu/engl310
18,Arts & Humanities,English 380: Departmental Seminar,https://researchguides.case.edu/engl380
19,Arts & Humanities,Film Studies,https://researchguides.case.edu/film_studies
20,Arts & Humanities,FSTS 100 What is a Museum?,https://researchguides.case.edu/fsts100
21,Arts & Humanities,Graphic Novels and Comic Books,https://researchguides.case.edu/graphic-novels
22,Arts & Humanities,History,https://researchguides.case.edu/history
23,Arts & Humanities,How To Use KSL Research Guides,https://researchguides.case.edu/research-guides
24,Arts & Humanities,HSTY 235 Pirates in the Early Modern World,https://researchguides.case.edu/piratehistory
25,Arts & Humanities,HSTY 329 Museums in Global Perspective,https://researchguides.case.edu/hsty329
26,Arts & Humanities,Hungarian Studies,https://researchguides.case.edu/hungary
27,Arts & Humanities,Judaic Studies,https://researchguides.case.edu/judaicstudies
28,Arts & Humanities,Marcel Dick,https://researchguides.case.edu/marceldick
29,Arts & Humanities,Modern Languages and Literatures,https://researchguides.case.edu/modernlanguages
30,Arts & Humanities,MUHI 395A Capstone for Music Majors,https://researchguides.case.edu/MUHI395A
31,Arts & Humanities,Music,https://researchguides.case.edu/music
32,Arts & Humanities,Music scores online,https://researchguides.case.edu/scores
33,Arts & Humanities,Online Databases: Advanced Search Techniques and Strategies for Graduate Students in Music and Music Education,https://researchguides.case.edu/musiconlinedatabases
34,Arts & Humanities,Philosophy,https://researchguides.case.edu/philosophy
35,Arts & Humanities,Plainchant at CWRU,https://researchguides.case.edu/plainchant
36,Arts & Humanities,Poetry,https://researchguides.case.edu/poetry
37,Arts & Humanities,Religious Studies,https://researchguides.case.edu/religion
38,Arts & Humanities,Shakespeare,https://researchguides.case.edu/shakespeare
39,Arts & Humanities,Social Justice at CWRU,https://researchguides.case.edu/SJI
40,Arts & Humanities,SPAN 342- Latin American Feminist Voices,https://researchguides.case.edu/span342
41,Arts & Humanities,SPAN 343- Latin American Theater,https://researchguides.case.edu/span343
42,Arts & Humanities,The Civil War,https://researchguides.case.edu/civilwar
43,Arts & Humanities,Theater,https://researchguides.case.edu/theater
44,Arts & Humanities,Think Forum: Daniel Mendelsohn (2015),https://researchguides.case.edu/danielmendelsohn
45,Arts & Humanities,Think Forum: Henry Louis Gates Jr. (2017),https://researchguides.case.edu/henrylouisgatesjr
46,Arts & Humanities,Think Forum: Sarah Lewis (2015),https://researchguides.case.edu/SarahLewis
47,Arts & Humanities,Think Forum: Suzan-Lori Parks (2016),https://researchguides.case.edu/suzanloriparks
48,Arts & Humanities,Think Forum: Tony Kushner and Sarah Vowell (2016),https://researchguides.case.edu/kushnervowell
49,Arts & Humanities,"Think Tank 2017 - Education for Struggle: State Violence, Then and Now - Research Guide",https://researchguides.case.edu/thinktank2017
50,Arts & Humanities,USNA 287D Native American Environmentalism,https://researchguides.case.edu/USNA287D
51,Arts & Humanities,USSO 234 Questions of Identity,https://researchguides.case.edu/USSO234
52,Arts & Humanities,USSO 286X - The Future of News,https://researchguides.case.edu/USSO286X
53,Arts & Humanities,"USSO 291Y Immigration, Identity, Writing",https://researchguides.case.edu/USSO291Y
54,Arts & Humanities,"USSO 290M The Impact of Race, Class and Education: A Dialogue on Current Issues",https://researchguides.case.edu/USSO290M100
55,Arts & Humanities,USSO 291D Women in the Ancient World,https://researchguides.case.edu/USSO291D
56,Arts & Humanities,USSO 291E Is College Worth It?,https://researchguides.case.edu/USSO291E
57,Arts & Humanities,USSO 291R Aging Well,https://researchguides.case.edu/USSO291R
58,Arts & Humanities,USSY 291J Improvisation in Jazz and Beyond,https://researchguides.case.edu/USSY291J
59,Arts & Humanities,USSY 291V The Built Sublime,https://researchguides.case.edu/USSY291V
60,Arts & Humanities,USSY 292L Walking and the Mind,https://researchguides.case.edu/USSY292L
61,Arts & Humanities,"USSY 292N Cli-Fi: Addressing Climate Change in Fact, Fiction, and Film",https://researchguides.case.edu/USSY292N
62,Arts & Humanities,"USSY 292R - Human Rights, Human Meanings",https://researchguides.case.edu/USSY292R
63,Arts & Humanities,USSY 292S The Meaning of Life: A Novel Idea,https://researchguides.case.edu/USSY292S
64,Arts & Humanities,Writing Guides and Handbooks,https://researchguides.case.edu/writingguides
65,Astronomy,Astronomy,https://researchguides.case.edu/astronomy
66,Banking & Finance,Banking and Finance,https://researchguides.case.edu/BAFI
67,Biology,Biology,https://researchguides.case.edu/biology
68,Biology,Think Forum: Robert Sapolsky (2017),https://researchguides.case.edu/RobertSapolsky
69,Biomedical Engineering,Biomedical Engineering,https://researchguides.case.edu/biomedical
70,Biomedical Engineering,Engineering Literature Review,https://researchguides.case.edu/englitreview
71,Biomedical Engineering,LaTeX and BibTeX,https://researchguides.case.edu/latex
72,Biomedical Engineering,Library Resources and Services for CSE Graduate Students,https://researchguides.case.edu/csegradstudents
