,Category,Subject,Link
0,African and African American Studies,"AAAS 88.16 - Soveignty, Race, and Rights",https://researchguides.dartmouth.edu/aaas8816
1,African and African American Studies,African & African American Studies,https://researchguides.dartmouth.edu/aaas
2,African and African American Studies,HIST 66 Africa Since 1800,https://researchguides.dartmouth.edu/HIST66_africa_since_1800
3,African and African American Studies,HIST 96.23 Topics in West African History,https://researchguides.dartmouth.edu/HIST96_topics_in_west_african_history
4,Anthropology,,https://researchguides.dartmouth.edu/aaas8816
5,Anthropology,,https://researchguides.dartmouth.edu/anthropology
6,Art and Architecture,,https://researchguides.dartmouth.edu/art
7,Art and Architecture,,https://researchguides.dartmouth.edu/newmedia
8,Asian Studies,,https://researchguides.dartmouth.edu/chinesestudiesxie
9,Asian Studies,,https://researchguides.dartmouth.edu/Japanese
10,Asian Studies,,https://researchguides.dartmouth.edu/tibetan-studies
11,Astronomy,,https://researchguides.dartmouth.edu/astronomy
12,Astronomy,,https://researchguides.dartmouth.edu/LaTeX_BibTeX
13,Biology,,https://researchguides.dartmouth.edu/biology
14,Biology,,https://researchguides.dartmouth.edu/drug_information
15,Business,,https://researchguides.dartmouth.edu/business
16,Chemistry,,https://researchguides.dartmouth.edu/envirochem
17,Chemistry,,https://researchguides.dartmouth.edu/chem64
18,Chemistry,,https://researchguides.dartmouth.edu/SciSoc
19,Chemistry,,https://researchguides.dartmouth.edu/chemistry
20,Chemistry,,https://researchguides.dartmouth.edu/LaTeX_BibTeX
21,Classics,,https://researchguides.dartmouth.edu/classics
22,Comparative Literature,,https://researchguides.dartmouth.edu/complit
23,Computer Science,,https://researchguides.dartmouth.edu/cs
24,Computer Science,,https://researchguides.dartmouth.edu/digitalarts
25,Computer Science,,https://researchguides.dartmouth.edu/LaTeX_BibTeX
26,Earth Sciences,,https://researchguides.dartmouth.edu/earthsci
27,Earth Sciences,,https://researchguides.dartmouth.edu/LaTeX_BibTeX
28,Earth Sciences,,https://researchguides.dartmouth.edu/remotesensing
29,Economics,,https://researchguides.dartmouth.edu/census
30,Economics,,https://researchguides.dartmouth.edu/econ
31,Economics,,https://researchguides.dartmouth.edu/webmapping
32,Education,,https://researchguides.dartmouth.edu/education
33,Engineering,,https://researchguides.dartmouth.edu/engineering
34,English and American Literature,English & American Literature,https://researchguides.dartmouth.edu/english
35,Environmental Studies,,https://researchguides.dartmouth.edu/envs
36,Environmental Studies,,https://researchguides.dartmouth.edu/envscourses
37,Environmental Studies,,https://researchguides.dartmouth.edu/polar_studies
38,Environmental Studies,,https://researchguides.dartmouth.edu/remotesensing
39,Environmental Studies,,https://researchguides.dartmouth.edu/sustainability
40,Film and Media Studies,Communication,https://researchguides.dartmouth.edu/communications
41,Film and Media Studies,Film & Media Studies,https://researchguides.dartmouth.edu/film_media
42,Film and Media Studies,Film Genres,https://researchguides.dartmouth.edu/filmgenres
43,Film and Media Studies,Film Studies,https://researchguides.dartmouth.edu/filmstudies
44,Film and Media Studies,Film Studies Course Guides,https://researchguides.dartmouth.edu/filmcourses
45,Film and Media Studies,Film Studies: National Cinemas,https://researchguides.dartmouth.edu/nationalcinemas
46,Film and Media Studies,Games & Gaming,https://researchguides.dartmouth.edu/gaming
47,Film and Media Studies,New Media,https://researchguides.dartmouth.edu/newmedia
48,Film and Media Studies,Radio Studies,https://researchguides.dartmouth.edu/radio
49,Film and Media Studies,Streaming Film Services,https://researchguides.dartmouth.edu/streaming
50,Film and Media Studies,Television Genres,https://researchguides.dartmouth.edu/tvgenres
51,Film and Media Studies,Television Studies,https://researchguides.dartmouth.edu/television
52,French and Italian Studies,French Studies,https://researchguides.dartmouth.edu/frenchstudies
53,French and Italian Studies,Italian Studies,https://researchguides.dartmouth.edu/italian
54,Geography,,https://researchguides.dartmouth.edu/arcgis
55,Geography,,https://researchguides.dartmouth.edu/arcgisonline
56,Geography,,https://researchguides.dartmouth.edu/cartography
57,Geography,,https://researchguides.dartmouth.edu/census
58,Geography,,https://researchguides.dartmouth.edu/gis
59,Geography,,https://researchguides.dartmouth.edu/geography
60,Geography,,https://researchguides.dartmouth.edu/geographycourses
61,Geography,,https://researchguides.dartmouth.edu/gisdata
62,Geography,,https://researchguides.dartmouth.edu/human_geography
63,Geography,,https://researchguides.dartmouth.edu/maps
64,Geography,,https://researchguides.dartmouth.edu/mapsonline
65,Geography,,https://researchguides.dartmouth.edu/physical_geography
66,Geography,,https://researchguides.dartmouth.edu/remotesensing
67,Geography,,https://researchguides.dartmouth.edu/streaming
68,Geography,,https://researchguides.dartmouth.edu/webmapping
69,German Studies,,https://researchguides.dartmouth.edu/german
70,Government,,https://researchguides.dartmouth.edu/AmericanPolitics
71,Government,,https://researchguides.dartmouth.edu/Government
72,Government,,https://researchguides.dartmouth.edu/c.php?g=130794
73,History,,https://researchguides.dartmouth.edu/genealogy
74,History,,https://researchguides.dartmouth.edu/c.php?g=826109
75,History,,https://researchguides.dartmouth.edu/HIST66_africa_since_1800
76,History,,https://researchguides.dartmouth.edu/c.php?g=826712
77,History,,https://researchguides.dartmouth.edu/greenberg_96
78,History,,https://researchguides.dartmouth.edu/HIST96_topics_in_west_african_history
79,History,,https://researchguides.dartmouth.edu/miller_96
80,History,,https://researchguides.dartmouth.edu/c.php?g=775461
81,History,,https://researchguides.dartmouth.edu/history_key_resources
82,Jewish Studies,,https://researchguides.dartmouth.edu/jewish_studies
83,"Latin American, Latino/a, and Caribbean Studies",,https://researchguides.dartmouth.edu/lalacs
84,Law,,https://researchguides.dartmouth.edu/law
85,Linguistics and Cognitive Sciences,Linguistics & Cognitive Science,https://researchguides.dartmouth.edu/linguistics
86,Mathematics,,https://researchguides.dartmouth.edu/LaTeX_BibTeX
87,Mathematics,,https://researchguides.dartmouth.edu/math
88,Medicine and Health,,https://researchguides.dartmouth.edu/cultural_awareness
89,Medicine and Health,,https://researchguides.dartmouth.edu/drug_information
90,Medicine and Health,,https://researchguides.dartmouth.edu/HistoryMedicine
91,Medicine and Health,,https://researchguides.dartmouth.edu/medicine
92,Medicine and Health,,https://researchguides.dartmouth.edu/mobilemedicine
93,Medicine and Health,,https://researchguides.dartmouth.edu/surveydesign
94,Medieval and Renaissance Studies,Medieval & Renaissance Studies,https://researchguides.dartmouth.edu/medieval
95,Middle Eastern Studies,Middle Eastern Studies,https://researchguides.dartmouth.edu/mideast
96,Music,,https://researchguides.dartmouth.edu/c.php?g=757418
97,Native American Studies,Native American Studies,https://researchguides.dartmouth.edu/nas
98,Newspapers and News,Newspapers & News,https://researchguides.dartmouth.edu/newspapers
99,Philosophy,,https://researchguides.dartmouth.edu/philosophy
100,Physics,,https://researchguides.dartmouth.edu/LaTeX_BibTeX
101,Physics,,https://researchguides.dartmouth.edu/phys75
102,Physics,,https://researchguides.dartmouth.edu/physics
103,Physics,,https://researchguides.dartmouth.edu/c.php?g=59474
104,Polar Studies,,https://researchguides.dartmouth.edu/polar_studies
