,Category,Subject,Link
0,Accessibility,Accessible Library Services,https://researchguides.georgebrown.ca/accessibility
1,Accessibility,Captioned Media & E-Text,https://researchguides.georgebrown.ca/captionedmedia
2,Accessibility,Universal Design for Learning (UDL) - George Brown Faculty,https://researchguides.georgebrown.ca/UDLGBCFaculty
3,Apprentices,Electrical Apprentices,https://researchguides.georgebrown.ca/electrical
4,Apprentices,Finding Building Materials,https://researchguides.georgebrown.ca/buildingmaterials
5,Apprentices,"Green Design and Construction: Environment, Regulation, Incentives, Case Studies",https://researchguides.georgebrown.ca/greenconstruction
6,Apprentices,"HRAC/HVAC: Heating, Refrigeration/Ventilation and Air Conditioning",https://researchguides.georgebrown.ca/HVAC
7,Apprentices,Plumbing,https://researchguides.georgebrown.ca/c.php?g=490831
8,Apprentices,Textbooks for School of Apprenticeship and Skilled Trades,https://researchguides.georgebrown.ca/textbooksapprenticeship/skilledtrades
9,Architectural Studies,Architecture,https://researchguides.georgebrown.ca/architecture
10,Architectural Studies,BIM - Building Information Modeling,https://researchguides.georgebrown.ca/BIM
11,Architectural Studies,BLDG 3077 - Sustainable Building Practices,https://researchguides.georgebrown.ca/BLDG3077
12,Architectural Studies,"Company, Industry & Career Resources - Construction and Architectural Technologies (COMM 1113 & BLDG 1193)",https://researchguides.georgebrown.ca/companyresearchCCET
13,Architectural Studies,Finding Building Materials,https://researchguides.georgebrown.ca/buildingmaterials
14,Architectural Studies,GHUM 1106- History of Architecture - Research Project,https://researchguides.georgebrown.ca/GHUM1106ResearchProject
15,Architectural Studies,"Green Design and Construction: Environment, Regulation, Incentives, Case Studies",https://researchguides.georgebrown.ca/greenconstruction
16,Architectural Studies,Interdisciplinary Design Strategy,https://researchguides.georgebrown.ca/designstrategy
17,Architectural Studies,Researching Historic Buildings in Toronto,https://researchguides.georgebrown.ca/Torontobuildings
18,Architectural Studies,Researching the Technical Report (ARCH 2172 and BLDG 3075),https://researchguides.georgebrown.ca/technicalreport
19,Architectural Studies,Textbooks for School of Architectural Studies,https://researchguides.georgebrown.ca/textbooksarchitecture
20,Business,Accounting and Finance,https://researchguides.georgebrown.ca/accounting_finances
21,Business,BUS1051 - Consulting,https://researchguides.georgebrown.ca/BUS1051
22,Business,Case Studies,https://researchguides.georgebrown.ca/casestudies
23,Business,"Demographics, Statistics & Consumer Behaviour",https://researchguides.georgebrown.ca/demographics
24,Business,Effective Teamwork Skills,https://researchguides.georgebrown.ca/effectiveteamwork
