,Category,Subject,Link
0,Advertising,Advertising Resources,https://researchguides.library.syr.edu/advertising
1,African American Studies,African American Studies,https://researchguides.library.syr.edu/africanamerican
2,African Studies,African Studies,https://researchguides.library.syr.edu/afristudies
3,African Studies,Kenya National Archives,https://researchguides.library.syr.edu/kenyanarch
4,Anthropology & Archaeology,Anthropology,https://researchguides.library.syr.edu/anthro
5,Anthropology & Archaeology,Archaeology & Biological Anthropology,https://researchguides.library.syr.edu/archaeology
6,Architecture,Architecture,https://researchguides.library.syr.edu/architecture
7,Art & Design,Art Education,https://researchguides.library.syr.edu/c.php?g=258257
8,Art & Design,Art Resources,https://researchguides.library.syr.edu/art
9,Art & Design,Arts and Humanities Funding,https://researchguides.library.syr.edu/ahfunding
10,Art & Design,Careers Within The Arts,https://researchguides.library.syr.edu/c.php?g=258176
11,Art & Design,Ceramics,https://researchguides.library.syr.edu/ceramics
12,Art & Design,Fashion Design,https://researchguides.library.syr.edu/fashion
13,Art & Design,Film Studies Resource Guide,https://researchguides.library.syr.edu/film
14,Art & Design,Goldring Art Journalism Program: Guide to Art & Art Criticism Resources,https://researchguides.library.syr.edu/goldring
15,Art & Design,Illustration Library Resources,https://researchguides.library.syr.edu/c.php?g=258365
16,Art & Design,Industrial and Interaction Design Resources,https://researchguides.library.syr.edu/c.php?g=258162
17,Art & Design,Museum Studies Resource Guide,https://researchguides.library.syr.edu/Museum
18,Art & Design,Painting Library Resources,https://researchguides.library.syr.edu/painting
19,Art & Design,Photography Resources,https://researchguides.library.syr.edu/photography
20,Biology,Biology Resources,https://researchguides.library.syr.edu/biology
21,Biology,Neuroscience,https://researchguides.library.syr.edu/Neuroscience
22,Biology,STEM Writing & Citing,https://researchguides.library.syr.edu/STEMwriting
23,Business & Entrepreneurship,Business Information Guide,https://researchguides.library.syr.edu/business
24,Business & Entrepreneurship,Career Research Guide,https://researchguides.library.syr.edu/CareerCenter
25,Business & Entrepreneurship,EBV & EBV-F Research Resources,https://researchguides.library.syr.edu/ebvf
26,Business & Entrepreneurship,Engineering Management,https://researchguides.library.syr.edu/EngineeringManagement
27,Business & Entrepreneurship,Organizational Behavior,https://researchguides.library.syr.edu/organizationbehavior
28,Business & Entrepreneurship,SOM 122 - Perspectives of Business and Management (Fall 2018),https://researchguides.library.syr.edu/som122
29,Business & Entrepreneurship,Sport Management,https://researchguides.library.syr.edu/sportmanagement
30,Chemistry,Chemistry Resources,https://researchguides.library.syr.edu/chemistry
31,Chemistry,Reaxys,https://researchguides.library.syr.edu/reaxys
32,Chemistry,SciFinder,https://researchguides.library.syr.edu/scifinder
33,Chemistry,STEM Writing & Citing,https://researchguides.library.syr.edu/STEMwriting
34,Communication,Advertising Resources,https://researchguides.library.syr.edu/advertising
35,Communication,Arts Journalism Resources @ SU Libraries,https://researchguides.library.syr.edu/artsjournalism
36,Communication,Communication & Rhetorical Studies Resources,https://researchguides.library.syr.edu/crs
37,Communication,Communications Management - Research Guide for ISDP Students,https://researchguides.library.syr.edu/commgmtisdp
38,Communication,Communications@Syracuse - Master of Science Program,https://researchguides.library.syr.edu/comsyracuse
39,Communication,Newhouse School of Public Communications - Guide to Resources @ Syracuse University Libraries,https://researchguides.library.syr.edu/journalism
40,Communication,Public Relations Resources,https://researchguides.library.syr.edu/pr
41,Computer Science,Electrical Engineering & Computer Science Resources,https://researchguides.library.syr.edu/EECS
42,Computer Science,Engineering Management,https://researchguides.library.syr.edu/EngineeringManagement
43,Computer Science,Introductory Engineering and Computer Science Resources,https://researchguides.library.syr.edu/IntroECS
44,Computer Science,Standards,https://researchguides.library.syr.edu/Standards
45,Computer Science,Technical Reports,https://researchguides.library.syr.edu/TechnicalReports
46,Course Guides (Current Semester),ADV 206: Advertising Practice in a Diverse Society (Fall 2018),https://researchguides.library.syr.edu/adv206
47,Course Guides (Current Semester),ADV 208: The Big Idea in Advertising (Fall 2018),https://researchguides.library.syr.edu/adv208
48,Course Guides (Current Semester),ADV 401: Advertising Portfolio I (Fall 2018),https://researchguides.library.syr.edu/adv401
49,Course Guides (Current Semester),Basic Research Strategies for the Social Sciences,https://researchguides.library.syr.edu/socresearch
50,Course Guides (Current Semester),COM 100 - First Year Seminar (Fall 2018),https://researchguides.library.syr.edu/com100
51,Course Guides (Current Semester),ENL 213 - Academic Writing & Research for Non-native Speakers of English (2018),https://researchguides.library.syr.edu/enl213
52,Course Guides (Current Semester),ETS 153 Serialization Assignment: Longman's Magazine (Spring 2017),https://researchguides.library.syr.edu/morrison
53,Course Guides (Current Semester),ETS 181: Textual Artifact Interpretation Assignment Resources,https://researchguides.library.syr.edu/ets181
54,Course Guides (Current Semester),ETS 420 Victorian Domesticity: Resources for Paper #1 (Fall 2017),https://researchguides.library.syr.edu/ets420paper
55,Course Guides (Current Semester),GEO 381 - Cartographic Design - (FALL 2018),https://researchguides.library.syr.edu/GEO381
56,Course Guides (Current Semester),GEO 383/683 - Geographic Information Systems (FALL 2018),https://researchguides.library.syr.edu/GEO383-683
57,Course Guides (Current Semester),GER 300 - Introduction to German Literature: Friends and Foes in Various Genres from Enlightenment to Present (Fall 2018),https://researchguides.library.syr.edu/c.php?g=844049
58,Course Guides (Current Semester),"HNR 360 - Activism in the 1960s: Sex, Drugs, Rock 'n' Roll (Fall 2018)",https://researchguides.library.syr.edu/sixties
59,Course Guides (Current Semester),HST 401 - Senior Seminar: Food in America: A History (Fall 2018),https://researchguides.library.syr.edu/foodinamerica
60,Course Guides (Current Semester),HST 401 - Senior Seminar: Genocide in the Modern World (Fall 2018),https://researchguides.library.syr.edu/genocide
61,Course Guides (Current Semester),IRP 495 - Distinction in International Relations Seminar (Fall 2018),https://researchguides.library.syr.edu/irp495
62,Course Guides (Current Semester),IRP/PSC 412 Global Governance: The United Nations System (Fall 2018),https://researchguides.library.syr.edu/globalgov
63,Course Guides (Current Semester),IST 564: Library & Information Services to Students with Disabilities,https://researchguides.library.syr.edu/libserv
64,Course Guides (Current Semester),IST 678: Communication for Information Professionals,https://researchguides.library.syr.edu/ist678
65,Course Guides (Current Semester),LIN 451/651: Morphological Analysis: Corpus Search Resources,https://researchguides.library.syr.edu/lin651
66,Course Guides (Current Semester),MAR 356 - Marketing Research (2017),https://researchguides.library.syr.edu/MAR356
67,Course Guides (Current Semester),PRL 206 - Public Relations Principles and Concepts (Fall 2018),https://researchguides.library.syr.edu/prl206
68,Course Guides (Current Semester),Special Collections Sessions,https://researchguides.library.syr.edu/scrcsessions
69,Course Guides (Current Semester),SWK 774 Proposal Writing & Program Development (Summer 2018),https://researchguides.library.syr.edu/swkgrants
70,Course Guides (Current Semester),Van Gogh HNR 340,https://researchguides.library.syr.edu/VanGogh
71,Course Guides (Current Semester),WGS 310 Feminist Inquiries (Fall 2018),https://researchguides.library.syr.edu/wgs310
72,Course Guides (Current Semester),Writing 105 for the Sport Management Learning Community (Fall 2018),https://researchguides.library.syr.edu/wrt105sports
73,Course Guides (Current Semester),WRT 205 - Writing and the Arts (Spring 2018),https://researchguides.library.syr.edu/wrt205arts18
74,Course Guides (Current Semester),WRT 205/209: Public Discourse & the Writing of Science (Spring 2018),https://researchguides.library.syr.edu/wrt205science
75,Course Guides (Current Semester),WRT 424: Fashioning Queer Lives (Fall 2018),https://researchguides.library.syr.edu/wrt424queerlives
76,Disability Studies,Disability Research at Special Collections Research Center,https://researchguides.library.syr.edu/disabspecoll
77,Disability Studies,Disability Statistics,https://researchguides.library.syr.edu/disabilitystats
78,Disability Studies,Disability Studies Resources Guide,https://researchguides.library.syr.edu/disabilitystudies
79,Disability Studies,Education Resources,https://researchguides.library.syr.edu/education
80,Disability Studies,"Special Collections (Social Work, CFS, MFT, Aging)",https://researchguides.library.syr.edu/speccoll
81,Earth Sciences,Earth Sciences Resources,https://researchguides.library.syr.edu/earth_sciences
82,Earth Sciences,STEM Writing & Citing,https://researchguides.library.syr.edu/STEMwriting
83,East Asian Studies,East Asia,https://researchguides.library.syr.edu/eastasia
84,Economics,Economics,https://researchguides.library.syr.edu/economics
85,Education,Art Education,https://researchguides.library.syr.edu/c.php?g=258257
86,Education,Children's and Youth Literature,https://researchguides.library.syr.edu/youthliterature
87,Education,Counseling and Human Services,https://researchguides.library.syr.edu/counseling
88,Education,Dance Resources,https://researchguides.library.syr.edu/dance
89,Education,Education Resources,https://researchguides.library.syr.edu/education
90,Education,Exercise Science,https://researchguides.library.syr.edu/exercise_science
91,Education,Library Research Skills,https://researchguides.library.syr.edu/libraryresearch
92,Education,Music Education,https://researchguides.library.syr.edu/musiceducation
93,Engineering,Automotive Engineering,https://researchguides.library.syr.edu/Auto
94,Engineering,Biomedical & Chemical Engineering Resources,https://researchguides.library.syr.edu/BMCE
95,Engineering,Civil & Environmental Engineering Resources,https://researchguides.library.syr.edu/CIE
96,Engineering,Electrical Engineering & Computer Science Resources,https://researchguides.library.syr.edu/EECS
97,Engineering,Engineering Failures,https://researchguides.library.syr.edu/EngineeringFailures
98,Engineering,Engineering Management,https://researchguides.library.syr.edu/EngineeringManagement
99,Engineering,Introductory Engineering and Computer Science Resources,https://researchguides.library.syr.edu/IntroECS
100,Engineering,Mechanical & Aerospace Engineering Resources,https://researchguides.library.syr.edu/MAE
101,Engineering,Reaxys,https://researchguides.library.syr.edu/reaxys
102,Engineering,SciFinder,https://researchguides.library.syr.edu/scifinder
103,Engineering,Standards,https://researchguides.library.syr.edu/Standards
104,Engineering,STEM Writing & Citing,https://researchguides.library.syr.edu/STEMwriting
105,Engineering,Technical Reports,https://researchguides.library.syr.edu/TechnicalReports
106,English & Textual Studies,English & Literature Resources,https://researchguides.library.syr.edu/englishlit
107,English & Textual Studies,English and Writing Resources for SUPA Instructors & Students,https://researchguides.library.syr.edu/supa
108,English & Textual Studies,ETS 153 Serialization Assignment: Longman's Magazine (Spring 2017),https://researchguides.library.syr.edu/morrison
109,English & Textual Studies,ETS 154 - Interpretation of Film (Spring 2018),https://researchguides.library.syr.edu/ets154
110,English & Textual Studies,ETS 181: Textual Artifact Interpretation Assignment Resources,https://researchguides.library.syr.edu/ets181
111,English & Textual Studies,ETS 420 Victorian Domesticity: Resources for Paper #1 (Fall 2017),https://researchguides.library.syr.edu/ets420paper
112,English & Textual Studies,ETS 440: 21st CENTURY CINEMA: HOLLYWOOD AND BEYOND,https://researchguides.library.syr.edu/ets440
113,English & Textual Studies,Victorian Studies,https://researchguides.library.syr.edu/victorian
114,European Studies,European Studies,https://researchguides.library.syr.edu/euro
115,Exercise Science & Physical Education,Exercise Science,https://researchguides.library.syr.edu/exercise_science
116,Film Studies,Film Studies Resource Guide,https://researchguides.library.syr.edu/film
117,Forensic Science,Archaeology & Biological Anthropology,https://researchguides.library.syr.edu/archaeology
118,Forensic Science,Forensic Science Resources,https://researchguides.library.syr.edu/forensic
119,"Gender, LGBT & Women's Studies",Feminism - Research and Resources,https://researchguides.library.syr.edu/feminism
120,"Gender, LGBT & Women's Studies",LGBT Studies,https://researchguides.library.syr.edu/lgbt
121,"Gender, LGBT & Women's Studies",WGS 310 Feminist Inquiries (Fall 2018),https://researchguides.library.syr.edu/wgs310
122,"Gender, LGBT & Women's Studies",Women's & Gender Studies,https://researchguides.library.syr.edu/wgs
123,"Gender, LGBT & Women's Studies",WRT 424: Fashioning Queer Lives (Fall 2018),https://researchguides.library.syr.edu/wrt424queerlives
124,"Geography, Maps & GIS",Geography - Human and Physical,https://researchguides.library.syr.edu/HumanGeog
125,"Geography, Maps & GIS","GIS (Geographic Information Systems), Geospatial Data",https://researchguides.library.syr.edu/GIS
126,"Geography, Maps & GIS",Maps & Cartographic resources,https://researchguides.library.syr.edu/Maps
127,Government Information,Government Information,https://researchguides.library.syr.edu/government
128,Government Information,Technical Reports,https://researchguides.library.syr.edu/TechnicalReports
129,Government Information,U.S. Census,https://researchguides.library.syr.edu/census
