,Category,Subject,Link
0,Accounting,Accounting Research Navigator,https://researchguides.smu.edu.sg/accounting
1,Accounting,Company Annual Reports,https://researchguides.smu.edu.sg/annualreports
2,Accounting,Equities,https://researchguides.smu.edu.sg/equities
3,Accounting,Governance & Risk Management (ACCT402),https://researchguides.smu.edu.sg/acct402
4,Accounting,How do I use Bloomberg,https://researchguides.smu.edu.sg/bloomberg
5,Accounting,How do I use Eikon,https://researchguides.smu.edu.sg/eikon
6,Accounting,How do I use S&P Capital IQ,https://researchguides.smu.edu.sg/capitaliq
7,Accounting,MPA (Master of Professional Accounting) Guide,https://researchguides.smu.edu.sg/mpa
8,Art,Image and Video Resources,https://researchguides.smu.edu.sg/images
9,Business,Business Law (LGST101),https://researchguides.smu.edu.sg/BusinessLaw
10,Business,Business Research Navigator,https://researchguides.smu.edu.sg/business
11,Business,"Business, Government and Society (MGMT003)",https://researchguides.smu.edu.sg/bgs
12,Business,Commodities,https://researchguides.smu.edu.sg/commodities
13,Business,Company Annual Reports,https://researchguides.smu.edu.sg/annualreports
14,Business,Corporate Communication,https://researchguides.smu.edu.sg/CorpComm
15,Business,Entrepreneurial Leadership in Ethnic Chinese Business (MGMT304),https://researchguides.smu.edu.sg/c.php?g=537931
16,Business,Equities,https://researchguides.smu.edu.sg/equities
17,Business,Finance & Quantitative Finance,https://researchguides.smu.edu.sg/finance
18,Business,"Financial Instruments, Institutions and Markets (FIIM) (FNCE102)",https://researchguides.smu.edu.sg/fnce102
19,Business,Global Supply Chains (OPIM324),https://researchguides.smu.edu.sg/c.php?g=557855
20,Business,How do I use Bloomberg,https://researchguides.smu.edu.sg/bloomberg
21,Business,How do I use Eikon,https://researchguides.smu.edu.sg/eikon
22,Business,How do I use MarketLine Advantage,https://researchguides.smu.edu.sg/marketline
23,Business,How do I use Passport (formerly GMID),https://researchguides.smu.edu.sg/passport
24,Business,How do I use S&P Capital IQ,https://researchguides.smu.edu.sg/capitaliq
25,Business,"IDIS 103: Understanding Drone & Robotics Technology – History, Usage, Ethics & Legal Issues",https://researchguides.smu.edu.sg/idis103
26,Business,Innovations for Asia’s Smart Cities (MGMT320),https://researchguides.smu.edu.sg/mgmt320
27,Business,International Business (MGMT205),https://researchguides.smu.edu.sg/intlbusiness_mgmt205
28,Business,Investment Studio,https://researchguides.smu.edu.sg/istudio
29,Business,Marketing (MKTG),https://researchguides.smu.edu.sg/MKTG
30,Business,Master of Business Administration (MBA) Programme,https://researchguides.smu.edu.sg/mba
31,Business,Master of Science in Applied Finance (MAF) Programme,https://researchguides.smu.edu.sg/MAF
32,Business,Master of Science in Innovation,https://researchguides.smu.edu.sg/mscinnovation
33,Business,Master of Science in Management,https://researchguides.smu.edu.sg/mm
34,Business,Operations Management,https://researchguides.smu.edu.sg/OPIM
35,Business,PhD General Management Programme,https://researchguides.smu.edu.sg/phdgm
36,Business,PhD in Business (Strategic Management & Organisation),https://researchguides.smu.edu.sg/phd_smo
37,Business,Portal for Institute of Innovation and Entrepreneurship (IIE),https://researchguides.smu.edu.sg/iie
38,Business,Real Estate Track,https://researchguides.smu.edu.sg/realestate
39,Business,Strategy (MGMT102 Prof Kim Chang Hyun),https://researchguides.smu.edu.sg/mgmt102ProfKim
40,Business,Strategy (MGMT102),https://researchguides.smu.edu.sg/mgmt102_strategy
41,Data Analytics,Library Analytics (Data Usage Library),https://researchguides.smu.edu.sg/c.php?g=478460
42,Economics,Economic Analysis (FNCE617 MAF),https://researchguides.smu.edu.sg/econanalysis
43,Economics,Economic Development in Asia (ECON 118),https://researchguides.smu.edu.sg/eda
44,Economics,Economic Statistics,https://researchguides.smu.edu.sg/econstatistics
45,Economics,Economics Research Navigator,https://researchguides.smu.edu.sg/economicsresearch
46,Economics,Health Economics (ECON 215),https://researchguides.smu.edu.sg/healthecons
47,Economics,How do I use Eikon,https://researchguides.smu.edu.sg/eikon
48,Economics,Human Capital and Economics of Education (ECON 239),https://researchguides.smu.edu.sg/humancapital
49,Economics,International Economics,https://researchguides.smu.edu.sg/intleconomics
50,Economics,Introductory Economics (ECON 001),https://researchguides.smu.edu.sg/introductoryeconomics
51,Economics,Macroeconomics and Global Financial Markets (ECON 603),https://researchguides.smu.edu.sg/econ603
52,Economics,Master of Science in Economics Programme,https://researchguides.smu.edu.sg/mae
53,Economics,Monetary Economics (ECON 210),https://researchguides.smu.edu.sg/monetaryeconomics
54,Economics,PhD in Economics Programme,https://researchguides.smu.edu.sg/phdecons
55,Economics,Real Estate Economics (ECON212),https://researchguides.smu.edu.sg/econ212
56,Economics,Real Estate Track,https://researchguides.smu.edu.sg/realestate
57,Economics,Urban Economics and Real Estate (ECON 230),https://researchguides.smu.edu.sg/urbaneconomics
58,General,Alumni Research Navigator,https://researchguides.smu.edu.sg/alumni
59,General,BrowZine,https://researchguides.smu.edu.sg/browzine
60,General,Careers,https://researchguides.smu.edu.sg/careers
61,General,Fake vs. Real: Identifying & Evaluating Information Sources,https://researchguides.smu.edu.sg/evaluatenews
62,General,Guide To Copyright,https://researchguides.smu.edu.sg/copyright
63,General,How do I avoid Plagiarism,https://researchguides.smu.edu.sg/plagiarism
64,General,How do I use APA Citation Style,https://researchguides.smu.edu.sg/apastyle
65,General,How do I use EndNote,https://researchguides.smu.edu.sg/endnote
66,General,How do I use EndNote Basic,https://researchguides.smu.edu.sg/endnotebasic
67,General,Image and Video Resources,https://researchguides.smu.edu.sg/images
68,General,Managing Your Reading Lists,https://researchguides.smu.edu.sg/readinglists
69,General,Open Educational Resources,https://researchguides.smu.edu.sg/OER
70,General,Portal for Institute of Innovation and Entrepreneurship (IIE),https://researchguides.smu.edu.sg/iie
71,General,Portal for the India Initiatives at SMU,https://researchguides.smu.edu.sg/IndiaDesk
72,General,Portal for the Lien Centre for Social Innovation,https://researchguides.smu.edu.sg/LienCentre
73,General,Scholarship of Teaching and Learning (SOTL),https://researchguides.smu.edu.sg/educationresearch
74,Information Systems,Data Management & Engineering,https://researchguides.smu.edu.sg/DMBI
75,Information Systems,Enterprise Systems and Solutions,https://researchguides.smu.edu.sg/enterprise
76,Information Systems,Geospatial Analytics and Business Intelligence (IS415),https://researchguides.smu.edu.sg/geospatial
77,Information Systems,How do I research Information Systems topics,https://researchguides.smu.edu.sg/infosysresearch
78,Information Systems,How do I use Gartner,https://researchguides.smu.edu.sg/gartner
79,Information Systems,How do I use Safari Books Online,https://researchguides.smu.edu.sg/safari
80,Information Systems,Information Systems Research Navigator,https://researchguides.smu.edu.sg/infosystems
81,Information Systems,Library Analytics (Data Usage Library),https://researchguides.smu.edu.sg/c.php?g=478460
82,Information Systems,Master of IT in Business (Analytics) Programme,https://researchguides.smu.edu.sg/mitba
83,Information Systems,Master of IT in Business (Financial Technology) Programme,https://researchguides.smu.edu.sg/MITB
84,Information Systems,Portal for Institute of Innovation and Entrepreneurship (IIE),https://researchguides.smu.edu.sg/iie
85,Information Systems,Social Analytics (IS434),https://researchguides.smu.edu.sg/socialanalytics
86,Information Systems,Technopreneurship Study Mission: South Korea (IS427),https://researchguides.smu.edu.sg/technopreneurshipkorea
87,Law,Corporate Crime,https://researchguides.smu.edu.sg/corporatecrime
88,Law,Criminal Law (LAW103),https://researchguides.smu.edu.sg/criminallaw
89,Law,Dispute Resolution (NEW),https://researchguides.smu.edu.sg/ADR
90,Law,How do I Locate Case Law?,https://researchguides.smu.edu.sg/caselaw
91,Law,How do I Locate Law Journal Articles?,https://researchguides.smu.edu.sg/lawarticles
92,Law,How do I note up cases?,https://researchguides.smu.edu.sg/noteup
