,Category,Subject,Link
0,Academic / Interdisciplinary,Architecture of the University of Oregon,https://researchguides.uoregon.edu/university-oregon-architecture
1,Academic / Interdisciplinary,Citation and Plagiarism,https://researchguides.uoregon.edu/citing-plagiarism
2,Academic / Interdisciplinary,Clark Honors College Research Guide,https://researchguides.uoregon.edu/honors-college
3,Academic / Interdisciplinary,Diversity Research,https://researchguides.uoregon.edu/diversity
4,Academic / Interdisciplinary,Economic Privilege,https://researchguides.uoregon.edu/economic-privilege
5,Academic / Interdisciplinary,Finding Images,https://researchguides.uoregon.edu/images
6,Academic / Interdisciplinary,Getting Started with Research,https://researchguides.uoregon.edu/getting-started
7,Academic / Interdisciplinary,Language Tools,https://researchguides.uoregon.edu/languagetools
8,Academic / Interdisciplinary,Online Aerial Photography,https://researchguides.uoregon.edu/online-aerial-photography
9,Academic / Interdisciplinary,Open Access & Scholarly Communication,https://researchguides.uoregon.edu/oa
10,Academic / Interdisciplinary,Oregon Digital,https://researchguides.uoregon.edu/Oregon-Digital
11,Academic / Interdisciplinary,Requesting Library Materials,https://researchguides.uoregon.edu/requesting-materials
12,Academic / Interdisciplinary,WR 123 Courses,https://researchguides.uoregon.edu/WR-Courses
13,Academic / Interdisciplinary,Common Reading 2018-2019: The Best We Could Do,https://researchguides.uoregon.edu/commonreading
14,African Studies,African History,https://researchguides.uoregon.edu/african-history
15,African Studies,African Studies,https://researchguides.uoregon.edu/African-Studies
16,African Studies,African-American History,https://researchguides.uoregon.edu/african-american-history
17,African Studies,Country Profiles,https://researchguides.uoregon.edu/countryprofiles
18,African Studies,"HIST 407: The South African War, 1899-1902",https://researchguides.uoregon.edu/south-african-war
19,Anthropology,Anthropology & Archaeology,https://researchguides.uoregon.edu/anthropology
20,Anthropology,Biological Anthropology,https://researchguides.uoregon.edu/bio-anthropology
21,Anthropology,Finding Images,https://researchguides.uoregon.edu/images
22,Anthropology,Food Studies,https://researchguides.uoregon.edu/food
23,Anthropology,Museum Studies,https://researchguides.uoregon.edu/museums
24,Anthropology,Oregon's Latino Roots,https://researchguides.uoregon.edu/oregons-latino-roots
25,Anthropology,ANTH 341: Food Origins,https://researchguides.uoregon.edu/foodorigins
26,Anthropology,ANTH 431/531: Plants and People,https://researchguides.uoregon.edu/anth410plants
27,Anthropology,FIG: Exploring Africa,https://researchguides.uoregon.edu/exploringafrica
28,Archaeology,Anthropology & Archaeology,https://researchguides.uoregon.edu/anthropology
29,Archaeology,Biological Anthropology,https://researchguides.uoregon.edu/bio-anthropology
30,Archaeology,Museum Studies,https://researchguides.uoregon.edu/museums
31,Archaeology,ANTH 341: Food Origins,https://researchguides.uoregon.edu/foodorigins
32,Archaeology,ANTH 431/531: Plants and People,https://researchguides.uoregon.edu/anth410plants
