,Category,Subject,Link
0,Accounting,Accounting,https://resources.library.lemoyne.edu/guides/accounting
1,Anthropology,Anthropology Subject Guide,https://resources.library.lemoyne.edu/guides/anthropology
2,Arts Administration,AAD 701: Arts Administration Seminar,https://resources.library.lemoyne.edu/courses/aad701
3,Arts Administration,Arts Administration,https://resources.library.lemoyne.edu/c.php?g=714381
4,Biology,BIO 191: General Biology I,https://resources.library.lemoyne.edu/courses/bio191
5,Biology,BIO 192: General Biology II,https://resources.library.lemoyne.edu/courses/bio192
6,Biology,BIO 218: Cellular and Molecular Biology,https://resources.library.lemoyne.edu/courses/bio218
7,Biology,BIO 281 / BIO 282: Anatomy and Physiology,https://resources.library.lemoyne.edu/courses/bio281
8,Biology,BIO 325: Microbiology,https://resources.library.lemoyne.edu/courses/bio325
9,Biology,BIO 460 / CHM 460: Biochemistry,https://resources.library.lemoyne.edu/courses/bio460
10,Biology,BIO 461 / CHM 461: Biochemistry II,https://resources.library.lemoyne.edu/courses/bio461
11,Biology,BIO 480: Cancer and the Environment,https://resources.library.lemoyne.edu/courses/bio480
12,Biology,Biology Research Guide,https://resources.library.lemoyne.edu/guides/biology
13,Biology,BSC 111: Ecology and the Environment,https://resources.library.lemoyne.edu/courses/bsc111
14,Biology,BSC 201 / BSC 202: Human Anatomy and Physiology,https://resources.library.lemoyne.edu/courses/bsc201
15,Biology,BSC 205: Basic Microbiology (at Crouse Hospital with Jeanne Hansen),https://resources.library.lemoyne.edu/courses/bsc205
16,Business,Accounting,https://resources.library.lemoyne.edu/guides/accounting
17,Business,Business and Management,https://resources.library.lemoyne.edu/guides/business-management
18,Business,Companies and Industries,https://resources.library.lemoyne.edu/guides/companies-industries
19,Business,International Business,https://resources.library.lemoyne.edu/guides/international-business
20,Business,Marketing,https://resources.library.lemoyne.edu/guides/marketing
21,Business,MGT 457: Managing Multicultural Connections,https://resources.library.lemoyne.edu/courses/mgt457
22,Business,MGT 601: Organizational Dynamics,https://resources.library.lemoyne.edu/courses/mgt601
23,Business,Statistics & Data,https://resources.library.lemoyne.edu/guides/statistics-data
