,Category,Subject,Link
0,About the Library,American University Archives and Special Collections,https://subjectguides.library.american.edu/archivesandspecialcollections
1,About the Library,American University's Neighborhood,https://subjectguides.library.american.edu/AUNeighborhoodBusTour
2,About the Library,Copyright at American University,https://subjectguides.library.american.edu/c.php?g=175324
3,About the Library,Curriculum Materials Center (CMC),https://subjectguides.library.american.edu/cmc
4,About the Library,Database Trials,https://subjectguides.library.american.edu/databasetrials
5,About the Library,Digital Object Identifiers (DOIs) and their use at American U.,https://subjectguides.library.american.edu/DOIs
6,About the Library,E-books,https://subjectguides.library.american.edu/ebookbasics
7,About the Library,Games Collection,https://subjectguides.library.american.edu/c.php?g=252900
8,About the Library,Google Scholar,https://subjectguides.library.american.edu/googlescholar
9,About the Library,Microform Collection at American University Library,https://subjectguides.library.american.edu/microform
10,About the Library,Mobile Tools,https://subjectguides.library.american.edu/mobiletools
11,About the Library,Online Programs (For Internal Library Use),https://subjectguides.library.american.edu/onlineprograms
12,About the Library,Primary Source Research,https://subjectguides.library.american.edu/primaryresearchtutorial
13,About the Library,The Eagle: AU's student newspaper,https://subjectguides.library.american.edu/c.php?g=848856
14,American Studies,African American Studies,https://subjectguides.library.american.edu/afamstudies
15,American Studies,American Studies,https://subjectguides.library.american.edu/american_studies
16,American Studies,Gentrification,https://subjectguides.library.american.edu/c.php?g=584508
17,Anthropology,Anthropology,https://subjectguides.library.american.edu/anthropology
18,Anthropology,Gentrification,https://subjectguides.library.american.edu/c.php?g=584508
19,Archives and Special Collections,American University Archives and Special Collections,https://subjectguides.library.american.edu/archivesandspecialcollections
20,Archives and Special Collections,The Eagle: AU's student newspaper,https://subjectguides.library.american.edu/c.php?g=848856
21,Art,Art and Feminism,https://subjectguides.library.american.edu/artandfeminism
22,Art,Art/Architecture,https://subjectguides.library.american.edu/artarchitecture
23,Art,ARTH-105; Professor Andrea Pearson,https://subjectguides.library.american.edu/c.php?g=642602
24,Art,ARTH-105; Professor Brigit Conway,https://subjectguides.library.american.edu/arth-105
25,Art,ARTH-105; Professor Jeanette Nicewinter,https://subjectguides.library.american.edu/c.php?g=800723
26,Art,ARTH-205 Library Resources for Art of the Renaissance,https://subjectguides.library.american.edu/c.php?g=509441
27,Art,ARTH-210; Professor Sarah Gordon,https://subjectguides.library.american.edu/c.php?g=472057
28,Art,ARTH-414/614; Professor Juliet Bellow,https://subjectguides.library.american.edu/ARTH414_614
29,Art,ARTH-496/696 Library Resources for Modern and Contemporary Asian Art,https://subjectguides.library.american.edu/c.php?g=513053
30,Art,Arts Management,https://subjectguides.library.american.edu/arts_management
31,Art,Classics,https://subjectguides.library.american.edu/classics
32,Art,Finding Images,https://subjectguides.library.american.edu/c.php?g=499218
33,Art,GDES 210 Typography I: Visible Language Professor Rebecca Gurney,https://subjectguides.library.american.edu/c.php?g=730145
34,Art,GNED 110: The Art of Theft: Professor Helfers,https://subjectguides.library.american.edu/c.php?g=742199
35,Arts Management,Arts Management,https://subjectguides.library.american.edu/arts_management
36,Biology,Biology,https://subjectguides.library.american.edu/biology
37,Business,Accounting,https://subjectguides.library.american.edu/accounting
