,Category,Subject,Link
0,Access Programs,Academic and Career Connections,https://subjectguides.nscc.ca/academic_career_connections
1,Access Programs,Achieve,https://subjectguides.nscc.ca/achieve
2,Access Programs,Adult Learning Program,https://subjectguides.nscc.ca/alp
3,Access Programs,English for Academic Purposes,https://subjectguides.nscc.ca/EAP
4,Building & Construction,Architectural Drafting,https://subjectguides.nscc.ca/Architectural_Drafting
5,Building & Construction,Architectural Engineering Technician,https://subjectguides.nscc.ca/Architectural_Engineering
6,Building & Construction,Building Systems Technician,https://subjectguides.nscc.ca/bst
7,Building & Construction,Cabinetmaking,https://subjectguides.nscc.ca/cabinetmaking
8,Building & Construction,CAD Technician,https://subjectguides.nscc.ca/CAD_Tech
9,Building & Construction,Carpentry,https://subjectguides.nscc.ca/carpentry
10,Building & Construction,Civil Engineering Technology,https://subjectguides.nscc.ca/civil
11,Building & Construction,Construction Management Technology,https://subjectguides.nscc.ca/cmt
12,Building & Construction,Electrical Construction and Industrial,https://subjectguides.nscc.ca/Electrical_Construction
13,Building & Construction,Energy Sustainability Engineering Technology,https://subjectguides.nscc.ca/eset
14,Building & Construction,Gas Technician,https://subjectguides.nscc.ca/gastechnician
15,Building & Construction,Heritage Carpentry,https://subjectguides.nscc.ca/Heritage_Carpentry
16,Building & Construction,Utility Line Work - Construction & Maintenance,https://subjectguides.nscc.ca/Utility_Line
17,Business,Business Administration,https://subjectguides.nscc.ca/businessadmin
18,Business,Business Administration - Accounting,https://subjectguides.nscc.ca/accounting
19,Business,Business Administration - Management,https://subjectguides.nscc.ca/management
20,Business,Business Administration - Marketing,https://subjectguides.nscc.ca/marketing
21,Business,Business Administration-Financial Services,https://subjectguides.nscc.ca/bafs
22,Business,Business Intelligence Analytics,https://subjectguides.nscc.ca/intelligenceanalytics
23,Business,Cool Climate Wine & Viticulture,https://subjectguides.nscc.ca/c.php?g=701145
24,Business,Culinary Skills,https://subjectguides.nscc.ca/culinaryskills
25,Business,Cyber Security,https://subjectguides.nscc.ca/cybersecurity
26,Business,Funeral Arranging and Directing,https://subjectguides.nscc.ca/fad
27,Business,Horticulture - Landscape Concentration,https://subjectguides.nscc.ca/landscape
28,Business,Horticulture - Operations Concentration,https://subjectguides.nscc.ca/hort-ops
29,Business,Human Resource Management,https://subjectguides.nscc.ca/hrm
30,Business,International Business,https://subjectguides.nscc.ca/InternationalBuiness
31,Business,Lynda.com at NSCC,https://subjectguides.nscc.ca/lyndaguide
32,Business,Nonprofit Leadership,https://subjectguides.nscc.ca/NPL
33,Business,Office Administration,https://subjectguides.nscc.ca/oa
34,Business,Public Relations,https://subjectguides.nscc.ca/prelations
35,Business,Tourism Management,https://subjectguides.nscc.ca/tourismmanagement
36,Communication & Language,Applied Media & Communication Arts,https://subjectguides.nscc.ca/amca
37,Communication & Language,Deaf Studies and ASL/English Interpretation,https://subjectguides.nscc.ca/deafasl
38,Communication & Language,English for Academic Purposes,https://subjectguides.nscc.ca/EAP
39,Communication & Language,Finding Employment,https://subjectguides.nscc.ca/findingemployment
40,Communication & Language,Public Relations,https://subjectguides.nscc.ca/prelations
41,Copyright & Open Access,Copyright @ NSCC,https://subjectguides.nscc.ca/copyright
42,Copyright & Open Access,Open Educational Resources (OER),https://subjectguides.nscc.ca/OpenEducationResources
43,Copyright & Open Access,Open Textbooks — CAUL,https://subjectguides.nscc.ca/opentb
44,Cosmetology,Cosmetology,https://subjectguides.nscc.ca/cosmetology
