,Category,Subject,Link
0,Accounting and Finance,Accounting & Finance,https://subjectguides.uwaterloo.ca/accountingfinance
1,Actuarial Science,Actuarial Science,https://subjectguides.uwaterloo.ca/actuarialscience
2,Actuarial Science,ENGL 378,https://subjectguides.uwaterloo.ca/ENGL378
3,Anthropology,Anthropology,https://subjectguides.uwaterloo.ca/anthropology
4,Applied Mathematics,Applied Mathematics,https://subjectguides.uwaterloo.ca/appliedmathematics
5,Architecture,Architecture,https://subjectguides.uwaterloo.ca/architecture
6,Architecture,Canadian Architecture,https://subjectguides.uwaterloo.ca/canadianarchitecture
7,Architecture,GIS for Architecture,https://subjectguides.uwaterloo.ca/GIS-for-Architecture
8,Biology,Biology,https://subjectguides.uwaterloo.ca/biology
9,Biology,Biology 130 Lab Report,https://subjectguides.uwaterloo.ca/biol130lab
10,Biomedical Engineering,Biomedical Engineering,https://subjectguides.uwaterloo.ca/biomedeng
11,Chemical Engineering,Chemical Engineering Literature & Reports,https://subjectguides.uwaterloo.ca/chemeng
12,Chemistry,Chem 120L,https://subjectguides.uwaterloo.ca/chem120lab
13,Chemistry,Chemistry: a guide for finding literature & data,https://subjectguides.uwaterloo.ca/chemistry
14,Civil & Environmental Engineering,Civil and Environmental Engineering,https://subjectguides.uwaterloo.ca/civileng
15,Classical Studies,Classical Studies,https://subjectguides.uwaterloo.ca/classics
16,Combinatorics & Optimization,Combinatorics and Optimization,https://subjectguides.uwaterloo.ca/combinatoricsandoptimization
17,Computer Science,Computer Science,https://subjectguides.uwaterloo.ca/compsci
18,Drama and Speech Communication,Communication Arts,https://subjectguides.uwaterloo.ca/drama-and-spcom
19,Earth & Environmental Sciences,Earth & Environmental Sciences,https://subjectguides.uwaterloo.ca/earthscience
20,East Asian Studies,East Asian Studies,https://subjectguides.uwaterloo.ca/eastasiastudies
21,Economics,Econ 456: Health Economics,https://subjectguides.uwaterloo.ca/econ456
22,Economics,Economics,https://subjectguides.uwaterloo.ca/economics
23,Electrical & Computer Engineering,Electrical and Computer Engineering,https://subjectguides.uwaterloo.ca/ECE
24,English,ENGL 378,https://subjectguides.uwaterloo.ca/ENGL378
25,English,English Language & Literature,https://subjectguides.uwaterloo.ca/english
26,Environment & Business,Environment and Business,https://subjectguides.uwaterloo.ca/ENBUS
27,"Environment, Resources & Sustainability","School of Environment, Resources and Sustainability (SERS) Research Guide",https://subjectguides.uwaterloo.ca/sers
28,Film Studies and Visual Culture,Film Studies and Visual Culture,https://subjectguides.uwaterloo.ca/filmvcult
29,Fine Arts,ARTstor,https://subjectguides.uwaterloo.ca/artstor
30,Fine Arts,Fine Arts,https://subjectguides.uwaterloo.ca/finearts
31,Fine Arts,Provenance,https://subjectguides.uwaterloo.ca/provenance
32,French Studies,French Studies,https://subjectguides.uwaterloo.ca/french
33,French Studies,Translations,https://subjectguides.uwaterloo.ca/translations
34,Geography & Environmental Management,Geography and Environmental Management Research,https://subjectguides.uwaterloo.ca/gem
35,Germanic and Slavic Studies,German-Canadian Studies,https://subjectguides.uwaterloo.ca/gercan
36,Germanic and Slavic Studies,Germanic Studies,https://subjectguides.uwaterloo.ca/germanic
37,Germanic and Slavic Studies,Slavic Studies,https://subjectguides.uwaterloo.ca/slavic
38,Germanic and Slavic Studies,Translations,https://subjectguides.uwaterloo.ca/translations
39,Global Governance,Global Governance Research,https://subjectguides.uwaterloo.ca/globalgovernance
40,Government,Canadian Government Information,https://subjectguides.uwaterloo.ca/canadian-govinfo
41,Government,Non-Governmental and Inter-Governmental Organizations,https://subjectguides.uwaterloo.ca/ngos
42,Government,United States Government Information,https://subjectguides.uwaterloo.ca/US_GovInfo
43,History,History Research Guide,https://subjectguides.uwaterloo.ca/history
44,Interdisciplinary,A Guide for Entrepreneurs,https://subjectguides.uwaterloo.ca/entrepreneurs
45,Interdisciplinary,Altmetrics,https://subjectguides.uwaterloo.ca/altmetrics
46,Interdisciplinary,Archives 101: Find Primary Sources in Special Collections & Archives,https://subjectguides.uwaterloo.ca/primarysources
47,Interdisciplinary,"Avoid Plagiarism, or How to Successfully use the Works of Others",https://subjectguides.uwaterloo.ca/avoidplagiarism
48,Interdisciplinary,Bibliometric Measures in Citation-Tracking Databases,https://subjectguides.uwaterloo.ca/bibliometric_measures
49,Interdisciplinary,Bibliometrics & Measuring Research Output,https://subjectguides.uwaterloo.ca/bibliometrics
50,Interdisciplinary,Book Reviews,https://subjectguides.uwaterloo.ca/find_book_reviews
51,Interdisciplinary,Calculate Your Academic Footprint,https://subjectguides.uwaterloo.ca/calculate-academic-footprint
52,Interdisciplinary,Canadian Government Information,https://subjectguides.uwaterloo.ca/canadian-govinfo
53,Interdisciplinary,Company Information,https://subjectguides.uwaterloo.ca/companyinfo
54,Interdisciplinary,Copyright and Licensing,https://subjectguides.uwaterloo.ca/copyright_interesting
55,Interdisciplinary,Evaluating information sources,https://subjectguides.uwaterloo.ca/infosources
56,Interdisciplinary,Finding Patents,https://subjectguides.uwaterloo.ca/patents
57,Interdisciplinary,Finding Standards & Codes,https://subjectguides.uwaterloo.ca/standards
58,Interdisciplinary,Game Studies,https://subjectguides.uwaterloo.ca/gamestudies
59,Interdisciplinary,GIS Subject Guide,https://subjectguides.uwaterloo.ca/GIS
60,Interdisciplinary,Global Business and Digital Arts (GBDA),https://subjectguides.uwaterloo.ca/gbda
61,Interdisciplinary,Graduate Students and Academic Integrity,https://subjectguides.uwaterloo.ca/gradaiguide
62,Interdisciplinary,Industry Information & Market Research,https://subjectguides.uwaterloo.ca/industryinfo
63,Interdisciplinary,Master of Digital Experience Innovation (MDEI),https://subjectguides.uwaterloo.ca/mdei
64,Interdisciplinary,News Sources,https://subjectguides.uwaterloo.ca/news
65,Interdisciplinary,Non-Governmental and Inter-Governmental Organizations,https://subjectguides.uwaterloo.ca/ngos
66,Interdisciplinary,Public Opinion: Poll and Survey Sources,https://subjectguides.uwaterloo.ca/opinionpolls
67,Interdisciplinary,RefWorks,https://subjectguides.uwaterloo.ca/refworks
68,Interdisciplinary,Statistics & Data,https://subjectguides.uwaterloo.ca/stats_data
69,Interdisciplinary,Teaching and Learning,https://subjectguides.uwaterloo.ca/c.php?g=695639
70,Interdisciplinary,Translations,https://subjectguides.uwaterloo.ca/translations
71,Interdisciplinary,Using the Web for Research,https://subjectguides.uwaterloo.ca/webresearch
72,Interdisciplinary,UWaterloo Electronic Theses and Dissertations,https://subjectguides.uwaterloo.ca/etheses
